start	end	duration	text
2970	5520	2550	.
5630	8000	2370	1:1-Untertitelung
8109.999999999999	10080	1970	Guten Abend.
10200	11400	1200	Seit wir wissen,
11560	14040	2480	dass Gespräche auf höchster Ebene heimlich belauscht wurden,
14180	16840	2660	beschleicht so manchen ein ungutes Gefühl.
17060	18440	1380	Es stellt sich die Frage:
18590	22280	3690	Was tut die Schweiz gegen Cyber- Attacken und tut sie genug?
22460	25520	3060	Fragen, die wir in unserem heutigen Fokus beantworten.
25620	27760	2140	Im weiteren haben wir diese Themen:
30380	35360	4980	Wie der Islamische Staat das weibliche Geschlecht unterjocht.
35520	41040	5520	Die Schweizer Solarindustrie schlittert immer tiefer in die Krise.
43430	47640	4210	Segantini und die Frauen: die dunkle Seite des Naturmalers.
50590	54080	3490	Dass Spione in Genf unbehelligt Gespräche auf höchster Ebene
54230	58320	4090	abhören konnten, hat bei vielen ein mulmiges Gefühl hinterlassen.
58400	61800	3400	Man ist beunruhigt über das Ausmass dieser Spionage-Attacke,
62000	65680	3680	bei der die Atomverhandlungen mit dem Iran am Genfersee belauscht wurden.
65810	68000	2190	Die Frage drängt sich also auf:
68150	72480	4330	Tut die Schweiz genug im Kampf gegen Cyber-Attacken fremder Spione?
72650	75120	2470	Zwar hat der Bund in den letzten Jahren
75360	78200	2840	bei der Cyber-Abwehr aufgerüstet, doch reicht das?
78380	80480	2100	Andre Ruch ist dieser Frage nachgegangen.
82030	85200	3170	Wo ein Kabel reinführt, führt auch ein Weg rein.
85350	89160	3810	Ungebetene Gäste können heute in jedes Informatiksystem eindringen
89420	96120	6700	und mithören - egal ob privater Computer oder riesiger Server.
96660	100440	3780	So passiert diesen Frühling in drei Hotels am Genfersee:
100530	102520.00000000001	1990	Während den Atomgesprächen
102780	104000	1220	zwischen dem Iran und westlichen Delegationen
104180	106120	1940	drangen vermutlich fremde Geheimdienste
106289.99999999999	109039.99999999999	2750	in die hoteleigenen Computeranlagen ein.
109170	111800	2630	Nun ermittelt die Bundesanwaltschaft.
111979.99999999999	115479.99999999999	3500	Hier in Bern werden sämtliche Cyber- Angriffe gesammelt und behandelt.
115620	118600	2980	Der Bund hat seine Meldestelle in den letzten Jahren ausgebaut,
118710.00000000001	120960	2250	denn die Attacken nehmen massiv zu.
121110	125200	4090	Hier werden täglich Dutzende Hacker-Angriffe registriert.
125970	127520	1550	Es kommt auf die Anzahl Meldungen an.
127620	130039.99999999999	2420	Sind es Meldungen von Privatpersonen,
130160	132040	1880	die das E-Banking betreffen?
132200	134320	2120	Oder Attacken gegen eine Website? Das ist das 0815.
134490	140760	6270	Oder sind es Attacken gegen Industriespionage?
140900	145560	4660	Das ist unterschiedlich.
145740	149840	4100	Zusätzliche Experten für die Analyse von Schad-Software
149940	153440	3500	wurden bei der Meldestelle MELANI in den letzten zwei Jahren eingestellt.
153620	156200	2580	Der Bund führte auch grosse Überprüfungen durch,
156360	159880	3520	wie verwundbar kritische Schweizer Infrastruktur ist.
163130	164960	1830	Die meisten Attacken gibt es
165110	167520	2410	im Bereich der Energie und der Telekommunikation.
167680	170240	2560	Wenn ein Energieunternehmen plötzlich
170370	176680	6310	nicht mehr Strom liefern kann,
178190	182440	4250	Von solch grossen Angriffen blieb die Schweiz bisher verschont.
182580	184880	2300	Doch es fehlt nicht an schweren Fällen:
185100	189320	4220	So wurde das Netz des Eidgenössischen Aussendepartements
189410	191640	2230	schon mehrmals angegriffen.
191810	194880	3070	2009 musste das EDA inklusive aller Botschaften
194980	196360	1380	bis zu zwei Wochen vom Netz genommen werden.
196570	198520	1950	Welche Daten gestohlen wurden, ist nicht bekannt.
198670.00000000003	201160	2490	2010 wurde das Onlinebanking der PostFinance
201290	203120	1830	über Stunden lahm gelegt -
203270	207880	4610	vermutlich von einem politisch motivierten Hackerkollektiv.
208040	212440	4400	"Und im letzten Jahr wurde das riesige Sicherheitsleck ""Heartbleed"" bekannt."
212579.99999999997	214280	1700	Während zweier Jahre konnten Hacker
214490	218480	3990	fast ungehindert auf Kreditkarten- daten oder Emails zugreifen.
218660	221760	3100	Für solche Angriffe existiert beim Bund nun
221860	223640	1780	ein Notfallplan:
223850	225040	1190	Bei einer schwierigen Cyber-Attacke
225190	227000	1810	werden sofort Computerexperten alarmiert.
227140	229040	1900	Aus verschiedensten IT-Firmen sind sie im neuen Verein
229140	233440	4300	"""Swiss Cyber Experts"" zusammengeschlossen."
233600	236840	3240	Die Experten analysieren den Fall, suchen nach Problemlösungen
237010	244160	7150	und melden die Lösungen an MELANIE zurück.
244350	247160	2810	28 Stellen hat der Bund in den letzten Jahren
247320	249800	2480	zur Bekämpfung von Cyber-Angriffen geschaffen.
250020	253280	3260	Auch beim Schweizer Geheimdienst NDB in Bern.
253450	257880	4430	Hier wurde gar eine neue Abteilung kreiert: das Cyber NDB.
258060	261160.00000000003	3100	Es ist heute voll funktionsfähig.
261430	263840	2410	Trotz aller Anstrengungen gibt es noch Kritik.
263970	266060	2090	Etwa von Wirtschaftsseite,
266250	271060	4810	weiss Matthias Bossardt von der Beratungsfirma KPMG.
271190	273140	1950	Viele Unternehmen sind darauf aus,
273310	276300	2990	mehr Informationen über Attacken zu bekommen.
276530	279380	2850	Dieser Informationsaustausch fliesst heute noch nicht so,
279490	280940	1450	wie er fliessen müsste.
281110	284620	3510	Der Bund bemüht sich, redlich gegen Cyberattacken.
284700	287220	2520	Die Frage bleibt, ob dies
287370	289980	2610	gegen die steigende Zahl der Angreifer reichen wird.
