start	end	duration	text
12690	23290	10600	.
23420	26090	2670	1:1-Untertitelung
26150	28090	1940	(Männerstimme im Off) Meine Damen und Herren,
28290	34330	6040	Viktor Giacobbo und Mike Müller. * Applaus *
35570	40090	4520	Guten Abend. - Danke schön.
40190	42370	2180	Viele Dank für den Applaus.
42510	44450	1940	Und aus Appenzell Ausserrhoden: Dani Ziegler.
44660	51930	7270	* Rasante Klänge *
52090	57090	5000	Viele Dank. Die Schlagzeile der Woche sehen wir gleich hinter uns.
57160	60930	3770	Es war relativ einfach, diese herauszufinden.
61030	64930.00000000001	3900	Mittlerweile - das ist die neuste Meldung von heute -
65099.99999999999	67530	2430	hat Christophe Darbellay, der Chef der CVP,
67770	73690	5920	auch der SVP zwei Sitze im Bundesrat zugesprochen.
73950	75890	1940	Er sagte auch, dass das so kommen wird.
76020	78090	2070	Man hat sich dann gefragt: Warum erst so spät?
78250	82010	3760	Aber wahrscheinlich wollte er die Bischofssynode in Rom abwarten.
82170	86090	3920	Weil er dort eine Antwort bekäme, ob die zwei SVP-Bundesräte
86240	90090	3850	eine Familie gründen und Kinder adoptieren dürften.
90260	94690	4430	Der SVP ist es eigentlich egal, was Christophe Darbellay sagt.
94950	98570	3620	Was Darbellay sagt, ist sowieso den meisten Leuten egal.
98720	102289.99999999999	3570	Ich meine, die SVP hat einen Auftrag vom Volk, das ist ganz klar.
102360	107450	5090	Dieser Auftrag zwingt die SVP, zwei Bundesräte zu stellen.
107530	109610	2080	Die werden jetzt natürlich gezwungen.
109800	111729.99999999999	1930	Dann ist halt auch der eine oder andere darunter,
111979.99999999999	114690	2710	der eigentlich gar nicht will, aber dann trotzdem muss.
114840	117770.00000000001	2930	Das ist so bei der SVP. Das sind Leute, die einen Auftrag brauchen.
117870	119810	1940	Sonst machen die gar nichts.
119979.99999999999	121690	1710	Ich habe die meisten von denen im Verdacht,
121850	123730	1880	dass sie relativ wenig Eigenantrieb haben.
123900	125970	2070	Ja, trotzdem. Toni Brunner wird gehandelt.
126120	131730	5610	Er wäre der perfekte Bundesrat. Es wird gesagt, dass er nicht will.
131840	134090	2250	Dass man ihn auch hier zwingen muss.
134230	136340	2110	Seine Parteikollegen haben dann aber gesagt,
136520	138340	1820	das sei bei ihm kein Problem.
138550	140100	1550	Er musste ja schon dazu gezwungen werden,
140230	141780	1550	Parteipräsident zu werden.
141960	143860	1900	Ueli Maurer musste man dazu zwingen, Bundesrat zu werden.
144040	145940	1900	Und Toni Brunner - das habe ich mir sagen lassen -
146120	148700	2580	musste man sogar zwingen, Bauer zu werden. Früher.
148910	150980	2070	Was wollte er denn ursprünglich werden?
151060	155060	4000	Toni Brunner wollte Balletttänzer werden.
155240	158980	3740	Das sagte er mir persönlich. Oder war es Synchronschwimmer?
159079.99999999997	160980	1900	Ich weiss es nicht mehr genau.
161070	163020	1950	Es liegt den Ostschweizern ja ein bisschen im Blut,
163220	165500	2280	dass sie zu etwas gezwungen werden müssen.
165680	168540	2860	Das geht meistens auch sehr gut. Das sieht man ja an Dani Ziegler.
168680	170870	2190	Er macht diesen Job auch nicht ganz freiwillig.
170950	172950	2000	Überhaupt nicht gut geht das.
173079.99999999997	177350	4270	Es wurde immer ... Die CVP war in einer perfekten Situation.
177530	180430	2900	Sie war immer das Zünglein an der Waage
180590	182590	2000	in der letzten Legislaturperiode.
182760	185950	3190	Nach dem Wahlergebnis des letzten Sonntags heisst es nun aber,
186060	189470	3410	die FDP sei das Zünglein an der Waage. Das stimmt natürlich.
189700	191710	2010	Wir wissen das schon lange.
191900	194310	2410	Wir haben das FDP-Zünglein-an-der-Waage
194530	196790	2260	schon mehrmals in unserer Sendung gezeigt.
202890	205829.99999999997	2940	Dann hat das sicher einmal diese Sogwirkung.
207030	209390	2360	Eine Sogwirkung. - Das wird eine Sogwirkung haben.
209400	211550	2150	Das ist klar.
211660	215390	3730	Das Zünglein, wenn es gespalten ist, ist es ungiftig, oder?
215550	218190	2640	Absolut harmlos, bis auf die Knochen.
218360	221350	2990	Ein bisschen opportunistisch war die SP.
221540	226110	4570	Vor den National- und Stände- ratswahlen hatten sie den Slogan:
226170.00000000003	228310	2140	"""Für alle statt für wenige."""
228490	231630	3140	Jetzt, wo es um den SVP-Bundesratssitz geht, sagen sie:
231780	234030	2250	"""Für einen für statt zwei."""
234170.00000000003	235990	1820	Nein, für einen statt für zwei.
236180	237950	1770	Soll ich es nochmals ... Statt für einen ...
238100	240110	2010	Statt für nur einen statt für zwei. - Ja, genau.
240260	242990	2730	Konntet ihr folgen? - Sie konnten es ja lesen.
243090	245710	2620	Ich glaube, die können lesen.
245950	249750	3800	Wir haben am letzten Sonntag ja sehr intensiv über die Wahlen berichtet.
249920	254270	4350	Wir habe sämtliche technischen Möglichkeiten ausgeschöpft,
254440	259350.00000000003	4910	die unser Sender hat. Etwas ging aber fast unter.
259510	263110	3600	Man konnte in der Zeitung lesen, dass es auch Wahlbeobachter gab.
263260	266270	3010	Es ist nicht nur so, dass wir Schweizer Wahlbeobachter entsenden,
266470	268750	2280	wenn andere Länder wählen.
268950	273270	4320	Es kommen auch Wahlbeobachter zu uns, wenn wir wählen.
273430	276790	3360	Whale Watcher! * Lachen *
276909.99999999994	279630	2720	Du meinst Weight Watchers, wenn schon.
279860	282390	2530	Nein, nein. - Lass mich jetzt ausreden.
282550	286470	3920	Ein solcher Wahlbeobachter ist bei uns in der Sendung.
286550	288630	2080	Wir sind sehr glücklich,
288870	291990	3120	dass ein Wahlbeobachter aus Nigeria zu uns gekommen ist
292080	296470	4390	und uns erzählt, wie seine Erfahrungen hier waren.
296610	300110	3500	Begrüssen Sie recht herzlich, Charles Nguela.
300130	309030	8900	* Applaus *
309170	313270	4100	(Er spricht langsam auf Hochdeutsch) Herr Nguela, herzlich willkommen
313470	316430	2960	in unserer Sendung.
316590	322150	5560	Sie sind ja internationaler Wahlbeobachter aus Afrika.
322280	326990	4710	Wie war ihr Fazit?
327180	331750	4570	(Schweizerdeutsch) Es war ganz cool.
331970	337070	5100	Was haben Sie im Einzelnen so beobachtet?
337200	339550	2350	Zuerst meinen Wahlzettel.
339700	342070	2370	Dann habe ich es ausgefüllt und in die Urne geworfen.
342200	346150	3950	Aber das dürfen Sie doch gar nicht.
346280	348710	2430	Das dürfen Sie nicht in der Schweiz.
348860	352110	3250	Das dürfen Sie nur in Ihrem Heimatland. Sie kommen doch aus ...
352280	355190	2910	.. aus dem Aargau. * Lachen *
355360	357430	2070	(Schweizerdeutsch) Ah, Sie sind Aargauer.
357580	359909.99999999994	2330	Sie sind gar nicht aus Afri ... Sie sind gar nicht Afrikaner?
360080	362910	2830	Nein, wie kommen Sie darauf, dass ich Afrikaner bin?
363050	366470	3420	Ich dachte ... ähm ... wegen des Akzents.
366600	368990	2390	* Lachen *
369070	370750	1680	Das ist typisch.
370950	373110	2160	Sobald wir Aargauer kein Zürideutsch sprechen und schlank sind,
373140	375350	2210	sind wir Afrikaner.
375520	377510	1990	Mike, das ist jetzt peinlich.
377610	380190	2580	Die Redaktion hat uns den falschen Gast geschickt.
380330	381950	1620	Was machen wir jetzt?
382110	384550	2440	Frag ihn doch ... Vielleicht ist er der neue Chef der Credit Suisse.
384660	387310	2650	* Lachen *
387490	389750	2260	Wieso denn? Das kann ich ihn doch jetzt nicht fragen.
389950	391950	2000	Meinst du wegen des Akzents? - Ja.
392050	395110	3060	Nein, nein, wegen der abstehenden, weissen Ohren.
395690	398390	2700	(Er spricht wieder Hochdeutsch) Herr Nguela, es hat uns gefreut,
398560	403190	4630	dass Sie den weiten Weg zu uns gefunden haben.
403380	408710	5330	Wir wünschen Ihnen eine tolle Heimreise in Ihr Homeland ...
408860	411710	2850	.. ähm, Aargau. - Aargau, ja.
411909.99999999994	416470	4560	Vielen Dank. - Das war Charles Nguela. Vielen Dank.
419280	423030	3750	Unglaublich.
425490	430150	4660	Charles Nguela tritt übrigens am 5. November im Kleintheater Luzern auf.
430310	432790	2480	Dort ist er nicht Wahlbeobachter, sondern Komiker.
433630	435670	2040	Die National- und Ständeratswahlen
435870	440590	4720	haben hinsichtlich der Bundesrats- wahlen Konsequenzen für die SVP.
440760	445510	4750	Sie hatte aber auch parteiintern gewisse Auswirkungen.
447440	449070	1630	(Englisch mit Schweizer Akzent) No, I tell you.
449180	450870	1690	I'm not in the office at the moment.
451040	453110	2070	I'm in the federal building of Switzerland.
453200	456070	2870	Ja eben, I have to clean up the whole mess.
456200	459030	2830	Because sonst Switzerland is going down the river.
459210	461909.99999999994	2700	Hoi Magdalena, lernst du Bündnerdeutsch?
461990	464110	2120	Hallo Toni, ich bin gleich so weit.
464170	467230	3060	Also, tomorrow you come to my office in Herrliberg.
467470	471630	4160	Herrliberg! That means little Mr. Mountain.
471750	474230	2480	Also, see you.
474409.99999999994	476710	2300	Und, wie gefällt es dir so im Bundeshaus?
476870	478990	2120	Es könnte alles etwas effizienter sein.
479159.99999999994	482230	3070	Es sieht aus, als hätte es Bortoluzzi geschreinert.
482390	485190	2800	Aber ich will mein Mandat von Herrliberg aus ausüben.
485330	487590	2260	Ich weiss nicht, ob das eine gute Idee ist, Magdalena.
487770	490350	2580	Als Nationalrätin solltest du ... * Klingelton *
490500	492590	2090	Warte kurz.
492740	500070	7330	He Xhen. Xhe yen jong. Chian ghing, huo san.
500160	502390	2230	Xhin cho Graubünden.
502580	506150	3570	Hei yhing cha sho. Kha thin ko, Breakdown.
506270	508670	2400	Xhen-ko kai thinking steps.
508870	514630	5760	Ja ja, yha-in khong xheng Breakdown. Okay, gut, thank you.
514740	518669.99999999994	3930	Also, okay. Xhe-jen.
518740	521190.00000000006	2450	Das war der chinesische Wirtschaftsminister.
521390	523230	1840	Der ist noch unternehmerfreundlich.
523390	526390	3000	Er hat mir soeben die Steuern für unserer neue Niederlassung erlassen.
526520	528950	2430	Wo? Peking? - Nein, thinking.
529030	531910	2880	Ah, die Chinesen haben eben begriffen,
532080	534750	2670	dass die Menschenrechte schädlich sind für unsere Wirtschaft.
534870	536510	1640	Aber hör mal.
536690	538310	1620	Für deine Arbeitsentlastung hier in Bern
538510	540150	1640	brauchst du einen persönlichen Mitarbeiter.
540300	544510	4210	Nein, Toni, you are a dreamer. Den habe ich natürlich schon.
544640	546990	2350	Aber doch nicht den Mörgeli?
547150	550150	3000	Nein, der reinigt gerade den Pool meiner Eltern.
550320	553310	2990	Mein Vater hat mir einen empfohlen. Den kenne ich schon von klein auf.
553490	556550	3060	Wo ist er jetzt? Ah, da hinten. Schläfst du?
556670	559600	2930	Der schläft wirklich. Komm mal hierher!
562910	565960	3050	Der Ueli? - Ja, dem vertraue ich.
566140	570680	4540	Er musste mir als Kind schon den Schulranzen tragen. Nicht wahr?
570850	575320	4470	Also: What do you do when my car is dirty?
575460	579680	4220	What do you do? - Das Auto waschen, mit Abledern.
579830	583800	3970	Ja, genau. - Das erledige ich gleich, Christoph.
583970	587320	3350	Endlich wieder eine Aufgabe, die sinnvoll ist.
587490	590840	3350	Und du, Toni, machst was der Vater sagt und wirst Bundesrat.
591070	594080	3010	Ha ha ha! - Das war kein Witz.
594180	597920	3740	Ach du meine Güte.
599320	606840	7520	* Applaus *
606950	610440	3490	Da hat sie ein Problem. - Grosse Verwerfungen.
610710	615840	5130	Unser Sender SRF stand diese Woche unter dem Zeichen der Transparenz.
615950	620640	4690	Nach dem Bankgeheimnis wurde nun das grosse Fernsehgeheimnis gelüftet.
620730	623800	3070	Nämlich, wie viel die Sendungen kosten.
623950	628280	4330	Nun hat man gemerkt, dass unsere Sendung 650'000 Fr. kostet.
628400	631960	3560	Nein, nein. Offiziell 131'000 Fr.
632130	634560	2430	Ich habe das mit einem buchhal- terischen Trick nach unten gedrückt.
634720	637120	2400	Ah ja, genau. - Das musst du nicht allen erzählen.
637280	639880	2600	Ja, wir müssen ja niemandem sagen, dass es so viel kostet. Das ist gut.
640110	642800	2690	Also, auf jeden Fall fand diese Offenlegung statt.
642910	647240	4330	Wir fragten uns, wie viel diese Offenlegung gekostet hat.
647380	650560	3180	Die billigste Sendung - das muss man hier mal sagen -
650700	652640	1940	"ist die Talksendung ""Schawinski""."
652720	654360	1640	Ich würde sagen,
654550	656800	2250	"die Offenlegung hat alleine drei Sendungen ""Schawinski"" gekostet."
656910	659040	2130	Nur, um die Zahlen zu veröffentlich.
659240	662640	3400	"Dann hat man auch die Zahlen von ""Der Bestatter"" gesehen."
662760	665480	2720	"""Der Bestatter"" kostet 719'000 Fr."
665670	669880	4210	Ich geniesse immer wieder, dass ich Mike die ganze Zeit
669990	673600	3610	gratis anschauen kann. - Das wäre ja noch schöner.
673740	676240	2500	Weisst du, wieso unsere Sendung so teuer ist?
676420	678000	1580	Wieso? - Weisst du wieso?
678130	679800	1670	Ja. - Dann lass mal hören.
679910	681560	1650	Wegen deiner Kaffeemaschine.
681700	683520	1820	Was heisst hier m e i n e  Kaffeemaschine?
683680	686040	2360	Wir müssen jeden Sonntag eine neue Kaffeemaschine kaufen,
686130	689880	3750	weil Viktor am Montagmorgen die alte auf eBay verhökert.
690030	692080	2050	Das ist die Wahrheit dieser Kaffee...
692170	695160	2990	Alle machen jetzt Vergleiche. Alle Zeitungen machen Vergleiche.
695360	698080	2720	Da muss man die Relationen wieder etwas herstellen.
698220	702720	4500	Der neue James-Bond-Film hat ein Budget von 295 Mio. Fr.
702950	707760	4810	"Eine Ausgabe von ""Schawinski"" kostet 14'000 Fr."
707870	710400	2530	Wenn man das in Relation stellt, heisst das,
710540	713360	2820	dass Roger Schawinski für das Budget eines James-Bond-Films
