start	end	duration	text
1390	6310	4920	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6480	9710	3230	"Die ""Tagesschau"", meine Damen und Herren, guten Abend!"
9790	12110	2320	Und das sind die Themen von heute Sonntag:
13150	18790	5640	Damit ist noch unklar, wer das Bundesland künftig regieren wird.
23390	26120	2730	Die Eurogegner legen auch in Thüringen und Brandenburg zu.
27870	30560	2690	Premierminister Cameron kündigt harten Kampf gegen den IS an.
33890	37360	3470	Im Mittelland am Morgen Hochnebel.
39120	41920	2800	Die Schweiz steht im Davis Cup im Final.
42150	45000	2850	Roger Federer hat heute im Halbfinal gegen Italien alles klar gemacht:
45180	48080	2900	Und dafür nehmen ihn seine Teamkollegen Stan Wawrinka
48240	54000	5760	und Captain Severin Lüthi für eine Ehrenrunde auf die Schulter.
54180	57400	3220	Die Fans in der Palexpo-Halle von Genf feiern Roger Federer
57540	60440	2900	und das erfolgreiche Davis-Cup-Team.
60610	66200	5590	Denn mit 2 Siegen trug Roger Federer massgeblich zum Erfolg des Teams bei.
66350	69800	3450	Im Final trifft die Schweiz Ende November nun auf Frankreich.
69960.00000000001	73640	3680	Die Details dann später in dieser Sendung.
75539.99999999999	77039.99999999999	1500	Und damit nach Deutschland.
77240	80420	3180	In 2 Bundesländern wurde heute gewählt, sprich das Parlament -
80550	82700	2150	der sog. Landtag - neu besetzt.
82990	85220	2230	Und zwar in Brandenburg und in Thüringen.
85380	87660	2280	In beiden Bundesländern hat sich das wiederholt,
87900	90580	2680	was in Sachsen bereits vor 2 Wochen geschehen ist:
90789.99999999999	94660	3870	Die Alternative für Deutschland AfD tritt zum ersten Mal an
94840	97020.00000000001	2180	und ist prompt deutliche Wahlsiegerin,
97180	100780	3600	während sich die FDP aus dem Parlament verabschieden muss.
100930	103220	2290	Zunächst der Blick nach Thüringen.
103340	106180	2840	Gemäss Hochrechnung ergeben sich dort folgende Wähleranteile:
107600	111500	3900	Die CDU bleibt in Thüringen mit 34,1 % stärkste Kraft,
111620	114539.99999999999	2920	legt 2,9 Prozentpunkte zu.
114700	120060	5360	Es folgt die Linke mit 27,9 %, plus 0,5 Prozentpunkte.
120220	123460	3240	Die SPD verliert fast 1/3 ihres Wähleranteils,
123560	128460.00000000001	4900	kommt noch auf 12,6 %, minus 5,9 Prozentpunkte.
128690	134700	6010	Leichte Verluste für die Grünen: neu 5,5 %, minus 0,7 Prozentpunkte.
134910	139260	4350	Die FDP fliegt aus dem Landtag, kommt noch auf 2,4 %,
139360	142220	2860	ein Minus von 5,2 Prozentpunkten.
142370	146940	4570	Die rechtsradikale NPD verpasst mit 3,6 % erneut den Einzug.
