start	end	duration	text
1330	2710	1380	.
3410	5510	2100	1:1-Untertitelung
6820	9430	2610	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
10150	12070	1920	Das macht an diesem Samstag Schlagzeilen:
13870	16270	2400	Die SVP-Delegierten
16950	19910	2960	zeigen sich bei Verhandlungen mit der EU kompromisslos.
22850	27190	4340	Experten kritisieren die Pläne der Sozialkommission.
29940	34590	4650	Nicola Spirig verpasst die Titelverteidigung nur knapp.
37050	39990	2940	Der jamaikanische Superstar hält Wort
40780	43830	3050	und gewinnt zum dritten Mal drei Goldmedaillen.
45720	49270	3550	Mit Sonne, Wolken und lokal Regen.
51210	54070	2860	Da gibt es keinen Zweifel bei der SVP,
54820	56950	2130	wenn es um ein Rahmenabkommen mit der EU geht,
57740	59910	2170	das den Schweizer Umgang mit neuem EU-Recht
60620	63550	2930	und auch Rechtsstreitigkeiten mit der EU regeln soll.
64269.99999999999	66310	2040	Da sucht man vergebens Zweifler bei der SVP.
66940	68310	1370	So ein Abkommen will man nicht.
69020	70310	1290	Trotzdem oder vielleicht gerade deshalb
71070	72310	1240	hat man an der heutigen Delegiertenversammlung
73020	74470	1450	auch jemanden zu Wort kommen lassen,
75220	78870	3650	der in dieser Causa an vorderster Front mit der EU verhandelt.
79580	80990	1410	Aus Wettingen Gion-Duri Vincenz.
82810	85950	3140	In der Höhle des Löwen geht's wohl gefährlicher zu und her:
86750	88630	1880	Der Empfang des Schweizer EU-Chefunterhändlers
89300	92070	2770	Jacques de Watteville durch den SVP-Präsidenten ist freundlich.
92820	94789.99999999999	1970	Die Delegierten versucht de Watteville
95520.00000000001	98229.99999999999	2710	v.a. mit wirtschaftlichen Argumenten zu überzeugen.
98960.00000000001	100870	1910	Ein Rahmenabkommen bringe im Handel mit der EU
101660	105030	3370	die nötige Rechtssicherheit für die Unternehmen.
106009.99999999999	108750	2740	Unser Ziel bleibt es, Arbeitsplätze in der Schweiz zu erhalten,
109470	112350	2880	Wertschöpfung, Know-how und Steuereinkünfte
112950	116110	3160	in der Schweiz beizubehalten.
116710.00000000001	117789.99999999999	1080	Im Gegensatz zu de Watteville,
118470	120910	2440	der dünnen Applaus und einzelne Buhrufe kassiert,
121570	124870	3300	"hat Nationalrat und ""Weltwoche""-Chef Roger Köppel ein Heimspiel."
125480	128990.00000000001	3510	Das Rahmenabkommen sei eine Schwächung des bilateralen Wegs:
130710.00000000001	132750	2040	Denn dieser Rahmenvertrag
133440	136630	3190	unterstellt die Schweiz europäischem Recht und europäischen Richtern.
137320	140210	2890	Das ist nicht bilateral, das ist nicht einmal liberal,
140950	142650	1700	das ist nur noch fatal.
143450	146570	3120	V.a. fürchtet Köppel die geplante Rolle des Europäischen Gerichtshofs.
147260	148890	1630	Im Falle von Rechtsstreitigkeiten
149630	153090	3460	müsse sich die Schweiz faktisch den Gutachten des Gerichtshofs beugen.
153820	155530	1710	Wenn wir dieses Gutachten nicht annehmen,
156220	157850	1630	dann gibt es eben Sanktionen.
158530	160290	1760	Das ist keine gleichberechtigte, bilaterale Beziehung.
160990	162130	1140	Das ist ein Unterwerfungsverhältnis.
162829.99999999997	163810	980	De Watteville hält dem entgegen,
164500	166290	1790	das Abkommen sei noch gar nicht fertig ausgehandelt.
167070	169610	2540	Und Sanktionen seien nichts Ungewöhnliches.
170540	172250	1710	Die SVP hat sich heute zwar auch
172960	174930	1970	die Argumente der politischen Gegner angehört,
175660	177250	1590	in Tat und Wahrheit ging es aber einmal mehr darum,
177920.00000000003	179250	1330	sich als einzig wahre Kämpferin
179950	181210	1260	für die Unabhängigkeit der Schweiz zu präsentieren.
181950	183490	1540	Im Falle des Rahmenabkommens mit der EU
184190	185850	1660	ist die SVP allerdings gar nicht so allein.
186510	189330	2820	Auch von FDP und CVP kommen regelmässig Vorbehalte.
191300	194660	3360	Die CVP hat ihren Sommerparteitag in Appenzell
195400	198820	3420	"unter das parteiprogrammatische Motto ""Die Zukunft beginnt jetzt!"""
199450	201100	1650	inklusive Ausrufezeichen gestellt.
201840	204500	2660	Akzentsetzung, Kursbestimmung stand auf dem Menu.
205200	207460	2260	Der ambitionierte Blick nach vorn lässt sich auch am Titel
208200	211860	3660	"des neu lancierten Projekts ""CVP 2025"" ablesen."
212480	215900	3420	Was nach Neuerfindung klingt, war dann aber doch eher Justierung.
216579.99999999997	217660	1080	Aus Appenzell, Hanspeter Trütsch.
219350	226579.99999999997	7230	Appenzell, Landgemeindekanton, klein, fein, Tradition, Folklore.
227240	229260	2020	* Volkstümliche Musik *
229960	231300	1340	Hier gibt noch die CVP den Ton an.
231960	234220	2260	Gleich zwei ehemalige Innerrhoder Bundesräte sind präsent,
234910	238110	3200	als die Partei noch mit zwei Sitzen im Bundesrat vertreten war.
238760	240510	1750	Tempi passati.
241350	242720	1370	Die Familienpartei will also den künftigen Kurs justieren.
243430	245280	1850	Der neue Präsident macht klar, ganz so einfach ist das nicht:
246950	249320	2370	Die CVP - das C ist eine schwierige Marke -
249990	252420	2430	aber das C ist immerhin eine Marke.
253110	256269.99999999997	3160	Andere Parteien wären froh, sie hätten wenigstens eine.
256850.00000000003	258510	1660	Das C ist immer Herausforderung
259190	261470.00000000003	2280	und manchmal Überforderung für die Politik.
262160	264230	2070	Das ist nicht leicht, aber wer es sich leicht machen will,
264960	267630	2670	soll halt in Gottes Namen eine andere Partei wählen.
268330	270550	2220	Und nun, was soll besser werden? Wo klemmt's?
271280	274190	2910	Die Delegierten formulieren ihre Wünsche, etwa:
274900	276390	1490	Dass das C besser vermarktet werden muss,
277159.99999999994	279350	2190	dass wir den Bürgern besser erklären müssen, wofür es steht,
280030	281310	1280	und es dann in einem weiteren Schritt
282080	282990	910	mit Inhalten verknüpfen müssen
283740	286550	2810	und so eigentlich zurück auf die Erfolgsspur finden.
287230	289470	2240	Wir müssen lernen, mehr über die CVP zu sprechen,
290130	292350	2220	anstatt darüber, was Links oder Rechts wollen.
