start	end	duration	text
710	3680	2970	.
10590	12880	2290	1:1-Untertitelung
13040	15760	2720	"Ein herzliches Willkommen zu ""Schweiz aktuell"","
15880	17520	1640	die Sendung mit dem Blick in die Regionen.
17640	19360	1720	Das haben wir heute für Sie bereit:
20440	24650	4210	Mit 2,8 Mrd. DM Schaden hat Manfred S. vor 15 Jahren
24810	29650	4840	einen der grössten deutschen Wirtschaftskriminalfälle verursacht.
29740	32049.999999999996	2310	Weil ein Teil des Geldes in der Schweiz aufgetaucht ist,
32270.000000000004	34770	2500	steht er seit heute in Frauenfeld vor Gericht.
36470	40170	3700	In Teufen/AR soll der Gemeinderat Weihnachtsfeiern und Hochzeitsbesuche
40350	43650	3300	über die Spesenkasse bezahlt haben.
43830	47530	3700	Aufgedeckt hat das die Geschäftsprüfungskommission.
47660	51050	3390	Heute sind mehrere Mitglieder überraschend zurückgetreten.
52680	55050	2370	Während in Graubünden
55210	57970	2760	die Zahl der Übernachtungen massiv zurückgegangen ist,
58080	59970	1890	sind in Genf die Betten voll.
60140	62250	2110	Auch Dank Luxushäusern wie dem Beau-Rivage,
62350	65530	3180	in dem seit 150 Jahren Schöne und Reiche logieren.
68140	71210.00000000001	3070	Es geht um Chagall-Bilder, um einen hochkarätigen Diamanten
71430	73580	2150	und um eine Villa in St. Moritz.
73690	77100	3410	Manfred S., bekannt unter dem Namen Big Money, ist die Hauptfigur
77240	80260	3020	in einem der grössten Fälle von Wirtschaftskriminalität
80430	82020	1590	in Deutschland.
82110	84020	1910	Beim Fall aus dem Jahr 2000
84160	87980	3820	geht es um eine Schadenssumme von 2,8 Mrd. DM.
88160	91100	2940	Von dieser Deliktsumme soll ein Teil in der Schweiz aufgetaucht sein.
91300	93420	2120	Darum beschäftigt sich seit heute
93600	95700	2100	das Bezirksgericht in Frauenfeld mit dem Fall.
97150	100500	3350	Manfred S. seine Exfrau, sein Sohn und seine Tochter
100640	102380	1740	sind auf dem Weg in die Gerichtsverhandlung.
102500	104140	1640	Das Bezirksgericht Frauenfeld
104289.99999999999	105979.99999999999	1690	hat mit viel Medien und Beobachtern gerechnet,
106140	107940	1800	und darum die Verhandlung vom Gerichtsgebäude
108020.00000000001	110460.00000000001	2440	in die Aula der Berufsschule verlegt.
110550	112740.00000000001	2190	Manfred S. wird Geldwäscherei vorgeworfen.
112870	115340	2470	Seiner Exfrau, die in der Schweiz lebt,
115500	119259.99999999999	3760	Veruntreuung, Betrug, Geldwäscherei und Urkundenfälschung.
119410	122420	3010	Besonders in Deutschland ist das Interesse der Medien
122510	124980	2470	am Prozess in Frauenfeld gross.
125160	129979.99999999999	4820	Rückblick. Von 1991 bis 2000 hat die Firma von Manfred S., die FlowTex,
130000	133340	3340	Tausende von Bohrmaschinen verkauft.
133520	135700	2180	Die meisten von ihnen haben aber nur auf dem Papier existiert.
135990	138380	2390	2001 wurde Manfred S. wegen Betrug in 145 Fälle
138590	141380	2790	zu zwölf Jahren Haft verurteilt.
141570	144940	3370	2007 wurde er vorzeitig aus dem Gefängnis entlassen.
145050	147180	2130	Auf Mallorca, wo er seither lebt,
147360	149940	2580	hat ihn 2009 ein deutscher Fernsehsender besucht.
150090	153260	3170	Damals hat Manfred S. behauptet, er sei mittellos.
153510	156980	3470	Die Villa, in der er lebe, habe seine Exfrau gemietet.
157180	161660	4480	Auch die Yacht, auf der man ihn sah, sei im Besitz seiner Exfrau.
161690	164020	2330	Ich habe eine Krankenversicherung,
164250	166340	2090	die in meinem Alter relativ teuer ist.
166520	170100	3580	Die geht noch ab. Bleiben am Schluss ca. 900 Euro netto übrig.
171440	173700	2260	Die Thurgauer Staatsanwaltschaft ist davon überzeugt,
173780	176980	3200	dass ein Teil der verschwundenen Deliktsumme in der Schweiz ist.
177110	180540	3430	Sie hat Vermögenswerte in zweistel- liger Millionenhöhe beschlagnahmt.
180680	184140	3460	Der Vorwurf: Manfred S., seine Exfrau und weitere Beschuldigte
184320	187780	3460	sollen einen ganzen Schatz aus ergaunerten Geldern finanziert
187920	190500	2580	und so ein Millionenvermögen gewaschen haben.
190590	193340	2750	So sollen sich u.a. eine Villa in St. Moritz,
193550	195620	2070	vier Bilder von Marc Chagall und Schmuck
195770	198820	3050	gekauft und später wieder verkauft haben.
199090	203900	4810	Darunter soll auch ein 51-karätiger Edelstein sein.
204079.99999999997	206579.99999999997	2500	In Spanien hat Manfred S. vor sechs Jahren -
206740	209420.00000000003	2680	also dann, als die Staatsanwaltschaft ihre Untersuchung aufnahm -
209520	212300	2780	jegliche Schuld von sich gewiesen.
212390	215020	2630	Niemand hat irgendetwas auf die Seite geschafft.
215180	217020	1840	Das ist schlicht und ergreifend nicht richtig.
217190	220540	3350	Die Staatsanwaltschaft beantragt für Manfred S. dreieinhalb Jahre
220630	222820	2190	und für seine Exfrau über fünf Jahre Haft.
223000	226380	3380	Bis zu einem rechtskräftigen Urteil gilt die Unschuldsvermutung.
226470	229340	2870	Die Vorwürfe der Staatsanwaltschaft sind happig:
229510	232180	2670	Betrug, Urkundenfälschung, Geldwäscherei.
232320	234300	1980	Involviert sind laut der Anklageschrift
234510	236340	1830	auch mehrere Schweizer Banken.
236470	238220	1750	Zwischen 2005 und 2009
238390	241750	3360	sollen die Beschuldigten dort Millionenbeträge in bar abgehoben
241970	245510	3540	und wieder auf andere Konti einbezahlt haben.
245590	249750	4160	Aber erst 2009 hat eine Bank Verdacht auf Geldwäscherei geschöpft
249920	252750	2830	und so die Strafuntersuchung ins Rollen gebracht.
252820	254870	2050	Verhandlungspause.
255110	259230.00000000003	4120	Die Akten im Strafverfahren füllen 140 Bundesordner.
259370	263510	4140	Das Gericht rechnet mit 20 Verhandlungstagen.
263740	265550	1810	Noch wurden die Beschuldigten nicht befragt.
265720	268550	2830	Ein Urteil wird frühestens im Dezember erwartet.
269940	273230	3290	Es sind happige Vorwürfe an den Gemeinderat von Teufen/AR.
273380	278390	5010	Er soll sich sehr grosszügig Spesen ausbezahlt haben
278659.99999999994	281670	3010	und sogar Weihnachtsfeiern und den Besuch einer Hochzeit
281780	284110	2330	als Arbeitszeit abgerechnet haben.
284350	288390	4040	Die GPK der Gemeinde deckte diese Missstände auf.
288580	291390	2810	Heute traten mehrere GPK-Mitglieder überraschend zurück.
291510	293430	1920	Katharina Locher beichtet.
294840.00000000006	296630	1790	Es ist ein richtiger Aktenberg,
296820	299430	2610	in dem alle Details aus der Affäre aufgelistet sind.
299610	303190	3580	U.a. Christian Ehrbar, Präsident der fünfköpfigen GPK
303420	306310	2890	der Gemeinde Teufen trug sie zusammen.
306510	309790	3280	Heute trat er zusammen mit zwei Kollegen
309960	314070	4110	aus dieser ehrenamtlicher Kommission zurück.
314150	317550	3400	Sie müssen sich vorstellen, dass sie das im Ehrenamt machen,
317660	320350	2690	nach bestem Wissen und Gewissen, nach Treu und Glauben.
320550	323870	3320	Bei solchen Machenschaften ist die Bereitschaft zur Aufbereitung
324070	326230	2160	an einem sehr kleinen Ort.
326430	328150	1720	Z.T. wird dann nach langem Druck etwas gemacht.
328410	330270	1860	Irgendwann mussten sie sich sagen,
330360	332430	2070	dass ich hier nicht am richtigen Ort sind.
332630	336230	3600	Der GPK sei aufgefallen, dass auf der Gemeinde über mehrere Jahre
336370	338150	1780	zu viel Entschädigungen ausbezahlt wurden.
338230	340550	2320	Z.B. werden einmal für einen Tag und eine Person
340720	343470	2750	90 Arbeitsstunden abgerechnet und ausbezahlt.
343550	346670	3120	Oder jemand rechnet den Besuch der Hochzeit einer Mitarbeiterin
346750	348670	1920	als Arbeitszeit ab.
348840.00000000006	351390	2550	Sitzungsgelder werden bezahlt, obwohl keine Sitzungen stattfanden.
351470	353630	2160	Oder ein ehem. Gemeinderat bekommt eine Pauschale ausbezahlt,
353720	355790	2070	obwohl er nicht mehr im Amt ist.
356070	361830	5760	Nun bekommt auch die Dorfzeitung Einsicht in die Akten
361970	364430	2460	und kommt zum Schluss:
364590	369310	4720	Der Gemeinderat hat seine Kompetenzen massiv überschritten.
369430	372910	3480	Die Vizegemeindepräsidentin muss Stellung nehmen,
373050	375190	2140	der Präsident weilt in den Ferien.
375310	376910	1600	Ja, es gebe Handlungsbedarf,
377140	380150	3010	Teufen brauche ein neues Entschädigungsreglement.
380320	384110	3790	Wir haben ein Entschädigungsreglement,
384270	387310	3040	das ein wenig viel Interpretationsspielraum zulässt.
387510	389150	1640	Wir sind neun verschiedene Gemeinderäte
389390	392310	2920	und jeder hat seine eigene Auffas- sung, wie das zu interpretieren ist.
392510	394430	1920	Das driftet eben auch etwas auseinander.
394560	396990	2430	Das Amt als Gemeinderat
397180	400310	3130	ist ein sehr arbeitsintensives Amt neben einem Volljob.
400450	403390	2940	Wenn dann ein Gemeinderat in drei verschiedene Altersheimen
403440	406110	2670	die Altersweihnachten besucht,
406290	409230	2940	dann empfindet er das vielleicht tatsächlich als Arbeit
409360	411550	2190	und notierte sich das entsprechend.
411710	413909.99999999994	2200	Ob das von Fingerspitzengefühl zeugt, sei dahingestellt,
414040	416390	2350	aber im Reglement ist es möglich.
416470	418830	2360	Teufen beschäftigt sich schon lange mit der Affäre.
419000	423430	4430	Im März 2014 stellte die GPK die Missstände fest.
423630	427350	3720	Die Gemeinde entgegnete, dass per Ende 2013 bereits alle Fehler
427480	429190	1710	bereinigt seien.
429310	431430	2120	Das sah die GPK aber anders.
431600	433510	1910	Im Januar 2015 reichte sie Beschwerde ein,
433640	436310	2670	denn die überrissenen Stundenabrechnungen
436390	438390	2000	und zu viele falsche Arbeitsrapporte hätten System.
438620	441590	2970	Zuerst dachte ich auch, es könnte ein Fehler sein.
441750	443950	2200	Andererseits war die Häufigkeit und die steigende Tendenz
444150	448270	4120	ein Zeichen dafür, dass sich die Situation verschlechtert
448470	451510	3040	und man etwas dagegen unternehmen muss,
451710	455350	3640	weil es nicht rechtens ist und gegen Treu und Glauben verstösst.
455490	459190	3700	Man kann nicht sagen, Fehler seien systematisch passiert.
459420	462310	2890	Fehler geschahen an verschiedenen Orten.
462510	465790	3280	Wenn einem Gemeinderat z.B. nachträglich Lohn ausbezahlt wird,
465960	468630	2670	ist das der Fehler der Kasse, die nicht merkte,
468770	470670	1900	dass das gestoppt wurde.
470800	474110	3310	Manchmal versagte die Kommunikation, oder es wurde ein Rapport visiert,
474190	476350	2160	wo zu wenig genau hingeschaut wurde.
476510	479870	3360	Zu viele Fehler kamen zusammen, das muss man sagen.
480110	482710	2600	Der Gemeinderat verspricht darum Massnahmen.
482790	486150	3360	Die Finanzverwaltung wird reorgani- siert, die Kommunikation verbessert
486230	490070	3840	und die GPK muss das Entschädigungsreglement überarbeiten.
490210	493990	3780	Das ist die letzte Amtshandlung von Christian Ehrbar
494090	496670	2580	und seinen zwei Kollegen.
496810	498590	1780	Sie treten nach der Affäre zurück,
498680	500390	1710	mit diesem Gemeinderat könne man nicht mehr zusammenarbeiten.
501650	503990	2340	Die Grüne Partei im Tessin steht völlig überraschend
504100	506190	2090	ohne Präsident da.
506390	508390	2000	Über Nacht gab der bisherige - Sergio Savoia - bekannt,
508590	510390	1800	dass er das Präsidium per sofort abgibt.
510630	512510	1880	Nur gerade zwei Wochen vor den eidgenössischen Wahlen,
512590.00000000006	515909.99999999994	3320	er kandidierte für die Grünen als National- und Ständerat.
516070.00000000006	518030	1960	Sergio Savoia ist wahrscheinlich
518159.99999999994	521030	2870	der umstrittenste Kantonalpräsident der Grünen.
521190.00000000006	524350	3160	Einer, der gegen die zweite Gotthardröhre,
524520	527510	2990	aber gleichzeitig auch für die Masseneinwanderungs-Initiative war.
529080	533590	4510	Sergio Savoia musste im Studio des Tessiner Radios viel erklären.
533770	537710	3940	Warum dieser Rücktritt, jetzt, so kurz vor den Wahlen?
537880	542710	4830	Lässt er die Grünen im Stich?
542890	545910	3020	Nein, meint er, jetzt sei genau der richtige Moment zu gehen.
546110	548030	1920	Wie auch immer die Wahlen ausgehen,
548180	551310	3130	die Partei wird danach eine ernste Diskussion führen müssen.
551510	554670	3160	Wenn die Wahlen gut laufen, okay,
554810	558310	3500	und sonst muss man nicht zuerst den Parteipräsidenten loswerden.
558390	560590	2200	Darum ist das für mich der richtige Moment.
560730	563910	3180	Acht Jahre lang war der ehemalige Radiomoderator
564040	566390	2350	die Stimme der Grünen im Tessin.
566560	568870	2310	Immer pointiert, immer autonom, aber nicht immer so,
569000	572070	3070	wie man sich einen Grünen vorstellt.
572270	576150	3880	Er schaffte es, dass seine Grünen als einzige Sektion der Schweiz
576350	580910	4560	die Ja-Parole zur Massen- einwanderungs-Initiative herausgab.
581060	583310	2250	Eine Provokation.
583510	586470	2960	Dann verlangte er von der SP, ihn als einzigen Ständeratskandidaten
586580	589550	2970	auf einer gemeinsamen Liste aufzustellen.
589630	593910	4280	"Die Antwort der SP lautete: ""Nicht mit uns."" Rote Karte für Savoia."
594040	596270	2230	Der Wahlerfolg bleibt.
596350	601310	4960	2011 mit Savoia an der Spitze konnten die Grünen bei den kantonalen Wahlen
601390	603630	2240	2011 von drei auf sieben Sitze zulegen.
603800	608030	4230	Dieses Jahr verloren sie dann zwar wieder einen,
608160	610150	1990	aber die Grünen können sich behaupten.
610230	612230	2000	Vor meiner Zeit existierte diese Partei nicht.
612350	615240	2890	Wir erreichten Fraktionsstärke im Grossen Rat,
615400	617920	2520	die wir dieses Jahr bestätigen konnten.
618080	620760	2680	Wir wurden zu einer kleinen aber einflussreichen Partei.
620900	623240	2340	Sie kann auch ohne mich als Präsident weiterwachsen.
623350	626680	3330	Politik will der 51-jährige Grossrat weiterhin machen,
626740	628720	1980	im Moment bei den Grünen.
628860	630480	1620	Sie müssen entscheiden, wie es weitergeht,
630710	634880	4170	ob auf dem Savoia-Weg, grün-patrio- tisch oder wie früher links-grün.
