start	end	duration	text
2940	5560	2620	.
5720	10160	4440	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14840	18080	3240	"Guten Abend zu ""Schweiz aktuell"" - heute mit diesen Themen:"
20590	22920	2330	Das Wallis versucht den Imageschaden
23050	25360	2310	wegen der Vorwürfe um gepantschten Wein zu reparieren.
25500	27520	2020	Die Regierung will die Kontrolle verbessern.
30370	34360	3990	Bei Rapperswil/BE will man umstrit- tene Bohrungen nach Erdgas machen.
34580	37480	2900	Die Grünen haben Widerstand angekündigt.
40460	44080	3620	Solidaritätsfest für die Flutopfer in Südosteuropa heute Abend in Zürich.
44180	46480	2300	Eine Gruppe junger Leute im Einsatz
46640	49760	3120	aus der neuen Heimat für die alte Heimat.
51260	55120	3860	Eine Serie von Brandstiftungen gab es heute Morgen in Arlesheim/BL.
55140	57400	2260	Die Feuerwehr stand im Grosseinsatz.
57500	61120	3620	Innert kürzester Zeit brannte es gerade an 3 Orten.
62690	66540	3850	Andy Scheiwiller schaut sich den Ort an, wo es heute Morgen brannte.
66760	69700	2940	Die Kleider und noch viele andere Dinge in seinem Sportgeschäft
69820	71860	2040	sind nicht mehr zu gebrauchen.
72010	75580	3570	Der Schaden in seinem Geschäft ist gross.
75680	78300	2620	Ich war im Büro.
78460.00000000001	82260	3800	"Plötzlich schreien unsere Frauen hier vorne: ""Feuer, Feuer."""
82460.00000000001	85020	2560	Ich rannte sogleich nach vorne.
85260	90380	5120	Ich sah schon eine riesen Stich- flamme, die bis an die Decke ging.
90539.99999999999	93900	3360	Zum Glück haben wir einen Feuerlöscher.
93979.99999999999	97660	3680	Dank dem gemeinsamen Einsatz der Angestellten und einem Kind
97860	100700	2840	geschah nicht noch mehr, bis die Feuerwehr eintraf.
100870	103220	2350	Der Laden bleibt aber vorerst geschlossen.
103380	106420	3040	Es brannte auch bei einem Detail- händler nicht weit entfernt von ihm,
106570	108979.99999999999	2410	auch dort in der Kleiderabteilung.
109090	112700	3610	Die Polizei ist sich bei der Brandursache sicher.
112780	115060	2280	Wir wissen, dass es keine technische Ursache war,
115210.00000000001	117500	2290	eine Person ist dafür verantwortlich.
117620	121430	3810	Es war Brandstiftung. Wer genau das tat, wissen wir nicht.
121620	124570	2950	3 Personen wurden wegen Rauchverdachtsvergiftung untersucht,
124740	127290	2550	eine Person musste ins Spital gebracht werden.
129210.00000000001	133210	4000	Seit vor ein paar Wochen die Affäre um Dominique Giroud und andere Winzer
133370	137690	4320	im Kanton Wallis bekannt wurde, leidet das Image des Walliser Weins.
137800	141170.00000000003	3370	Dominique Giroud soll Wein gepanscht und Steuern hinterzogen haben.
141329.99999999997	144010	2680	Schluss jetzt, findet die Regierung des Kanton Wallis.
144120	147210	3090	Sie setzte eine Arbeitsgruppe ein, die untersuchen soll,
147370	150250	2880	wie man die Kontrolle der Weinbranche im Wallis verbessern kann.
152340	154970	2630	Die neue Regierungsgruppe soll u.a. herausfinden,
155120	157770	2650	wo die Probleme bei der Kontrolle liegen,
157930	160490	2560	die bereits durchgeführt werden.
160620	162850	2230	Wir hatten vorher keine Kenntnisse.
163050	165570	2520	Wir hatten das Gefühl, das System habe sich bewährt.
165740	169170.00000000003	3430	Aufgrund der Vorkommnisse stellte man fest, dass es Fehler
169350	173210	3860	und Systemschwächen geben kann, die wir nun offensiv aufdecken werden.
173400	176890	3490	Wir werden schauen, wo die Probleme liegen.
177010	179690	2680	Rückblick: Der Wein aus dem Wallis geriet wegen den Geschäften
179840	182970	3130	des Weinhändlers Dominique Giroud in die Kritik.
183180	186810	3630	Vor wenigen Wochen wurde bekannt, das er seinen Wein jahrelang
186900	190370	3470	mit billigerem Wein gestreckt haben soll.
190620	192930	2310	Ausserdem soll er Steuern hinterzogen haben.
193110	195650	2540	In einem Bericht der Bundesverwaltung steht,
195740	198100	2360	er habe bei einer Einvernahme ausgesagt,
198270	200900	2630	dass er mit anderen Weinlieferanten zusammenarbeitete.
201090	203220	2130	Sie sollen ihm ihr Briefpapier gegeben haben,
203329.99999999997	205660	2330	damit er Rechnungen fälschen konnte.
205750	209780	4030	Dominique Giroud gab zu Protokoll, dass das im Wallis so üblich sei.
209940	215980	6040	Im Moment finden im Wallis die Tage der offenen Weinkeller statt.
216200	220579.99999999997	4380	Auch hier ist die Affäre Giroud ein Thema,
220780	225540	4760	weshalb die neue Arbeitsgruppe der Regierung begrüsst wird.
225650	230740	5090	Das ist eine sehr gute Sache.
230900	234660	3760	Die Kontrollen garantieren uns die Echtheit unserer Weine.
234829.99999999997	237820	2990	Wir hoffen darum, dass sie konsequent durchgezogen werden,
237990	241260	3270	damit man Übeltäter unseres Berufs eliminieren kann
241400	250140	8740	und wirklich sagen kann, dass Schweizer Weine echte Weine sind.
251900	255180	3280	Es gibt zwar ein gerichtliches Verfahren,
255370	261980.00000000003	6610	das wird beurteilt, aber das Wichtige sind die guten Produkte,
262089.99999999997	265860	3770	die wir im Moment im Wallis haben.
266010	268660	2650	Das Image des Walliser Weins litt zwar durch die Affäre Giroud,
268760	270780	2020	aber es soll wieder gestärkt werden.
270950	273340.00000000006	2390	Ein erster Schritt in diese Richtung machte heute die Kantonsregierung.
276120	279380	3260	Aus dem Wallis zugeschaltet ist unsere Korrespondentin
279460	281500	2040	Ruth Seelholzer.
281659.99999999994	284420	2760	Wie beurteilen Sie die Stimmung in der Weinbranche im Wallis?
284540	287580	3040	Wir untertiteln live:
291890	293860	1970	ich bin überrascht,
297640	300100	2460	ich war den ganzen Nachmittag hier bei den kleinen Kellereien.
300230	301900	1670	Die Stimmung ist ziemlich positiv.
301990	303940	1950	Das muss man sagen.
308840	311380	2540	Das sind kleinere Kellereien, < diejenigen von Dominique Giroud.
315440	318220	2780	Jeder sagte mir, dass sie für die Qualität ihrer Weine die Hand ins
318300	319020	720	Feuer legen würden.
319130	321060	1930	Man hat Stammkundschaft.
325270	327980	2710	Man beliefert keine Grossverteiler sie haben persönliche Kontakte zu
328130	330020	1890	den Kunden.
332460	334860	2400	Sie haben nichts gemerkt, sagten sie, dass sich diese Affäre
334970	337020	2050	schlecht ausgewirkt habe.
337800	339700	1900	Der Verkauf sei nicht eingebrochen.
344480	346420	1940	Man verdrängt es leicht, habe ich das Gefühl.
346620	349380	2760	Was für Konsequenzen hat die Affäre Giroud für das Wallis?
358880	360910	2030	Eigentlich ist das noch gar nicht absehbar zurzeit.
365250	368030	2780	Bleibt es bei der Affäre Giroud oder wird es eine Affäre der Walliser
368140	369510	1370	Weine.
369640	371590	1950	Die Unschuldsvermutung gilt für Dominique Giroud,
371940	373870	1930	er ist noch nicht verurteilt.
376340	378830	2490	Die Enthüllungen von letzter Woche des westschweizer Fernsehens
380650	382590	1940	haben massive Reaktionen ausgelöst.
385090	387430	2340	Der Branchenverband wollte alle Fakten auf den Tisch bringen.
389440	391430	1990	Heute hat der Kanton Wallis nachgezogen.
393450	395390	1940	Man fürchtet sich um den Ruf des Walliser Weine.
399470	401790	2320	Man möchte zumindest die Kontrolle der Qualität verbessern.
402220	404030	1810	Das ist kein schlechter Weg.
404020	405909.99999999994	1890	Ruth Seeholzer aus Les Illes.
407010	410070	3060	Die Schweiz ist kein Rohstoffland. Trotzdem gibts immer wieder Versuche,
410220	412190	1970	an wertvolle Bodenschätze heranzukommen.
412360	415510	3150	Diese Woche kamen Pläne heraus, schweizerisches Erdgas zu gewinnen.
415670	421110	5440	Geplant ist eine Serie von neuen Probebohrungen bis 3'000 m Tiefe.
421210	425190	3980	Man will herausfinden, ob es in dieser Tiefe Erdgasfelder gibt.
425340	428750	3410	Das Brisante an dem Projekt: Bei einem Abbau von Erdgas
428970	432950	3980	könnte später auch eine umstrittene Methode, die Risse ins Gestein macht,
433070	435030	1960	eingesetzt werden.
435180	438270	3090	Neben 4 Standorten im Kanton Waadt soll auch in Ruppoldsried
438480	441400	2920	bei Rapperswil/BE ein Bohrturm aufgestellt werden.
441670	444920	3250	Die Grüne Partei hat Widerstand angekündigt.
446830	449000	2170	Mitten in der Landwirtschaftszone von Ruppoldsried
449150	451920	2770	in der Gemeinde Rapperswil soll schon im Januar 2015
452110	454560	2450	nach Erdgas gebohrt werden.
454690	456600	1910	Die Bewilligungen fehlen zwar noch,
456710	459240	2530	trotzdem hat die Firma Seag diese Woche informiert.
459380	461640	2260	Im Moment gehts erst um eine Probebohrung.
461840.00000000006	465320	3480	Später aber könnte man auch das sog. Fracking einsetzen,
465430	467880	2450	das sehr umstritten ist.
468040	470520	2480	Fracking heisst aufreissen oder aufbrechen.
470690	474680	3990	In 3'000 m Tiefe will man solche Gesteinsschichten anzapfen,
474780	477040	2260	die reich an Erdgas sind.
477130	480000	2870	Dafür presst man eine Mischung aus Wasser, Sand und Chemikalien
480070	482440	2370	mit hohem Druck in Stein.
482590	485640	3050	Der Stein bricht und das Erdgas wird freigesetzt.
485740	488560	2820	Das ganze Gemisch wird dann wieder an die Oberfläche gepumpt,
488730	494920	6190	an der man das Gas der z.T. giftigen Frackingflüssigkeit wieder trennt.
495040	499360	4320	Verantwortlich fürs Projekt ist Patrick Lahusen von der Seag,
499560	502200	2640	der AG für schweizerisches Erdöl.
502360	506400	4040	Er sagt, dass es heute Fracking gäbe, das keine Chemie braucht.
506490	508960	2470	Man ist sogar soweit, dass man eine ganz neue Methode hat,
509180	511280	2100	die man jetzt noch prüfen muss.
511370	513360	1990	Die kommt auch ohne Wasser aus -
513510	515600	2090	also ein Fracking ohne Chemikalien und ohne Wasser.
515760	517840.00000000006	2080	Das sind die beiden Sachen, die immer kritisiert werden.
517950.00000000006	520120	2170	Wenn man das nicht mehr hat, also nichts Giftiges mehr hat,
520400	522240	1840	kann man etwas Gutes für die Umwelt tun
522460.00000000006	524480	2020	und ich finde, dann sollte man es auch anwenden können.
524580	526440	1860	Ganz anders sieht das Regula Tschanz,
526640	528800	2160	die Geschäftsführerin der Grünen Partei des Kantons Bern.
528940	531200	2260	Sie will den Leuten aufzeigen,
531380	533800	2420	was ein Bohrturm auf der grünen Wiese bedeuten würde
534020	537640	3620	und ist entsetzt über die Pläne für eine Probebohrung.
537840	540280	2440	Politisch ist klar, dass das Fracking in Bern keine Chance hat.
540370	542760	2390	Der Grosse Rat, das Kantonale Parlament,
542910	546720	3810	hat mit 93 zu 47 ein Fracking-Verbot beschlossen.
546820	549120	2300	Diesem Verbot haben auch
549280	552160	2880	PolitikerInnen von der BDP und der FDP zugestimmt.
552310	555160	2850	Es ist deshalb keineswegs ein grünes oder ökologisches Anliegen.
555330	558920	3590	Dass man zu diesem Zeitpunkt denkt, man könne so ein Projekt starten,
558980	563320	4340	finde ich arrogant und ein Frechheit von der Erdölindustrie.
563480	566160	2680	Der Entscheid des Parlaments ist erst eine Willensbekundung,
566350	569840	3490	das entsprechende Gesetz anpassen, wolle man erst später.
570100	573720	3620	Und jetzt dieses Projekt. Informiert hat die Seag diese Woche per Brief.
573880	576600	2720	Die Wirtin der Dorfbeiz kann aber noch nicht recht abschätzen,
576760	580760	4000	was solch eine Bohrung für Risiken mit sich bringt.
580860	583120	2260	Es gibt noch viele Fragen, die offen sind.
