start	end	duration	text
27940	29980	2040	MIT TELETEXT-UNTERTITELUNG
30620	32700.000000000004	2080	* Langsame elektronische Musik *
43510	44900	1390	Wir sind in einer Naturoase in der Stadt. Hier blüht das Leben.
47480	51740	4260	Dutzende Tier- und Pflanzenarten sind in der Siedlung Fröschmatt zu Hause.
52940	55100	2160	* Langsame elektronische Musik *
76400	77940	1540	In dieser Siedlung
78110	81100	2990	wurde gezielt ein Paradies für Flora und Fauna geschaffen.
81270	83940	2670	Sie zeigt schon, wie unsere Städte künftig aussehen.
84060	85700	1640	Guten Abend.
85789.99999999999	88980	3190	"Schön, dass Sie mit ""Einstein"" in der grünen Stadt dabei sind."
90360	91980	1620	Neue Heimat.
92110	94460.00000000001	2350	Weil auf dem Land Lebensräume verloren gehen,
94580	96580	2000	zieht es viele Tiere in die Stadt.
96759.99999999999	99580	2820	Auf der Suche nach den tierischen Immigranten.
101009.99999999999	103300	2290	Vertikal statt Horizontal.
103470	104940	1470	Wird der Boden knapp, gehen die Pflanzen die Wände hoch.
107229.99999999999	111620	4390	Wie sich unsere Metropolen zu echten Grossstadtdschungeln entwickeln.
113780	115700	1920	Gemüse frisch ab Hochhaus.
115910	119470	3560	Hightechplantagen sollen die Landwirtschaft in die Städte holen
119620	119950	330	und grosse Ernten auf engstem Raum zu jeder Jahreszeit ermöglichen.
126260	128229.99999999999	1970	Ich muss zugeben, von einer Naturoase
128400	132030	3630	habe ich einen Miniurwald im Grossstadtdschungel erwartet.
132110	134630	2520	Aber als ich herkam, hatte ich eher das Gefühl,
134780	134950	170	hier sei der Gärtner entlassen worden.
136930	141550	4620	Sabine Tschäppeler, Sie sind Leiterin Natur und Ökologie der Stadt Bern.
141700	145510	3810	Dafür, dass es so karg ist, kann der Gärtner nichts.
145660	148470	2810	Der Gärtner hatte hier nicht viel zu sagen.
148550	150070	1520	Das ist einfach ein Teil eines Pilotprojekts,
151740	154390	2650	wo man schaut, welches Potenzial dieses Gebiet hat:
154560	157470	2910	Eine 50er-Jahre-Siedlung im städtischen Raum,
157550	161550	4000	wo es sonst nur Abstandsgrün gibt, also Rasen und Einzelbäume.
161660	163670.00000000003	2010	In der Stadt heisst dies v.a.,
163900	165070	1170	möglichst viele unterschiedliche Lebensräume auf engem Raum zu haben.
167910	172270	4360	Hier kommt ein wenig Regenwasser, und dann gibt es wohl einen Tümpel,
172510	176110	3600	wenn der Sommer nicht gerade so trocken ist wie dieses Jahr.
176220	179430	3210	Genau. Das ist unsere Feuchtzone, ein wechselfeuchter Tümpel.
179590	179950	360	Es war immer klar, dass der im Sommer mal austrocknen würde.
183300	185880	2580	Er wird mit Regenwasser gespeist.
185990	189560	3570	Im Frühling hat er zwei, drei Monate Wasser - manchmal auch länger.
189670	192560	2890	Und diese Steinblöcke sind wahrscheinlich Schlupflöcher.
192780	194960	2180	Genau. Die ganze Mischung, die man hier sieht, ist ganz wichtig.
196980	199440	2460	Auf der einen Seite die grossen Blöcke -
199579.99999999997	203440	3860	hier sind auch Trockenmauerelemente, mit den Ritzen dazwischen.
203670.00000000003	207280	3610	Das ist für Reptilien, aber z.T. auch Insekten wichtig.
207460	210000	2540	Sie können sich zurückziehen. - Warum ist das in der Stadt wichtig?
211260	213890	2630	Sind die Tiere nicht lieber auf dem Land?
214020	218090	4070	Es ist natürlich so, dass man früher im Landwirtschaftsgebiet,
218180	220770	2590	in der Landschaft ausserhalb der Stadt,
220900	224970	4070	die vielen Elemente auch hatte, die wir jetzt in der Stadt haben.
225180	229490	4310	Wirkliche Wildnisecken findet man eigentlich fast keine mehr.
229710	234050	4340	Darum haben sich einige Tiere fast vollständig in die Stadt verlagert.
234220	237130	2910	Sie ist zu einer Art Ersatzlebensraum geworden
237300	240050	2750	für die Tiere, die früher eigentlich in der Landschaft aussen waren.
242720	244570	1850	So, diese Brennnesseln ...
244790	249330	4540	Wildnis mitten in der Stadt - nicht nur in Bern, auch in Zürich.
249500	252770	3270	Saskia Jenny sucht hier das verborgene Leben.
254380	255010	630	Das ist hier ziemlich zugewachsen.
259910.00000000003	262050	2140	Jenny hält Ausschau nach Wildtieren,
262200	264610	2410	die in ihrer unmittelbaren Nähe wohnen.
264780	268810	4030	Hier irgendwo im Dickicht soll eine Fuchsfamilie wohnen.
270510	273210	2700	Es ist hier wirklich ein wenig wie in einem Dschungel,
