start	end	duration	text
1440	5870	4430	1:1-Untertitelung. Livepassagen können Fehler enthalten.
5990	10670	4680	10 vor 10 - wir blicken hinter die Schlagzeilen, guten Abend.
10780	15910	5130	Altersheim Schweiz: Die Zukunft unseres Landes ist voller Senioren.
16020	19190	3170	Doch nicht alle Regionen altern gleich schnell.
19350	23470	4120	Wir zeigen, welcher Kanton wie grau sein wird in 30 Jahren.
23630	27950	4320	Alte Schweiz hier, junge Schweiz da - was kommt da auf uns zu?
28100	30590	2490	Wir analysieren die Entwicklung live im Studio,
30770	33030	2260	und wir legen dar, was sich schon heute ändert,
33180	35390	2210	damit die Alten der Zukunft hier leben können.
35510	37310	1800	Dazu heute unser Fokus.
37460	39390	1930	Weiter haben wir diese Geschichten für Sie:
41210	46270	5060	Und das, während das eigene Volk brutal unterdrückt wird.
49180	53990	4810	Die Einkaufstempel kämpfen um das Überleben.
55740	61140	5400	Jodie Foster präsentiert sich in Cannes in einer ungewohnten Rolle.
64580	69660	5080	Ein Handschlag, zwei Lächeln - und jede Menge Fragen:
69840	73340	3500	Der Besuch des Königs von Bahrain in der Schweiz ist umstritten.
73480	76780	3300	Denn im kleinen Königreich zwischen Saudi-Arabien und Katar
76860	79140	2280	gelten die Menschenrechte wenig,
79330	83180	3850	der König herrscht mit harter Hand über rund 1,3 Mio. Menschen.
83310	85380	2070	Die schiitische Mehrheit
85550	88500	2950	wird von den sunnitischen Monarchen systematisch unterdrückt -
88660	91260	2600	dennoch liefert die Schweiz Waffen nach Bahrain.
91390	95259.99999999999	3870	Warum das für massive Kritik sorgt, zeigt der Beitrag von Daniela Lager.
97090	99740.00000000001	2650	In zivil, unauffällig gekleidet,
99900	103060	3160	im hellen Sommeranzug schreitet König Hamad Bin Isa Al Chalifa
103259.99999999999	105900	2640	an der Seite von Bundespräsident Johann Schneider-Amman
106020.00000000001	107740.00000000001	1720	die Ehrengarde ab.
107940	111060	3120	Welch ein Unterschied zu den bisher unveröffentlichten Bildern,
111270.00000000001	114220	2950	die uns aus seiner Heimat Bahrain erreichen:
114380	118140	3760	Filmaufnahmen, die Menschenrechtsaktivisten
118310	121660	3350	unter Lebensgefahr gedreht und ausser Landes geschafft haben.
121740	123540	1800	Sie sollen belegen,
123780	126500	2720	dass Polizeigewalt und Willkür an der Tagesordnung sind.
126620	128580.00000000001	1960	Das Unrecht herrscht,
128729.99999999999	131860	3130	dass Menschen gefoltert werden oder einfach verschwinden,
131940	135780	3840	nachdem die Polizei sie aus den Häusern geholt hat.
135930	139340	3410	Was will die Schweiz mit dieser Einladung an einen Herrscher,
139450	142860	3410	der von Menschenrechtsorganisationen heftig kritisiert wird?
142940	145100	2160	Während in seinem Land
145200	148100	2900	trotz Demonstrationsverbot Tausende auf die Strasse gehen,
148260	151340	3080	wie diese Bilder von Anfang April belegen?
151450	155060	3610	Geht es um Menschenrechte
155210	157980	2770	bei den Gesprächen der Delegationen beider Länder
158130	160980	2850	heute auf dem Landgut Lohn - oder ums Geschäft?
161240	164020	2780	Wir fragen Staatssekretär Yves Rossier:
164579.99999999997	166900	2320	Das Ziel ist tatsächlich dieses:
167100	169780	2680	Wenn wir eine effiziente Menschenrechtspolitik
169940	172300	2360	durchführen wollen, ist es absolut notwendig,
172500	175660	3160	dass wir mit den Ländern sprechen, mit denen wir arbeiten möchten,
175829.99999999997	178700	2870	damit sich Fortschritte erzielen lassen.
178900	181940	3040	Um dies machen zu können, braucht man einen Dialog.
182140	187020	4880	Und man muss natürlich höflich und respektvoll sprechen, aber klar.
187130	189180	2050	Und das haben wir gemacht.
189320	191900	2580	Für Menschenrechte und Demokratie in Bahrain
192170	194700	2530	kämpft Sayed AlWadaei von London aus.
194770	198700	3930	Dass die Schweiz den König mit allen Ehren empfängt, hält er für falsch:
198820	203020	4200	Wir waren sehr enttäuscht,
203110	206020	2910	dass die Schweiz einen bahrainischen Diktator einlädt.
206220	209740	3520	Ausgerechnet die Schweiz, die sich doch auch im UN-Menschenrechtsrat
209820	215020	5200	für uns einsetzt. Und warum gerade jetzt?
215170.00000000003	219420.00000000003	4250	Es gibt keinen Respekt vor den Menschenrechten in dem Land
219520	222540	3020	und dieser Mann ist dafür verantwortlich.
222670.00000000003	225579.99999999997	2910	Dieser Mann, der König von Bahrain,
225660	228340	2680	sass heute mit der offiziellen Schweiz zu Tisch.
228490	231620	3130	Erst vor wenigen Wochen hat Wirtschaftsminister Schneider-Ammann
231770	235020	3250	per Stichentscheid den Export von Rüstungsgütern in die Region
235120	237660	2540	und auch nach Bahrain bewilligt.
237810	239700	1890	Die Kriterien des Bundesrats waren folgende:
239870	242220	2350	Erstens: Eignen sich die Waffensysteme
242270	244220	1950	zum Begehen von Menschenrechtsverletzungen?
244390	247020	2630	Bei Flugabwehrsystemen ist das ganz klar nicht der Fall.
247100	249260	2160	Und zweitens: Eignen sich diese Waffensysteme
249400	255660	6260	für einen Einsatz im Jemen? Und auch das ist nicht der Fall.
255740	260380	4640	Auch Ersatzteile für Tiger-Kampfjets und Munitionsexporte nach Bahrain
260470.00000000003	262540	2070	hat der Bundesrat bewilligt.
262740	266140	3400	Sayed AlWadaei befürchtet allerdings, die Schweizer Rüstungsexporte
266320	270660	4340	könnten sehr wohl im Kampf zum Einsatz kommen:
270810	273659.99999999994	2850	Wie können Sie Waffen an solche Menschen liefern?
273790	277380	3590	Sie werden damit die ganze Region ruinieren -
277580	280860	3280	schauen Sie doch die Krise im Jemen an.
280940	284580	3640	Ich war einer derjenigen, die gefoltert wurden -
284659.99999999994	287659.99999999994	3000	diese Narbe stammt von Schlägen durch die Polizei.
287860	291500	3640	Für Übergriffe auf die Bevölkerung sind die Sicherheitskräfte in Bahrain
291590.00000000006	294140	2550	noch nie zur Verantwortung gezogen worden.
294240	298020	3780	Auch nicht im Fall des 17-jährigen Oppositionellen Ali Abdulghani,
298130	301660	3530	der - so sagen Augenzeugen - vor der Polizei flüchten wollte,
301770	304020	2250	erwischt und getötet worden sei.
304160	308590	4430	Sein Begräbnis am 5. April war der Auftakt zu Massenprotesten.
309710	311950	2240	Trotzdem, findet Walter Müller, Nationalrat
312140	315670	3530	und Mitglied der sicherheits- und aussenpolitischen Kommission heute,
315820	319510	3690	seien Schweizer Rüstungsexporte vertretbar.
319640	322310	2670	Wir haben ein sehr strenges Kriegsmaterialgesetz,
322430	324350	1920	eine noch strengere Verordnung
324510	326790	2280	und eine sehr zurückhaltende Bewilligungspraxis.
326940	329990	3050	Da kann man davon ausgehen, dass das sehr streng geprüft wurde.
330140	331910	1770	In diesem Sinne liefern wir
332050	334750	2700	nur Waffenersatzteile für Flugabwehrsysteme,
334900	337670	2770	also damit sich die Bevölkerung selber verteidigen kann.
337830	340909.99999999994	3080	Immerhin: Heute sind zwei Dokumente unterzeichnet worden
341000	343030	2030	zur Stärkung der Frauenrechte
343250	346390	3140	und für bessere Bedingungen in Gefängnissen in Bahrain.
346490	348510	2020	Und wie denkt der König?
348670	351150	2480	Wir wissen es nicht: Die ganze Delegation ist,
351230	353750	2520	ohne Interviews zu geben, bereits au dem Heimweg.
358210	362270	4060	Damit zum Fokusthema heute: Die Schweiz wird immer grauer.
362370	365270	2900	Heute hat das Bundesamt für Statistik neue Zahlen veröffentlicht,
365350	368470	3120	die zeigen, wie unser Land in 30 Jahren aussieht.
368670	371830	3160	Die Zahl der Rentner explodiert förmlich, das ist bekannt.
371910	374270	2360	Neu listen die Statistiker nun aber auch auf,
374510	377150	2640	welche Regionen am schnellsten altern.
377230	379150	1920	Gewisse Kantone
379340	381790	2450	müssen mit einer Verdoppelung der Rentnerzahlen rechnen.
381960	384590	2630	Besonders betroffen sind Landkantone und Berggebiete,
384720	387390	2670	sie werden quasi zum Altersheim der Schweiz.
387550	389670	2120	Stefanie Schunke und Andre Ruch.
392540	394750	2210	Hier altert die Schweiz am schnellsten.
394900	398150	3250	Das Dorf Hinterrhein auf der Nordseite des San Bernardino-Passes
398310	400230	1920	ist statistisch gesehen
400310	404030	3720	eines der Dörfer mit den meisten alten Menschen in der Schweiz.
404230	409830	5600	Der älteste Dorfbewohner, 94, rüstet sein Brennholz noch immer selber.
409909.99999999994	413430	3520	Das Durchschnittsalter im Dorf steigt schneller als anderswo,
413530	417030	3500	eine Herausforderung auch für den Gemeindepräsidenten.
417170	422670	5500	Im Schulhaus wird seit gut 20 Jahren kein Unterricht mehr erteilt.
422790	426390	3600	Die jungen Leute sind rar geworden.
426540	429670	3130	Der Hauptgrund ist sicher, dass die jungen Menschen,
429790	432430	2640	die hier aufwachsen,
432510	436350	3840	hier ausziehen müssen, weil sie keine Lehrstelle finden.
436490	440270	3780	Später, wenn sie eine Stelle haben und ausgebildet sind,
440420	443550	3130	kehren sie nicht zurück, weil es hier keine Arbeitsstellen gibt.
443680	446390	2710	In Hinterrhein findet eine doppelte Alterung statt.
446520	448790	2270	Während die Menschen ohnehin immer älter werden,
448970	453030	4060	wie überall in der Schweiz, gibt es kaum noch Nachwuchs.
453159.99999999994	461350	8190	Es hat nicht mehr viel Kinder, eben wurde eines geboren,
461500	466790	5290	aber es gibt sehr wenig Junge.
466990	470950	3960	Ich wohne mitten im Dorf und sehe alles, was läuft.
471030	479070	8040	Dort sprechen oft 70- oder 80-Jährige, nur selten Junge.
479180	481590	2410	Ich arbeite für die Spitex.
481740	486550	4810	Man merkt schon, dass es hier viele ältere Leute gibt.
486710	490310	3600	Abgelegene Regionen wie diese werden in Zukunft zu den Altersheimen
490400	492230	1830	der Schweiz,
492390	495070	2680	sagt eine neue Studie des Bundesamtes für Statistik.
495220	498310	3090	Bis in 30 Jahren werden gewisse Kantone bis zu einem Drittel
498360	501470	3110	Rentner als Einwohner haben.
501610	505630	4020	"Der ""älteste"" Kanton soll im Jahre 2045 Uri sein,"
505750	510390	4640	voraussichtlich 34,3 % der Bevölkerung werden 65
510490	512390	1900	oder älter sein.
512559.99999999994	516309.99999999994	3750	Auch die Kantone Obwalden, Tessin, Nidwalden und Graubünden werden
516510	519390	2880	einen hohen Anteil an Rentnern haben.
519580.00000000006	523830.00000000006	4250	In den Städten wiederum findet die Überalterung auch
523970	526590	2620	in den nächsten 30 Jahren nur gedämpft statt,
526830	529390	2560	schliesslich ziehen Migranten und junge Menschen vom Land
529560	533230	3670	genau hier hin, sagt der Experte für Altersfragen.
533710	537790	4080	Leute fehlen in der Pflege, im Service, in der Hotellerie.
537950	540630	2680	Und umgekehrt, wenn sie pensioniert sind,
540720	543270	2550	kehren sie in ihre Heimat zurück.
543440	545950	2510	So wird der Anteil der alten Leute an der Gesamtbevölkerung
546050	547870	1820	noch verstärkt.
548070	550790	2720	Die Überalterung spüren kleine Gemeinden auch finanziell,
550920	553510	2590	AHV-Rentner zahlen oft wenig Steuern.
553660	557390	3730	Müssen sie ins Pflegeheim, zahlt die Gemeinde mit.
557570	562630	5060	Wenn mehrere Leute gleichzeitig ins Altersheim müssen,
562790	566070	3280	ist die Belastung für die Gemeinde grösser.
566260	570350	4090	In Hinterrhein fehlen die Jungen, um wichtige Aufgaben zu übernehmen.
570570	572750	2180	Diesen Sommer stimmen die Dorfbewohner
572950	575070	2120	über eine Gemeindefusion ab,
575310	577590	2280	um die Last auf mehr Schultern zu verteilen.
579700	581710	2010	Wir analysieren die Entwicklung weiter,
581870	584310	2440	live im Studio mit Politgeograf Michael Hermann.
584470	586470	2000	"Guten Abend, willkommen bei ""10vor10""."
586730	591230	4500	Viel mehr ältere Leute leben in der Schweiz in den Randregionen
591360	593630	2270	als in den Städten. Was macht das mit unserem Land?
593710	595910	2200	Wir untertiteln live:
603050	605910	2860	Wenn es nur die raren Regionen wären, könnte man das Problem
606080	609230	3150	lösen.
609470	614510	5040	Dann würde das doch langsam einschlafen.
614750	617910	3160	Aber es geschieht auch in Zürich, in der Zentralschweiz und überall
618110	621030	2920	sonst.
621290	625710	4420	Es läuft dort weniger dynamisch.
625950	631510	5560	Man kann die Randregionen nicht entvölkern.
631590	634320	2730	Graubünden ist weit am Rand.
634600	640480	5880	Sie haben eine schwache Peripherie.
642340	644200	1860	Ein ganzer Kanton muss vielmehr tragen.
644480	646640	2160	Das ist die Herausforderung.
646630	649240	2610	Schon heute ist der Finanzausgleich ein heikles Thema,
649410	651360	1950	die Reicheren finanzieren die Ärmeren.
651500	654320	2820	Wird sich das noch verschärfen?
662830	664800	1970	Das wird sich verschärfen.
665000	666720	1720	Es ist ein neuer Konflikt.
666920	671080	4160	Er war bisher unbekannt.
671320	674520	3200	Die Zentralschweiz hat tiefe Steuern.
674750	676920	2170	Plötzlich sind andere Kantone bei den Kantonen.
677140	680800	3660	Es gibt neue Konflikte.
681060	686880	5820	Man verstärkt nicht nur die älteren Konflikte.
693540	696740	3200	Wenn nun diese eine Schweiz die andererseits bremst, haben wir ein
696940	700100	3160	Problem.
700080	702340	2260	Und wie sieht das politisch aus,
702450	705460	3010	Stichwort Altersreform oder Besitzstand?
722320	724340	2020	Man möchte die Besitzwahrung sowieso haben.
724580	727180	2600	Das sieht man bei den Abstimmungen.
727350	733100	5750	Es gibt kein Alters graben.
733290	738710	5420	Es geht nur um die eine Schweiz gegen die andere Schweiz.
738930	744870	5940	Das Land kann sich also reformieren.
747900	752630	4730	Die Frage ist, möchte man auf etwas verzichten.
752600	755670	3070	Eine immer ältere Schweiz - das birgt auch Chancen,
755850	761830	5980	gerade aus wirtschaftlicher Sicht: Viele Senioren sind heute ja aktiv,
762060	764830	2770	gewillt, die Pension so richtig zu geniessen.
764960	767510	2550	Das haben auch die Schweizer Hotels gemerkt:
767690	770670	2980	Sie wollen künftig den barrierefreien Tourismus fördern,
770800	772670	1870	sprich sicherstellen,
772820	775630	2810	dass sich auch Gäste mit Rollator oder im Rollstuhl wohlfühlen.
775740	777630	1890	Nina Blaser:
778890	782070	3180	Täglich gut im Strumpf - und das im Hotel.
782180	785110	2930	Das rechte Bein bitte.
785260	789070	3810	Der Spitex-Besuch gehört zum Service, wie das Frühstück im Zimmer.
789260	793950	4690	Im Hotel Eden in Spiez geniesst die 74-jährige Katalin Krasznai Ferien.
794100	798510	4410	Allein. Möglich macht's die morgendliche, professionelle Hilfe.
799330	805350	6020	Ich finde es sehr, sehr gut, dass man noch Neugierig auf die Welt ist.
805520	809080	3560	Ein altes Sprichwort sagt: Reisen bildet.
809190	812880	3690	Wenn man vom täglichen Trott weg ist,
813110	819200	6090	hat man eine andere Perspektive auf das Leben.
819360	824520	5160	Die Perspektive: Möglich durch ein entsprechendes Hotelangebot:
824620	827080	2460	hindernisfrei und geräumig.
827250	829640	2390	An Angeboten mangelt es hierzulande nicht.
829750	832060	2310	Aber wer spezielle Bedürfnisse hat,
832150	835820	3670	muss sich die Infos darüber mühsam zusammen suchen.
836030	840860	4830	Das soll sich nun ändern, sagt Susanne Gäumann.
841110	846660	5550	Sie leitet das Projekt Barrierefreiheit in der Hotellerie.
846750	849860	3110	Neu ist, dass wir Informations- kriterien definiert haben,
850070	852740	2670	die nicht nur die Rollstuhlgängigkeit betreffen,
852850	854780	1930	sondern auch Informationen bieten
854930	856980	2050	für Menschen mit Seh- oder Hörbehinderung,
857130	860420	3290	aber auch für Senioren mit spezifischen Bedürfnissen.
860600	862820	2220	Für alle vom barrierefreien Tourismus
863010	865860	2850	soll die Hotelwahl einfacher werden.
866070	871260	5190	Das man das überhaupt sieht und nutzten kann,
871390	874380	2990	ist es wichtig, dass die Tourismusaktueure mitmachen.
874630	877980	3350	So Schweiz Tourismus und hotelleriesuisse.
878080	881900	3820	Wie barrierefrei ein Hotel ist, wird künftig einheitlich erfasst
881990	885060	3070	und in zentralen Hotelverzeichnissen abrufbar sein.
885220	888100	2880	Der Bund unterstützt das Projekt finanziell.
888190	891180	2990	Barrierefrei ist für Menschen mit Behinderung,
891310	893860	2550	speziellen Bedürfnissen und Senioren.
893970	896340	2370	Barrierefrei ist ein Zukunftsmarkt.
896550	899580	3030	Weil die Zahl der Senioren in den kommenden Jahren steigt,
899740	903660	3920	investiert die Branche vermehrt in dieses Kundensegment.
903910	907340	3430	Eine Studie der EU-Kommission analysierte
907500	910780	3280	hat das wirtschaftliche Potenzial des barrierefreien Tourismus.
910920	915540	4620	Dessen Gesamtumsatz in der EU beträgt über 780 Mrd. Euro.
915690	920940	5250	Im Jahr 2020 dürfte der Markt die Billionenmarke knacken.
921110	925380	4270	Für die Schweiz existiert keine Studie.
925490	928620	3130	Doch das Potenzial des Marktes sei auch hier erkannt,
928780	933020	4240	sagt Jürg Stettler, Tourismusexperte an der Hochschule Luzern.
933160	935060	1900	In der Schweiz kann man davon ausgehen,
935150	938580	3430	dass es etwa zwischen 800'000-1 Mio. Personen gibt,
938750	941500	2750	die dieses spezifische Bedürfnis haben.
941710	943900	2190	Interesssant ist das internationale Potential.
944110	946700	2590	Wenn man das aufgrund von EU-Studien schätzt,
946910	950460	3550	kann man sicher von 80 Mio. potentiellen Reisenden ausgehen.
950670	955140	4470	Wenn man es weltweit anschaut, ist es ein noch interessanterer Markt.
955380	959020	3640	Daher lohnt sich das sicher aufgrund von den Standortvoraussetzungen,
959120	961460	2340	vom Angebot, das die Schweiz schon anbietet,
961580	963940	2360	dieses Segment gezielt zu fördern.
964100	967100	3000	Senioren: Sie wünschen vermehrt Individualreisen
967220	970500	3280	statt durchgeplante Gruppenreisen.
970610	973060	2450	Wann hören Sie auf, zu reisen?
973230	976340	3110	Das weiss ich nicht, das kann man nicht voraussagen.
976510	980500	3990	Dann wenn meine Beine nicht mehr mitmachen.
980600	987300	6700	Aber wenn ich sehe, wie meine Freunde noch mit 80 Jahren reisen,
987430	990140	2710	dann bin ich sehr zuversichtlich.
990300	994460	4160	Ferien bis ins hohe Alter.
994540	997300	2760	Nutzt der Tourismus das Segment nicht,
997390	1001000	3610	ist der demographische Wandel ein Segen.
1003510	1006320	2810	Soviel zu unserem Fokus Altersheim Schweiz.
1006460	1011840	5380	"""Dead Malls"", tote Shoppingcenter - in den USA sind solche"
