start	end	duration	text
3050	3920	870	.
4019.9999999999995	6560	2540	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6760	9920	3160	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""!"
10130	11840	1710	Das macht an diesem Donnerstag Schlagzeilen:
13880	16440	2560	... sagen die Anwälte der Asbestopfer in Italien
16530	18480	1950	zum De-facto-Freispruch für Schmidheiny
18590	20800	2210	und arbeiten an einer neuen Klage.
22390	24800	2410	... sagen der Bund und Forscher bei der Geothermie.
24900	27680	2780	Diese Art der Energiegewinnung sei zu wichtig,
27880	29000	1120	um darauf zu verzichten.
30390	32600	2210	... sagt sich Obama und trotzt dem Kongress.
32759.999999999996	35880	3120	Er will das Problem der illegalen Einwanderer per Dekret lösen.
39050	40330	1280	Wolken über dem Nebel.
40440	41970	1530	Im Mittelland bleibt es grau,
42180	43290	1110	im Westen und im Süden scheint die Sonne.
44500	46290	1790	Kurz nach 9 Uhr war es,
46440	48930	2490	da sind in Rom 5 Jahre juristischer Schwerarbeit, 2 Gerichtsurteile
49130	52170	3040	und eine drohende Strafe über 18 Jahre Gefängnis
52300	55810	3510	mit einem Wort ad acta gelegt worden: verjährt.
56490	58890	2400	Die Annullation des Urteils gegen Stephan Schmidheiny
59020	60450	1430	im Asbest-Prozess
60590	62690	2100	hat in Italien gestern Abend wie ein Bombe eingeschlagen
62880	65129.99999999999	2250	und selbiges mit einer Frage zurückgelassen:
65250	68530	3280	Welchen Weg schlägt die Justiz ein,
68700	70610	1910	mit Urteilen, die sich gegenseitig widersprechen?
70760	71970	1210	Philipp Zahn berichtet.
73920	76210.00000000001	2290	Im politischen Rom herrscht heute Ratlosigkeit,
76410	79890	3480	aber auch die Überzeugung, dass das Urteil von gestern
80050	82970	2920	Schwachstellen des italienischen Justizsystems aufgezeigt hat.
83050	85890	2840	Ohne das Urteil zu kommentieren,
86150	89530	3380	kann doch die Zeit nicht bestimmen, was richtig und was falsch ist.
89610	91450	1840	Die Verjährung kann doch nicht verhindern,
91590	93810	2220	Urteil über Recht und Unrecht zu fällen?
94009.99999999999	97009.99999999999	3000	Und im Parlament beginnt schon die Diskussion,
97150	99610	2460	inwieweit der Gesetzgeber jetzt nachbessern muss.
99789.99999999999	103650	3860	Unsere Aufgabe ist es, bei Strafanklagen wie im Fall Eternit
103780	107850	4070	die Verjährungsfristen neu zu überdenken.
110500	112170	1670	Viel mehr sollten wir
112229.99999999999	115009.99999999999	2780	über die Effizienz unseres Rechtssystems sprechen,
115210.00000000001	117410	2200	als jetzt die Obersten Richter kritisieren.
117570	120890	3320	Die haben ja nur geltendes Recht angewendet.
121090	125610	4520	Genau das aber wollen die Angehörigen der Asbestopfer nicht akzeptieren,
125690	126970	1280	wie auch nicht,
127110	130889.99999999999	3780	dass der Rechtsstreit mit Stephan Schmidheiny jetzt ein Ende hat.
131150	134170	3020	Der Entscheid ist ein schwerer Schlag,
134200	137490	3290	der weh tut, uns alle tief verstört.
137680	140530	2850	Dennoch werden wir weitermachen, reagieren.
140610	143250	2640	Rückendeckung dafür kommt aus Turin.
143329.99999999997	147610	4280	Dort will die Staatsanwaltschaft jetzt ein neues Verfahren anstrengen:
147750	153010	5260	gegen Stephan Schmidheiny wegen 256-fachen Totschlags.
153100	156860	3760	Für Experten ein neuer, steiniger Rechtsweg.
157060	160820	3760	Denn den Eternit-Managern müsste man dann nachweisen können,
160990	164140	3150	dass sie voller Verachtung das Leben von Menschen
164230	170140	5910	innerhalb und ausserhalb der Fabriken aufs Spiel gesetzt haben.
170260	173620	3360	In Casale Monferrato herrscht heute Trauer.
173760	175460	1700	Die Hauptstadt des Asbests
175680	179740	4060	fühlt sich von den höchsten Richtern Italiens im Stich gelassen.
181630	184260	2630	Stephan Schmidheiny lässt über seine Schweizer Sprecherin ausrichten,
184360	186220	1860	dass er den Entscheid begrüsse.
186410	188980	2570	Die Verteidigung erwarte, dass der italienische Staat
189160	192620	3460	Schmidheiny vor weiteren ungerecht- fertigten Strafverfahren schütze.
192750	194260	1510	Und weiter:
214480	216780	2300	Auch in der Schweiz sind viele Klagen von Asbestopfern
216960	220340	3380	mit dem Verdikt Verjährung abgeschmettert worden.
220570	223180	2610	Allerdings werden derzeit Fälle neu aufgerollt.
223360	226860	3500	Der Grund liegt bei einem Urteil des Gerichtshofs für Menschenrechte
226990	228260	1270	in Strassburg.
228420.00000000003	230900	2480	Das hält fest, dass Verjährungsfristen bei Erkrankungen,
231170.00000000003	234220	3050	die erst Jahrzehnte nach dem eigentlichen Delikt ausbrechen,
234370	236700	2330	so nicht angewendet werden können.
236910	239180	2270	So steigen die Hoffnungen auf Entschädigungsklagen
239410	241500	2090	oder auf unbürokratische Einigungen.
243500	246540	3040	David Husmann, Vertreter von Asbestopfern in der Schweiz,
246710	249420	2710	verfolgt den Prozess in Italien genau.
249530	251620	2090	Die Verjährung kam auch ihm in die Quere.
251730	254780	3050	Doch seit seinem Erfolg im Frühling beim Gerichtshof für Menschenrechte
254950	257980.00000000003	3030	haben seine Klienten neue Chancen vor Gericht.
258149.99999999997	260260	2110	Jetzt kommen eigentlich die essenziellen Fragen, nämlich:
260440	264780	4340	Was wusste man damals? Hätte man nicht besser schützen müssen? Usw.
265000	267380	2380	"Diese Fragen kämen - ich sage ""kämen"","
267600	269340	1740	ich hoffe eigentlich auf etwas anderes.
269520	273140	3620	Das andere, das ist ein Brief von Bundesrat Alain Berset.
273310	275700	2390	Er stellt einen runden Tisch in Aussicht.
275870	278620	2750	Zur Diskussion steht, was Husmann schon lange fordert:
278810	281540	2730	ein Fonds zur gerechten Entschädigung von Asbestopfern,
