start	end	duration	text
12560	19170	6610	.
19220	23410	4190	1:1-Untertitelung
23600	26050	2450	"Guten Abend. Herzlich willkommen zu ""Schweiz aktuell""."
26290	29250	2960	Dies sind unsere Schlagzeilen am 7. Juli:
31580	34090	2510	Die Arbeiter im Schallbergtunnel arbeiten Tag und Nacht daran,
34310	36370	2060	dass der Tunnel an der Simplonbergstrecke
36570	38710	2140	morgen früh wieder geöffnet werden kann.
42830	46110	3280	Franz Weber und seine Familie werden von Kritikern zu Kritisierten.
46210	47670	1460	Sie haben selbst
47840	50750	2910	mehrere Zweitwohnungen mit kalten Betten, z.B. in Brienz.
54570	57910	3340	Der St. Galler Stadtvater Vadian
58090	61440	3350	ist heute auf seinen Sockel zurückgehievt worden.
61670	64120.00000000001	2450	Das Denkmal wiegt fast 3 t und ist eben entrostet worden.
64790.00000000001	67200	2410	Es vergeht keine Woche ohne Schlagzeilen zur Affäre Mörgeli,
67380	69120	1740	also zur Entlassung von Christoph Mörgeli
69320	72800	3480	als Kurator des Medizinhistorischen Museums der Uni Zürich.
73010	75600	2590	Jetzt kritisiert der Datenschützer die Uni.
75720	77880	2160	Sie habe gegen das Gesetz verstossen.
78090	80039.99999999999	1950	Die Uni stellte der Staatsanwaltschaft
80250	82800	2550	Mail- und Telefondaten von Ange- stellten und Studenten zur Verfügung.
85600	88560	2960	Das Medizinhistorische Museum unter der Leitung von Christoph Mörgeli
88700	91520	2820	sei in einem miserablen Zustand.
91730	95390	3660	Das stand in einem internen Bericht der Universität Zürich,
95490.00000000001	98509.99999999999	3020	der vor 2 Jahren an die Öffentlichkeit gelangte.
98670	101270.00000000001	2600	Um herauszufinden, wer die Informationen weitergab,
101479.99999999999	104550	3070	gab die Uni Zürich daraufhin grosszügig E-Mail- und Telefondaten
104710.00000000001	107470	2760	von Mitarbeitern und Studenten an die Staatsanwaltschaft weiter.
107680	111950	4270	Das sei rechtswidrig und unverhältnismässig,
112050	115110	3060	kritisiert der Zürcher Datenschützer Bruno Bäriswyl.
115300	118070	2770	Die Universität hat keine Rechtsgrundlage,
118170	121950	3780	um solche Daten nach bestimmten Kriterien auszuwerten.
122120	127110	4990	Dementsprechend stand es dem Interesse der Betroffenen entgegen,
127270	129990.00000000001	2720	dass solche Daten weitergegeben werden.
130090	131870	1780	Die Uni gesteht Fehler ein.
131970	135910	3940	Man hätte vorsichtiger mit den internen Daten umgehen müssen.
136060	138870	2810	Christian Schwarzenegger, zukünftiger Prorektor der Uni Zürich,
139010	140870	1860	sagt aber auch:
141010	143590	2580	Es stand im Zeichen der stressigen Situation
143770	146110	2340	um die Affäre um Herrn Mörgeli,
146200	148670.00000000003	2470	um die Entlassung und Amtsgeheimnisverletzung.
148840	151030	2190	Die Universität meinte, sie müsse schnell reagieren
151130	154270	3140	und erhob unverhältnismässig viele Daten.
154450	157590	3140	Die Uni will nun den Datenschutz verbessern
157750	159710	1960	und hat dafür neue Richtlinien erarbeitet,
159920.00000000003	161670.00000000003	1750	die ab sofort gelten sollen.
163410	164790	1380	Die Basler Osttangente -
165010	167950	2940	eigentlich war sie vorgesehen für 80'000 Autos pro Tag.
168120	172510	4390	Mittlerweile quetschen sich dort bis zu 150'000 durch das Nadelöhr.
172650	176470	3820	Dass die Strasse ausgebaut werden muss, ist klar.
176590	178470	1880	Umstritten ist wie.
178730	181310	2580	Jetzt schlägt das Bundesamt für Strassen Astra
181400	182790	1390	statt des Ausbaus
182950	185470	2520	einen zusätzlichen, 2-spurigen Tunnel auf einer Länge von 3,5 km
185620	187750	2130	unter dem Rhein hindurch vor.
187860	191030	3170	Kostenpunkt: 1,4 Mrd. Fr.
193370	195550	2180	Es ist ein guter Tag für die 4 Vorstandsmitglieder
195670	197310	1640	von 2 Basler Vereinen.
197430	199190	1760	Sie kämpfen seit vielen Jahren dagegen,
199350	202030	2680	dass die Osttangente verbreitert und damit für die Anwohner
202130	203630	1500	noch lauter wird.
203780	206350	2570	Dass es nun statt eines Ausbaus einen Tunnel gibt,
206560	208950	2390	ist auch eine Folge ihres Kampfes.
209050	210829.99999999997	1780	Wir können uns drüber freuen.
210970	212610	1640	Es ist ein Schritt in die richtige Richtung.
212790	216170.00000000003	3380	Aber andererseits haben wir gelernt, uns nicht zu schnell
216280	220370	4090	zufrieden zu geben, denn das, was am Ende realisiert wird,
220510	225370	4860	ist oft sehr anders, darum kämpfen wir weiter.
225610	228930	3320	Die Osttangente ist einer der meistbefahrenen Strassenabschnitten
229070	232430	3360	der Schweiz. Staus gibt es hier quasi täglich.
232590	235910	3320	Dass der Bund hoch über der Autobahn eine Tunnellösung präsentiert,
236090	238710	2620	ist für Basel-Stadt ein Erfolg,
238900	241310	2410	denn davon wollte der Bund nämlich lange nichts wissen.
241450	244590	3140	Es ist absolut zentral für die Stadt,
244800	248350	3550	dass wir eine oberirdische Erweiterung verhindern konnten.
248480	249870	1390	Im Gegenteil,
250030	253110	3080	jetzt bekamen wir eine tolle unterirdische Variante präsentiert.
253250	257870	4620	Das ist heute eine wichtige Weichenstellung für Basel.
258089.99999999997	263510	5420	Die Tunnellösung unter dem Rhein durch ist 300 Mio. Fr. teurer
263610	268790	5180	als das ursprüngliche Projekt, das einen oberirdischen Ausbau wollte.
269010	272790	3780	Der Bund will nun, dass sich die bei- den Basel an den Merkosten beteiligen
272950	276870	3920	Warum erwarten Sie Geld von den Kantonen,
277090.00000000006	279470	2380	Nationalstrassen sind doch Aufgabe des Bundes?
279640	282990	3350	Die ursprüngliche Lösung war oberirdisch.
283220	287350	4130	Damit hätte man die Thematik Engpassbeseitigung lösen können.
287480	289710	2230	Jetzt sind wir bei einer anderen Lösung.
289880	292110	2230	Das alte Projekt landete in einer Sackgasse,
292250	296790	4540	weil die Akzeptanz des Vorhabens wegbrach.
296930	299630	2700	Nun hat das Projekt einen anderen Inhalt
299780	302470	2690	und deutliche Mehrkosten.
302650	304670	2020	Darum müssen wir diese Diskussion führen.
304770	306350	1580	Wie viel sind Sie bereit zu zahlen?
306480	310110	3630	Es ist jetzt viel zu früh, das im Detail zu sagen.
310310	314910	4600	Bis jetzt waren wir bei Planung nicht dabei.
315130	318670	3540	Wir deponierten auch keine Sonderwünsche beim Astra.
318800	320640	1840	Darum sehe ich keinen Grund,
320780	322720	1940	warum wir etwas zu die Kosten beitragen sollten.
322980	324680	1700	Der Diskussionsstoff geht dem Bund und den Kantonen also auch
324760	327080	2320	mit dem neuen Projekt nicht aus,
327220	330520	3300	aber auch den Anwohnern der Osttangente nicht.
330600	334600	4000	Sie fordern nämlich dringend eine Lärmschutzverbesserung,
334680	338600	3920	denn auch mit dem neuen Tunnel bleibt die Osttangente laut.
340440	342320	1880	Und wenn wir gerade bei den Engpässen sind:
342510	345520	3010	Der Schallbergtunnel in Richtung Simplonpass auf der A9
345720	348400	2680	ist immer noch geschlossen und zwar bis morgen früh.
348510	350520	2010	In der Nacht auf Freitag brach das Tunnelgewölbe
350630	352640	2010	bei Sanierungsarbeiten ein.
352720	354400	1680	Tonnenweise Fels kam hinunter.
354480	356720	2240	Autos und Motorräder können den Tunnel zwar
356800	358840.00000000006	2040	über die alte Simplonstrasse umfahren,
358920	360960	2040	Lkws sind aber blockiert.
361190	364360	3170	Sie müssen in Raron und Gondo in einem Stauraum warten.
364580	366440	1860	Unterdessen sorgen die Arbeiter dafür,
366610	368760	2150	dass der Tunnel wieder geöffnet werden kann.
368860	371080	2220	Silvia Graber nahm einen Augenschein.
372750	374880	2130	Es wird gebohrt im Schallbergtunnel.
374960	377920	2960	Seit dem Deckeneinsturz wird rund um die Uhr in 3 Schichten gearbeitet.
378160	381120	2960	Lange Felsanker aus Stahl sollen die Decke sichern.
381320	384200	2880	David Wetter vom Bundesamt für Strassen Astra erklärt,
384330	386960	2630	was genau getan wird.
387160	390920	3760	Jetzt sieht man gerade schön, wie Felsanker versetzt werden -
391140	392800	1660	rund 8 m lange.
392930	395240	2310	Parallel dazu ... Es sind gleich 2 Arbeitsschritte:
395360	397040	1680	Man bohrt die Felsanker,
397130	401440	4310	und dann werden auf dem Spritzbeton Sicherungsnetze angebracht.
401630	405360	3730	Insgesamt 200 m3 Fels lösten sich beim Tunneleinsturz
405510	407480	1970	am letzten Donnerstag von der Decke.
407710	409560	1850	Als es geschah, waren mehrere Bauarbeiter dabei,
409800	414000	4200	die alte Tunnelsicherung etappenweise durch eine neue zu ersetzen.
414240	422080	7840	Jürg Wüthrich arbeitete als Polier daran, als die Decke einstürzte.
422270	425680	3410	Als wir ca. 2 m raus hatten, entstanden Risse.
425810	430800	4990	Das Material begann zu bröckeln.
430970	433560	2590	Es gab auf der anderen Seite einen Riss.
433790	440800	7010	"Man sagte nur noch: ""Weg!"" Dann kam das ganze Material herunter."
440890	443240	2350	Was ging Ihnen dabei durch den Kopf?
443420	448160	4740	Nicht viel, möglichst schauen, ob man alle Leute hat
448310	453159.99999999994	4850	und dann alles für die Strassensperrung organisieren.
453290	457440	4150	Nur weil die Arbeiter schnell und richtig reagierten,
457590.00000000006	462200	4610	sei nichts Schlimmeres geschehen, meint David Wetter des Astra.
462350	466280	3930	Wir hatten hier Schutzengel. Wir hatten Glück.
466390	469520	3130	Warum kam der Fels hinunter?
469600	473200	3600	Es ist Geologie, eine Naturgefahr.
473370	477159.99999999994	3790	Man kann das nie 100 % in den Griff bekommen.
477230	481720	4490	Beim Tunnelbau in diesem Teil sind die Risiken da,
481950	485600	3650	dass die Geologie nicht 100 % den Erwartungen entspricht.
485680	487400	1720	Das hier ist ein klassischer Fall.
487580	490680	3100	Wir rechneten nicht damit, hier so viele Kubaturen
490850	495120	4270	gelockerten Schiefer zu haben. Das war nicht voraussehbar.
495310	499040	3730	Die 200 m3 Schiefer wurden in den letzten Tagen
499120	502440	3320	aus dem Tunnel transportiert.
502590	504840	2250	Heute fuhren die Autos noch auf der alten Simplonstrasse
504940	506350	1410	parallel zum Tunnel.
506580	509230	2650	Die Lastwagen konnten nicht über den Simplon fahren.
509400	511830	2430	Für sie war auf dem Stauplatz Goler in Raron Endstation,
511920	513870	1950	wie für diesen Fahrer aus Rumänien,
514039.99999999994	516590.00000000006	2550	die für eine holländische Transportfirma unterwegs ist.
518870	522470	3600	Ich bin seit 47 Std. hier und muss warten,
522679.99999999994	526270	3590	weil ich nicht umkehren kann.
526390	529390	3000	Ich habe gefährliche Güter geladen. Man wies mich hier in den Parkraum.
529550	532710	3160	Es gibt hier nicht einmal Toiletten und auch keine Abfallbehälter.
532810	534760	1950	Niemand informiert uns.
534930	539760	4830	Am Morgen um 6 Uhr ist die Strasse über den Simplon
539910	541920	2010	auch für die Lastwagen wieder offen.
542130	544520	2390	Der Schallbergtunnel ist wieder einseitig befahrbar.
546570	549520	2950	Er ist bekannt als Käufer der Therme Vals
549720	553440	3720	und umtriebiger Immobilienunter- nehmer, der Churer Remo Stoffel.
553530	555610	2080	Jetzt verurteilt ihn das Bündner Kantonsgericht
555770	558250	2480	zu einer massiv höheren Geldstrafe als vorher das Bezirksgericht.
561990	563450	1460	Remo Stoffel sei schuldig
563610	565970	2360	u.a. wegen ungetreuer Geschäfts- besorgung und Gläubigerschädigung
566080	568410	2330	im Zusammenhang mit den Konkursen dieses Cafes
568640	571730	3090	und einer Backwarenfirma in Pontresina.
571880	574610	2730	Das sagt das Kantonsgericht und erhöht nun in 2. Instanz
574840	579490	4650	seine Geldstrafe von 240'000 Fr. auf 540'000 Fr. bedingt.
579670	581890	2220	Ob er das Urteil an das Bundesgericht weiterzieht,
582100	584210	2110	hat Remo Stoffel noch nicht entschieden.
585830	588330	2500	Für die Gegner von Franz Webers Zweitwohnungsinitiative
588460	590690	2230	ist es ein gefundenes Fressen:
590780	594930	4150	Er und seine Familie haben selbst mehrere Zweitwohnungen,
595040	597850	2810	"schrieb die ""Schweiz am Sonntag"" gestern -"
597960	600650	2690	2 in der Schweiz und 2 in Frankreich.
600790	602930	2140	Diese seien genau so, wie es die Webers kritisierten,
603040	606130	3090	nämlich meist leer.
606270	607810	1540	Z.B. eine 4-Zimmer-Wohnung
607970	610130	2160	im Personalhaus des Hotels Giessbach in Brienz.
610320	613250	2930	Remi Bütler und Daniel Däster wollten wissen,
613350	615970	2620	ob die Vorwürfe Hand und Fuss haben.
617420	619530	2110	Franz Weber hat das Hotel Giessbach in Brienz
619650	621930	2280	vor vielen Jahren vor dem Untergang gerettet.
622090	624890	2800	In Brienz hat man ihm also viel zu verdanken.
625020	628530	3510	Aber dass er mehrere Zweitwohnungen haben soll,
628690	630810	2120	davon eine im Personalhaus hinter dem Hotel,
631040	634290	3250	stört auch den einen oder anderen Brienzer.
634410	637490	3080	Er trinkt Wein und predigt Wasser.
637650	640410	2760	Das kommt für mich nicht ganz unerwartet.
640550	644050	3500	Man hat es ja gewusst, dass es mehrere Liegenschaften gibt.
644160	648450	4290	Ich bin aber erstaunt, dass man es erst jetzt so wahrnimmt.
648610	653500	4890	Aber es stört mich massiv, ja. Es stört mich massiv.
