start	end	duration	text
3750	6630	2880	.
6850	8710	1860	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8750	11030	2280	Guten Abend, meine Damen und Herren.
11200	13430	2230	Das macht am ersten Advent Schlagzeilen:
15070	20390	5320	Die EU stellt der Türkei Milliardenunterstützung in Aussicht.
22260	28110	5850	In Paris gehen trotz Demonstrations- verbot Tausende auf die Strasse.
30160	34790	4630	Die Schweizerische Nationalbank ist in einer ungemütlichen Lage.
36800	41470	4670	Das neue Wintersportangebot macht nicht nur Freude.
43340	48030	4690	Am Nordrand und im Osten ein paar Tropfen, sonst auch mal sonnig.
50590	54950	4360	1,5 Mio. Migranten sind dieses Jahr in die EU gekommen,
55050	56910	1860	die meisten über die Türkei.
57140	59950	2810	Das hat die EU heute vor dem Sondergipfel mit der Türkei
60060	61470	1410	bekannt gegeben.
61640	64230.00000000001	2590	Und bis jetzt hat die türkische Regierung wenig unternommen,
64489.99999999999	66830	2340	um die vorwiegend syrischen Flüchtlinge
67030	70910	3880	von ihrer gefährlichen Reise nach Europa abzuhalten.
71050	73750	2700	Die Türkei ist das wichtigste Transitland nach Europa.
73940	78830	4890	Und laut Zahlen der UNO leben derzeit 2,2 Mio. syrische Flüchtlinge dort.
79039.99999999999	83720	4680	Dazu kommen 1,1 Mio. im Libanon, die auf dem Weg nach Europa
83930	87680	3750	ebenfalls meist via Schiff über die Türkei reisen.
87890	90720	2830	Um die unkontrollierte Migration auf der Balkanroute
90940	95240.00000000001	4300	in den Griff zu bekommen, ist die EU also von der Türkei abhängig.
95340	97840	2500	Und sie lässt sich die Kooperation
98020.00000000001	100200	2180	mit Geld und Zugeständnissen honorieren.
102780	106280	3500	Der heutige EU-Gipfel ist in den Augen der Türkei ein historischer.
106500	110479.99999999999	3980	Ministerpräsident Davutoglou ist sichtlich erfreut.
111220	114039.99999999999	2820	Bei diesem Meeting geht es um Flüchtlingsströme.
114210.00000000001	118680	4470	Aus humanitärer und strategischer Sicht ein sehr wichtiges Thema.
118759.99999999999	120600	1840	Aber es geht auch darum,
120810	122630	1820	wie wir eine grosse Idee wiederbeleben können,
122850	130430	7580	nämlich die Vereinigung der EU mit dem Potenzial der Türkei.
130539.99999999999	134710	4170	Für die Hilfe in der Flüchtlingsfrage hat EU-Gipfelchef Donald Tusk
134870	139150	4280	der Türkei grosse Zugeständnisse machen müssen.
140060	142590	2530	Wir haben vereinbart,
142760	145910	3150	dass wir unsere bilateralen Beziehungen intensivieren.
