start	end	duration	text
1190	3270	2080	.
3560	6630	3070	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6720	8830	2110	Guten Abend.
9040	11110	2070	Die EU scheint mit ihrer Geduld am Ende,
11250	14390	3140	die Nerven sind auf beiden Seiten angespannt,
14540	16910	2370	die Situation im Schuldenstreit einmal mehr verfahren:
17120	19590	2470	Machen die Parteien heute Abend einen Schritt aufeinander zu
19800	22790	2990	oder rückt der Bankrott Griechenlands noch einen Schritt näher?
22960	25150	2190	Dazu unser Fokus heute. Die weiteren Schlagzeilen:
26490	30510	4020	Die Abhängigkeit der BDP von Bundesrätin Eveline Widmer-Schlumpf.
34380	39150	4770	5'000 Demenzkranke leben in der Schweiz einsam und verwahrlost.
40770	47870	7100	Der neue Roman von Erfolgsautor Claude Cueni.
49790	53790	4000	Es herrscht dicke Luft in Brüssel.
53930	57950	4020	Die schier unendliche Schuldenkrise drückt auf die Stimmung.
58040	61870	3830	Wiedermal soll es heute Abend ein Krisentrtreffen geben,
62080	64150.00000000001	2070	zwischen der deutschen Kanzlerin Merkel,
64220	66150	1930	dem französischen Präsidenten Hollande
66350	68470	2120	und dem griechischen Premier Tsipras.
68620	71350	2730	Dessen neustes Sparangebot hat die EU nicht zufriedengestellt,
71480	75070	3590	sie fordert von Griechenland weitere Kürzungen,
75130	78190	3060	z.B. bei den Renten.
78440	80990	2550	Tsipras steckt im Dilemma, aufgerieben
81210.00000000001	84070	2860	zwischen den Ansprüchen seiner Partei und den Forderungen der EU.
85120	88190	3070	Beim Begrüssungsshooting für die Presse machen Tsipras und Juncker
88330	90990	2660	gute Miene zum bösen Spiel.
91080	93270.00000000001	2190	Was mögliche Gespräche oder gar Lösungen anbelangt,
93450	96150	2700	gibt sich der EU-Kommissionspräsident allerdings zugeknöpft.
96350	99110	2760	Das werden wir im Laufe des Tages sehen.
99310	102310	3000	Jeder Tag zählt, jedes Gespräch kann helfen,
102430	105150	2720	so die Bundeskanzlerin.
105250	107150	1900	Wenn der griechische Minister- präsident mit uns sprechen möchte,
107310	109470	2160	werden wir das natürlich tun.
109550	111910	2360	Die Botschaft wird die sein,
112009.99999999999	115390	3380	dass Gespräche mit den drei Insti- tutionen fortgesetzt werden müssen.
115450	119150	3700	Das Ziel ist, Griechenland im Euroraum zu behalten.
119330	122430	3100	Ich gehe auch immer mit der Massgabe an solche Dinge heran:
122580	124190	1610	Wo ein Wille ist, ist auch ein Weg.
124350	127630	3280	Geht es nach der EU, sollte Tsipras die Renten kürzen,
127710	130389.99999999999	2680	den Haushaltsüberschuss erhöhen.
130520.00000000001	132590	2070	Griechenland-Korrespondent Werner van Gent analysiert,
132800	136150	3350	warum Tsipras die EU seit Monaten vor den Kopf stösst:
136240	140870	4630	Er will erreichen, dass er seine Wahlversprechen durchsetzen kann
140960	144990	4030	und dass die Europäer nachgeben. Aber das geht nicht.
145170.00000000003	148790	3620	Das ist aussichtlos. Er versucht im Prinzip,
149000	154070	5070	die Quadratur des Kreises zu machen und das ist sehr, sehr schwierig.
154140	158990	4850	Besonders heikel ist, die von der EU geforderte Kürzung der Renten.
159120	161630	2510	Diese wurden bereits um 40 % gekürzt.
161790	165110	3320	Die griechischen Rentner leben an der Armutsgrenze
165200	168470	3270	und müssen Lebensmittelhilfe in Anspruch nehmen.
168680	173470	4790	Ich musste schon so viele Kürzungen erdulden, genug ist genug.
173610	179630	6020	Es gibt sonst nichts mehr, was man uns wegnehmen könnte.
179770	183550	3780	Welches Spiel spielt Tsipras wirklich?
183760	186830	3070	Das ist weder in Brüssel noch in Athen klar.
187000	190560	3560	Das weiss eigentlich niemand, ausser Tsipras.
190760	193800	3040	Es gibt auch Leute, die sagen, er wisse es auch nicht.
193990	196320	2330	Ich habe das Gefühl, dass er sehr stark darauf spekuliert,
196480	198360	1880	dass es sich Europa gar nicht leisten kann,
198550	202040	3490	Griechenland in den Konkurs gleiten zu lassen.
202200	205840	3640	Dass er sich sagt, dass die Europä- er am Ende verpflichtet sein werden,
205950	209480	3530	etwas zu tun.
209660	214040	4380	Die Zeit drängt, denn in 20 Tagen droht die Staatspleite.
215640	217880	2240	Die EU könne es sich also nicht leisten,
217980	220040	2060	dass Griechenland austritt, trotzdem Sebastian Ramspeck,
220210	222040	1830	fährt sie eine knallharte Linie, weshalb?
222140	231400	9260	Wir untertiteln live:
231530	236400	4870	Diese Linie hat viel mit Innenpolitik zu tun.
236650	241370	4720	Sparprogramme und Rentenkürzungen gibt es nicht nur in Griechenland.
241540	244410	2870	Das kennen auch andere Eurostaaten, Portugal oder Spanien.
244520	248390	3870	Für die Regierungen dort ist klar,
248480	251470	2990	sie wollen Griechenland keine Sonderbehandlung gewähren,
251650	254750	3100	auf keinen Fall den Eindruck erwecken,
254980	258390	3410	dass Griechenland die Sparschraube lockern darf,
258510	262790	4280	während die eigene Bevölkerung Entbehrungen auf sich nehmen muss.
262960	264510	1550	Sparen, sparen, sparen. Griechenland sagt,
264830	272070	7240	das sei der falsche Weg.
272220	274790	2570	Natürlich geht es am Ende darum,
274870	278909.99999999994	4040	welche Wirtschaftspolitik die richtige ist.
279070	282990	3920	Sparen, abnehmen, um dann fit zu werden.
283070	286070	3000	In der Union gibt es keine Mehrheit
286270	292230	5960	für einen grundlegenden Kurswechsel im Moment.
294530	298870	4340	Griechenland darf nicht scheitern,
299040	304230	5190	aber Europa möchte lange hart bleiben in den Verhandlungen.
305730	307830	2100	Griechenland braucht nicht nur neues Geld von aussen.
