start	end	duration	text
2190	3040	850	.
3790	6880	3090	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7520	9120	1600	Guten Abend, meine Damen und Herren.
9860	11520	1660	"Hier ist die ""Tagesschau"", und das sind die Themen heute Freitag:"
12480	16160	3680	Die Rebellen versuchen, den Belagerungsring zu durchbrechen.
17820	23800	5980	Vor der Antarktis entsteht das grösste Meeresschutzgebiet der Erde.
25720	31800	6080	Michelle Obama überstrahlt Korruptionsvorwürfe gegen Clinton.
33900	38880	4980	Die Berggemeinden beklagen Probleme bei der Umsetzung.
40810	45320	4510	Unterhalb von 1'300 m teils zäher Hochnebel.
47670	51080	3410	Zuerst nach Syrien in die einst grösste Stadt des Landes,
51790	52520	730	nach Aleppo.
53340	54640	1300	Dort tobt offenbar so was wie eine Entscheidungsschlacht.
55260	56840	1580	Rebellen haben am Vormittag eine Grossoffensive gestartet,
57530	60800	3270	um den Belagerungsring der syrischen Regierungstruppen zu durchbrechen.
61480	64840	3360	Aleppo ist umzingelt, der Osten wird zwar von den Rebellen kontrolliert,
65519.99999999999	68440	2920	aber seit Monaten auch von syrischen Regierungstruppen belagert.
69240	72800	3560	Jetzt also wollen die Rebellen den Belagerungsring sprengen.
74480	76720	2240	Allein im Südwesten der Stadt
77450	79800	2350	seien mehr als 150 Raketen und Granaten eingeschlagen,
80560	83800	3240	berichtet die oppositionsnahe syrische Beobachtungsstelle
84430	85360	930	für Menschenrechte.
86100	88430	2330	Bei den Angriffen seien 15 Zivilisten getötet worden.
89150	92509.99999999999	3360	An der Offensive beteiligen sich auch islamische Extremisten
93200	95470	2270	wie die frühere Al-Nusra-Front.
96280	97990.00000000001	1710	Offenbar werden auch Selbstmordattentäter eingesetzt,
98670	100830	2160	die Autobomben zur Explosion bringen.
101440	102390	950	Gott ist gross!
103160	105310	2150	Wir haben das Hauptquartier des Regimes beim Flughafen angegriffen
106060	109229.99999999999	3170	und teilweise zerstört. Gott ist gross!
109960.00000000001	113590	3630	Inzwischen suchen die Verbündeten Syrien, Russland und der Iran
114250	115270.00000000001	1020	öffentlich den Schulterschluss.
116009.99999999999	118470	2460	Ihre Aussenminister haben sich in Moskau getroffen und ihren Willen,
119229.99999999999	121390	2160	Aleppo zurückzuerobern, noch einmal bekräftigt.
122080	123830	1750	V.a. der syrische Aussenminister:
124640	126750	2110	Wir werden unsere Anstrengungen
127470	130270.00000000001	2800	im Kampf gegen den Terrorismus nicht verringern.
131080	132790	1710	Wir werden Aleppo von Terroristen befreien
133490	138190	4700	und die Einheit der Stadt wiederherstellen.
138900	140150	1250	Kriegerische Töne also in Moskau.
140880	143670.00000000003	2790	Für die rund 300'000 Menschen, die noch immer im Ostteil von Aleppo
144440	147030	2590	eingeschlossen sind, ist das kein gutes Zeichen.
148700	151990	3290	Im Irak, in Mosul ist ebenfalls eine Offensive im Gang,
152829.99999999997	155110	2280	um die Stadt von der Terrormiliz IS zurückzuerobern.
155770	158110	2340	Nach Angaben der UNO benutzt der IS
158860	161030	2170	Zehntausende Zivilisten als menschliche Schutzschilde.
161770	164550	2780	Frauen, Kinder und Männer seien aus den Dörfern rings um Mosul
165230	166670.00000000003	1440	in die Grossstadt getrieben worden.
167440	169510	2070	Vor den Medien erklärt eine UNO-Sprecherin,
170160	173230	3070	rund 8'000 Familien seien von IS-Milizionären gezwungen worden,
173930	175790	1860	in die Mosuler Innenstadt zu ziehen.
176510	179070	2560	Über 200 Menschen seien sofort erschossen worden,
179760	181670	1910	weil sie sich dem Befehl widersetzt hätten.
182300	185630	3330	Die Zahl der Hinrichtungen nehme zu, je näher die irakischen Soldaten
186400	190190	3790	und kurdischen Peschmerga-Kämpfer auf die Grossstadt Mosul vorrückten,
190860	191990	1130	so die UNO.
193830	196850	3020	Russland ist nicht länger Mitglied im UNO-Menschenrechtsrat -
