start	end	duration	text
1290	9580	8290	.
10220	14350	4130	1:1-Untertitelung
14990	17710	2720	"Es ist Zeit für Geschichten aus den Regionen, Zeit für ""Schweiz aktuell""."
18330	20010	1680	Guten Abend und willkommen.
22490	26370	3880	Der Luzerner Polizeikommandant und der Chef der Kripo werden angeklagt.
27090	29090	2000	Sie sind für eine Hausdurchsuchung in Malters verantwortlich,
29720	31410	1690	bei der eine Frau Suizid begangen hat.
34030	36050	2020	Beim Dübendorfer Sozialamt
36640	38290	1650	gibt's neu eine Ombudsstelle für unzufriedene Bürger.
38910	39890	980	Die Zürcher Gemeinde reagiert damit
40510	43290	2780	auf rechtsextreme Facebook-Posts einer Mitarbeiterin.
46190	48690	2500	Im Bauch eines Jets ist die Solar Impulse 2
49280	51090	1810	heute in der Schweiz angekommen.
51770	54970	3200	Was nun mit dem Weltrekordflugzeug passiert, ist ungewiss.
57210	61170	3960	Bei einer Hausdurchsuchung im März in Malters im Kanton Luzern,
61740	63250	1510	nahm sich eine 65-jährige Frau das Leben,
63920	65370.00000000001	1450	als die Beamten die Wohnung stürmten.
66050	67250	1200	Seit dann stellt sich die Frage,
67800	69930	2130	wie verhältnismässig der Polizeieinsatz war.
70550	72010	1460	Seit heute ist zumindest klar,
72620	75150	2530	dass sich der Kommandant und der Kripochef der Luzerner Polizei
75890	77630	1740	deswegen vor Gericht verantworten müssen.
79450	82230	2780	Luzerner Polizeikommandant Adi Achermann, hier links,
82890	87550	4660	und Kripochef Daniel Bussmann machen schon jetzt öffentlich bekannt,
88210.00000000001	89670	1460	dass sie wegen fahrlässiger Tötung angeklagt werden.
90289.99999999999	91470	1180	Das lassen sie über ihren Anwalt ausrichten,
92110	94950	2840	noch ehe die Anklageschrift bekannt ist.
95690	97550	1860	Mehr Hintergrundinformationen hat auch ihr Chef Paul Winiker nicht,
98190	100789.99999999999	2600	der einen externen Staatsanwalt mit der Untersuchung beauftragte.
101490.00000000001	104630	3140	Der Regierungsrat ist froh, dass es zu einer Gerichtsverhandlung kommt.
105250	109160	3910	Grundsätzlich rechneten wir vom Staatsanwalt mit beidem,
109780	111600	1820	einer Einstellung und einer Nicht-Einstellung.
112210.00000000001	115479.99999999999	3270	Bei einer Einstellung wäre sicher eine Beschwerde
116050	118360	2310	des Privatklägers erfolgt.
119009.99999999999	120680	1670	Dann wäre dort die Kaskade losgegangen.
121240	124640	3400	Wir begrüssen das, weil der Prozess schneller ablaufen wird,
125240	129000	3760	wenn das Gericht das beurteilt.
129630	132280	2650	Auf Klägerseite freut sich Oskar Gysler,
132970	133720	750	dass es zu einem Prozess kommt,
134360	137920.00000000003	3560	und dass es offenbar für eine Anklage wegen fahrlässiger Tötung reicht.
138560	141240	2680	Er vertritt den Sohn, der seine Mutter bei dem Polizeieinsatz verlor.
141890	145640	3750	Ich nehme das mit Befriedigung zur Kenntnis.
146270	148360	2090	Es bedeutete, dass der Staatsanwalt auch davon ausgeht,
148920.00000000003	151400	2480	dass der Polizeieinsatz nicht korrekt erfolgte,
152010	154760	2750	dass man insbesondere nicht auf die klaren Anweisungen
