start	end	duration	text
1310	5840	4530	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7420	8920	1500	Guten Abend, meine Damen und Herren.
9220	11360	2140	"Hier ist die ""Tagesschau"" und das sind die Themen heute Donnerstag."
12770	17360	4590	Der FC Bayern-Präsident wird zu 3 1/2 Jahren Haft verurteilt.
17450	23720	6270	Der Ständerat sagt im Grundsatz Ja zu einer 2. Tunnelröhre.
24920	28880	3960	Bundesrat Berset eröffnet in Leipzig die Buchmesse.
30600	32800	2200	Am Nachmittag 18 °C.
34610	38720	4110	Es ist ein Urteil wie ein Donnerschlag -
38900	40720	1820	auch wenn es sich im Verlauf der letzten Tage,
40970	43320	2350	im Verlauf des Prozesses am Münchner Landgericht, abgezeichnet hatte.
43450	47280	3830	Bayern-Präsident Uli Hoeness soll 3 1/2 Jahre ins Gefängnis.
47460	49600	2140	Wegen mehrfacher Steuerhinterziehung.
49780	55360	5580	Die Deliktsumme stieg auch heute nochmals an - auf über 28 Mio. Euro.
55510	58440	2930	Vorläufig bleibt Hoeness noch auf freiem Fuss. Vorläufig.
59890	62200	2310	Landgericht München: Trotz Anspannung -
62280	65840	3560	Uli Hoeness ist am Morgen noch zum Scherzen aufgelegt.
65980	67640	1660	Das Urteil des Gerichts
67780	71080	3300	fällt kurz nach der Mittagspause unter Ausschluss der Fernsehkameras.
71280	76320	5040	Dann ist es die Gerichtssprecherin Andrea Titz, die vermeldet:
76440	80039.99999999999	3600	Die 5. Kammer des Landgerichts München 2 hat den Angeklagten
80190	82800	2610	wegen Steuerhinterziehung in 7 tatmehrheitlichen Fällen
82930	84720	1790	zu einer Gesamtfreiheitsstrafe
84840	86480	1640	von 3 Jahren und 6 Monaten verurteilt.
86650	91280	4630	Hoeness fährt danach ohne ein Wort zu verlieren aus dem Gerichtsgebäude.
91370	94640	3270	Hoeness sitzt sichtlich nieder- geschlagen neben seiner Frau -
94770.00000000001	96720	1950	wie dieses Foto zeigt.
96979.99999999999	99240.00000000001	2260	Hunderte Schaulustige versammeln sich vor dem Gericht -
99420	102280	2860	und warten auch auf eine Reaktion von Hoeness' Anwalt.
102430	104920	2490	Dieser akzeptiert den Entscheid des Gerichts nicht,
105090	107600	2510	dass Hoeness' Selbstanzeige nicht reiche,
107729.99999999999	109320	1590	um ihm das Gefängnis zu ersparen:
109490.00000000001	111880	2390	Entscheidend ist, wie mit einer solchen,
112140	114360	2220	nicht idealen Selbstanzeige umzugehen ist.
114490.00000000001	116280	1790	Ob dann, wenn sie missglückt, der Hammer fällt,
116460.00000000001	119120	2660	und der Steuerpflichtige so behandelt wird
119330	122840	3510	wie einer der überhaupt keine Selbstanzeige gemacht hat,
123010	125250	2240	bzw. sich also nicht selbst gestellt hat.
125400	127570	2170	Oder, ob das strafzumessungsrechtlich
127660	130570	2910	eine massive Berücksichtigung findet. Ich danke Ihnen.
130780	134130	3350	Hoeness' Verteidigung kündigt unmittelbar an,
134240	137250	3010	Berufung gegen das Urteil einzulegen.
137500	140490	2990	Das Urteil gegen Hoeness spaltet auch die Meinungen im Netz.
140650	144370	3720	Innert einer Stunde sind alleine über den Nachrichtendienst Twitter
144550	147530	2980	23'000 Meldungen zu Hoeness abgesetzt worden.
147620	150570	2950	Noch keine Stellung bezogen hat der FC Bayern München -
150680	153250	2570	wo Hoeness als Präsident amtet.
153380	154850	1470	Die Verantwortlichen des Vereins
155050	157660	2610	"sind ""kurzfristig zu Beratungen zusammengekommen""."
157840	160900	3060	Darüber, wie es mit Hoeness weitergeht beim FC,
161100	164060	2960	"darüber werde ""zeitnah, aber nicht mehr heute"", informiert."
165970	167660	1690	3-einhalb Jahre Gefängnis für Hoeness.
167940	169700	1760	Auch wenn sich - wie eingangs erwähnt -
169860	172060	2200	die Gefängnisstrafe abgezeichnet hatte, ist es doch ein Hammer.
172240	174740	2500	Stefan Reinhart, wie fallen die ersten Reaktionen in Deutschland aus?
174840	182460	7620	Wir untertiteln live:
182590	184460	1870	Am erstaunlichsten fand ich,
188460	192220	3760	dass sich heute abgesehen von ein paar Fans von Hoeness
194480	198140	3660	kein gewichtiger Fürsprecher für Hoeness gefunden hat.
199190	201220	2030	Es sei ein wichtiges Urteil für die Steuermoral,
201360	203300	1940	die Steuergerechtigkeit.
204620	206579.99999999997	1960	Wird gesagt.
207680	209620	1940	Bei der SPD sagt man,
210010	211980	1970	mit Blick auf die Schweiz,
214710	217380	2670	sei es eben nötig gewesen, genau deswegen das Steuerabkommen
217520	218620	1100	abzulehnen.
218780	221940	3160	Die höchste gerichtliche Instanz, der Bundesgerichtshof in Karlsruhe,
222050	225060	3010	wird sich wohl mit dem Urteil noch befassen - aber es wird sich kaum
225329.99999999997	227060	1730	etwas ändern am heutigen Verdikt, oder?
227250	229940	2690	Das ist heute schwierig vorherzusagen.
231650	235900	4250	Sicher ist, die Anwälte von Uli Hoeness werden alles versuchen.
236600	239260	2660	Auch, ihn als Wohltäter darzustellen,
240650	243020	2370	als ansonsten unbescholtener Bürger.
245370	249540	4170	In etwa dreiviertel Jahren kommt es vor dem Bundesgerichtshof
251500	254260	2760	in Karlsruhe zu den nächsten Verhandlungen.
254360	257500	3140	Hoeness fällt sehr tief. Menschlich und beruflich. Heisst dieses Urteil
257680	260860	3180	heute auch, dass sicher Schluss ist mit der Präsidenschaft bei Bayern
260940	262420	1480	München?
262550	264540	1990	Davon gehe ich eigentlich aus.
267910	270820	2910	Die Führungsspitze des FC Bayern München will sich morgen darüber
270990	271900	910	äussern,
272140	275340.00000000006	3200	aber sie geben Uli Hoeness wohl noch eine Nacht,
276040	279420	3380	um zu überlegen, ob er selber zurücktreten will.
281210	282740	1530	3 1/2 Jahre Gefängnis für Hoeness.
282830	284620	1790	Was wäre mit jemandem in der Schweiz geschehen,
284780	286700	1920	der so viel Steuern hinterzogen hätte?
286850	288900	2050	"Die ""Tagesschau"" hat sich bei Experten erkundigt,"
289090.00000000006	291220	2130	und da heisst es unisono:
291390	293580	2190	Die Strafe wäre komplett anders ausgefallen.
293800	296580	2780	Peter Voegeli hat mit dem Steuer- experten Michael Fischer gesprochen.
297970	301020	3050	Herr Hoeness wäre in der Schweiz nicht ins Gefängnis gekommen.
301120	303100	1980	Warum nicht?
303320	306940	3620	Er hat nach meinem Kenntnisstand eine Steuerhinterziehung begangen,
307040	309070	2030	und eine Steuerhinterziehung
309330	311350	2020	wird in der Schweiz nicht mit Gefängnis bestraft,
311440	313310	1870	sondern mit Busse.
313450	315030	1580	Wie hoch hätte diese Busse ausfallen können?
315250	317030	1780	Der Maximalstrafrahmen
317250	320490	3240	sieht eine Busse von 3-mal dem hinterzogenen Steuerbetrag vor.
320640	322530	1890	Wir hätten hier also bei 27 Mio.
322770	324930	2160	3-mal diesen Betrag plus Nachsteuer plus Zinsen,
325130	328130	3000	also im Maximum einen Betrag von deutlich über 100 Mio.
328260	330010	1750	erreichen können.
330090	333550	3460	Um den Fall Hoeness gab es in Deutschland einen riesigen Wirbel.
333730	336150	2420	Wäre das in der Schweiz auch so gewesen?
336300	338510	2210	Nein, das glaube ich nicht, es ist eine Steuerhinterziehung,
338670	341070	2400	da gibt es kein Gerichtsverfahren,
341240	343430	2190	das ist grundsätzlich verwaltungsintern.
343640	347150	3510	Es ist durchaus vorstellbar, dass das anonym geblieben wäre.
349920	353830	3910	In der Diskussion um die Sanierung des Gotthard-Strassentunnels
354030	357510	3480	hat der Ständerat heute Ja gesagt zum Bau einer 2. Röhre.
357650	360950	3300	Es ist zwar erst ein grundsätzliches Ja,
361100	365510	4410	doch der Entscheid dürfte auch in der anstehenden Detailberatung
365640	368350	2710	nicht umgestossen werden.
368460	370830	2370	So sieht das Vorhaben aus: Neben der bestehenden Gotthardröhre
370980	374590	3610	soll bis 2027 ein 2. Strassentunnel durch den Gotthard gebaut werden.
374760	380630	5870	Nach der Eröffnung dieses 2. Tunnels wird der bestehende saniert.
380760	384870	4110	Das dauert ungefähr 3 Jahre.
385050	388470	3420	Dann, also frühestens 2030, sind beide Tunnel befahrbar.
388600	392550	3950	Für diese Zeit will der Bundesrat in einem Gesetz festschreiben,
392700	397270	4570	dass beide Tunnel nur einspurig befahren werden dürfen.
397360	400830	3470	Die 2. Spur soll dann als Pannenstreifen dienen.
400970	404070	3100	Und genau an dieser Frage hat sich die Debatte im Ständerat entzündet -
404280	407590.00000000006	3310	die Tunnel-Gegner mutmassen, dass es nicht
407850	410550	2700	bei dieser Einspurlösung bleiben wird. Hanspeter Forster.
412760	414790	2030	Die ständigen Staus am Gotthard
414970	417030	2060	werden früher oder später dazu führen,
417250	419510	2260	dass beide Tunnelröhren vollständig geöffnet werden müssen -
419730	424150	4420	davon jedenfalls sind die Gegner des 2. Strassentunnels überzeugt.
424300	427750	3450	Wer glaubt, das Ausland, oder selbst das Inland,
427850	429990	2140	akzeptiere auf die Dauer
430200	432710	2510	einen Stau vor einer Röhre mit unbefahrenem Pannenstreifen,
432900	436870	3970	der glaubt an den Storch, Osterhasen und ans Christkind gleichzeitig.
437000	440870	3870	Wenn die Kapazität besteht,
441040	444030	2990	dann wird man auf die Dauer nicht verbieten können,
444250	446270	2020	diese Kapazität auch zu nutzen.
446440	449310	2870	Verkehrsministerin Leuthard widersprach vehement -
449460	452150	2690	mit dem vorliegenden Gesetz sei die heutige Kapazität garantiert:
452300	455430	3130	Wir wollen eben die Kapazitätsbeschränkung nageln,
455650	459470	3820	indem wir im Gesetz die Einspurigkeit vorschreiben,
459640	466270	6630	und indem wir im Gesetz auch das Dosiersystem verankern.
466360	470110	3750	Auch kostenmässig sei die Tunnelvariante attraktiv,
470210	472230	2020	sagt Leuthard.
472360	474270	1910	Ohne 2. Tunnelröhre rechnet der Bundesrat
474480	476710	2230	mit 1,5 bis 2 Mrd. Sanierungskosten,
476900	480990	4090	inklusive der 2. Gotthardröhre sind es rund 2,8 Mrd.
481090	485550	4460	Vehement für den Bau der 2. Tunnelröhre sind die Tessiner -
485740	488230	2490	sie fürchten, sonst während der Sanierung des heutigen Tunnels
488410	490310	1900	von der übrigen Schweiz abgeschnitten zu werden
492670	495670	3000	Südlich der der Alpen leben auch Menschen -
495850	498230	2380	möglicherweise Schweizer Bürger.
498300	501790	3490	Lassen Sie uns bitte heute nicht im Stich.
501910	506110	4200	Unterbrechen Sie nicht 3 Jahre lang
506320	509590	3270	diese so wesentliche historische wirtschaftliche Verbindung.
509770	514990	5220	Dem folgte der Rat erst mal - mit 25:16 Stimmen beschloss er
515200.00000000006	517510	2310	im Grundsatz Eintreten auf die Vorlage.
517659.99999999994	520590.00000000006	2930	Die Detailberatung des Geschäfts folgt am nächsten Donnerstag.
522240	525110	2870	Der Ständerat sagt im Grundsatz Ja zu einer 2. Tunnelröhre -
525210	528350	3140	das Geschäft geht später in den Nationalrat.
528520	531350	2830	Fritz Reimann, wie sehen dort die Lager aus?
531450	544950	13500	Wir untertiteln live:
545110	546950	1840	Auch im Nationalrat werden die bürgerlichen
547100	549030	1930	die Sache entscheiden.
