start	end	duration	text
1810	3940	2130	.
4170	6540	2370	1:1-Untertitelung
8060.000000000001	10500	2440	Wir blicken hinter die Schlagzeilen, guten Abend.
10630	12980	2350	Arbeiten abseits aller Gesetze -
13150	16620	3470	wer ohne Papiere im Land ist, hat oft keine andere Wahl.
16720	18820	2100	"""Schluss damit"","
19030	22380	3350	fordern nun 60 Organisationen und 600 Privatpersonen.
22600	25580	2980	Menschenwürdige Arbeit für ausländische Hausangestellte
25720	29180	3460	und Pfleger müsse möglich sein.
29280	31380	2100	Wir sprechen mit Betroffenen und wir zeigen,
31530	35020	3490	wie unmenschlich Hausangestellte in Taiwan behandelt werden.
35130	38900	3770	Sklaverei im Jahr 2016. Es ist 10 vor 10.
41450	45380	3930	Der Nationalrat will so mehr Geld für die Strasse aufbringen.
48280	52500	4220	Wie die Schweiz mit ihrer Nati mitfiebert.
55200	61470	6270	Im zweiten Teil unserer Serie erleben Sie, was den Briten ihr Tee bedeutet.
64519.99999999999	67350	2830	Schweizer Strassen brauchen mehr Geld -
67500	71670	4170	ihr Unterhalt kostet Milliarden von Franken.
71830	73870	2040	Doch wer soll das bezahlen?
73960.00000000001	75870	1910	Nach dem Nein zur Milchkuh-Initiative
75960.00000000001	78670	2710	war das die Frage heute im Nationalrat.
78800	81150	2350	Müssen Autofahrer die Strasse direkt finanzieren,
81320	83430	2110	über höhere Benzinpreise?
83520	86190	2670	Oder die Allgemeinheit mit Steuergeldern?
86330	89230	2900	Der Beitrag von Nathalie Christen beginnt mit zwei Autofahrern,
89350	92310	2960	die dazu ganz unterschiedliche Meinungen haben.
95000	99509.99999999999	4510	SP-Nationalrätin Edith Graf-Litscher und SVP-Nationalrat Walter Wobmann.
99640	101750	2110	Beide fahren Auto.
101830	108870	7040	Sie ihr Cabrio gelegentlich, er seine Limousine häufiger.
108950	112550	3600	Beide sehen: Der Strassenunterhalt ist teurer geworden
112660	114390	1730	mit dem wachsenden Verkehr,
114550	118710.00000000001	4160	streckenweise braucht es Ausbauten, auch in den Agglomerationen.
118900	121670	2770	Gleichzeitig verbrauchen moderne Autos weniger Benzin,
121750	124990	3240	damit sinken die Einnahmen aus der Mineralölsteuer.
125230	129870	4640	Beide finden: Rund 1 Mrd. Fr. braucht es zusätzlich.
129940	133390	3450	Gar nicht einig sind sie sich aber, wer das bezahlen soll.
135220	136990	1770	Für Edith Graf-Litscher ist klar:
137200	140150	2950	Autofahrer sollen mitzahlen, direkt, beim Tanken.
142290	144670.00000000003	2380	Wir haben in der Schweiz tiefe Treibstoffpreise.
144920.00000000003	148200	3280	Darum bin ich gerne bereit, 6 Rp. mehr zu bezahlen.
148340	150320	1980	Wenn wir das nicht tun,
150440	154079.99999999997	3640	dann müsste der Bund noch mehr Geld in die Strassenkasse investieren.
154130	157120	2990	Das ist nicht der richtige Weg.
157310	159280	1970	Ich will keine höheren Abgaben,
159470	161720	2250	weil wir heute schon sehr hohe Treibstoffabgaben haben,
161890	165720	3830	auf Diesel und Benzin - rund 60 % des Literpreises.
165880	169000	3120	Das ist eine hohe Abgabe. Das reicht.
169240	173880	4640	Im Nationalrat heute die Ausmarchung. Abgabengeplagte Autofahrer?
174120	177480	3360	Im Gegenteil. Diese profitierten davon, dass der bestehende Zuschlag
177680	180520	2840	seit Jahrzehnten gleich hoch sei, rief sie.
181610	187560	5950	Ich weiss, es ist nie populär, wenn man den Benzinpreis anpassen muss.
187740	189640	1900	Aber nochmals, meine Damen und Herren:
189750	193960	4210	Seit 1974 sind wir bei diesen 30 Rp.
194190	199480	5290	'74! Nicht seit '94 und auch nicht seit 2004.
199590	206280	6690	Doch wie viel Rappen mehr soll das Benzin künftig kosten?
206390	209560	3170	In Fahrt kommt bei dieser Frage die Mitte.
