start	end	duration	text
5320	7320	2000	.
8020	12480	4460	1:1-Untertitelung
15470	17840	2370	Guten Abend und herzlich willkommen bei uns.
18490	21120	2630	"Das sind die Donnerstagsthemen bei ""Schweiz aktuell"":"
23550	27680	4130	Das gefährliche Katzenvirus, das im Zürcher Tierspital aufgetaucht ist,
28270	29920	1650	ist hoch ansteckend.
30660	32320	1660	Besorgte Tierbesitzer überrennen nun andere Kliniken.
34030	37560	3530	Luzern fühlt sich wegen des Gotthardbasistunnels abgehängt.
38180	40120	1940	Mit dem Fahrplanwechsel verlieren die Zentralschweizer
40750	41840	1090	viele Direktverbindungen in den Süden.
43140	46080	2940	Die Oberengadiner sollen den Gästen der Ski-WM in St. Moritz
46730	47920	1190	herzlich begegnen,
48570	52280	3710	darum wird die Bevölkerung jetzt auf Freundlichkeit getrimmt.
52850	54760	1910	Zuerst aber dazu:
55350	57720	2370	Gestern Abend stürzte auf dem Flughafen Basel-Müllhausen
58320	59440	1120	ein Kleinflugzeug ab.
60080	62080	2000	Mind. eine Person kam dabei ums Leben.
62760	64599.99999999999	1840	Der Unfall hat den Flughafen lahmgelegt.
65330	67240	1910	Ca. 1'000 Flugpassagiere sind gestrandet.
67980	69680	1700	Jetzt ermitteln die französischen Behörden.
71400	74820	3420	Ermittler untersuchten heute Nach- mittag das verkohlte Flugzeugwrack
75470	77900	2430	gleich neben der Nord-Süd-Piste des Basler Flughafens.
78610	80900	2290	Polizei, Staatsanwaltschaft und Flugunfalluntersuchung
81610	84260	2650	versuchen herauszufinden, wie es zum Unfall gekommen ist,
84980	86300	1320	wer das Opfer ist und ob neben dem Piloten
87020	89420	2400	noch mehr Passagiere an Bord gewesen sind.
90060	91460.00000000001	1400	"Ein Foto, heute auf ""Blick Online"", soll zeigen,"
92020.00000000001	94700	2680	wie das Flugzeug nach dem Aufprall in Flammen aufgegangen ist.
95380	100180	4800	Zum Zeitpunkt des Absturzes war das Wetter laut Flughafen etwa so,
100750	103660	2910	wie auf diesen Aufnahmen eines Flugzeugspotters am Vortag
104310	105580	1270	am selben Ort.
106200	108460.00000000001	2260	Es habe dichter Nebel gehangen und sei ausserdem dunkel gewesen.
109100	112140	3040	"Hansjörg Bürgi, Chefredakteur des Aviatik-Magazins ""SkyNews.ch"","
112770.00000000001	114620	1850	sagt darum:
115340	117780	2440	Wenn dieser Pilot wirklich die Wetterdaten hatte,
118370	119780	1410	und davon gehe ich aus sowie auch davon,
120410	123140	2730	dass er eine seriöse Flugvorbereitung gemacht hat,
123770	126180	2410	dann frage ich mich, weshalb er Basel bei diesem Wetter anflog
126860	130460.00000000001	3600	und nicht einen Ausweichflugplatz der vielleicht keinen Nebel hatte.
131100	133980	2880	Das verunglückte Privatflugzeug war in Basel stationiert.
134600	138620	4020	Es ist eine sechssitzige Piper.
139290	140980	1690	Der Pilot ist am Nachmittag im deutschen Nürnberg
141640	142700	1060	Richtung Basel gestartet.
143370	144579.99999999997	1210	Auf den Aufzeichnungen des Funkverkehrs
145240	146780	1540	zwischen Pilot und Tower hört man um 17.36 Uhr,
147430	149620	2190	wie die Fluglotsin dem Piloten erlaubt, zu landen.
150270	152540	2270	3 Min. später, um 17.39 Uhr, bestätigt der Tower,
153170.00000000003	155100	1930	dass der Landeversuch missglückt ist.
155680	158660	2980	Offenbar versucht der Pilot durchzustarten, was aber schiefgeht.
159310	162460	3150	Nochmals 3 Min. später, um 17.42 Uhr,
163020	165270	2250	meldet sich der Pilot eines anderen Flugzeuges, das wartet,
165980	168390	2410	die Piper sei tief über ihn hinweg geflogen.
169079.99999999997	170710	1630	Die Fluglotsin antwortet:
182330	185440	3110	Dass er einen Go-around, einen Durchstart verlangt hat,
186020	188400	2380	zeigt, dass er gemerkt hat, dass etwas nicht mehr passt,
188980	190440	1460	dass er zu wenig sieht.
191100	193120	2020	Was danach passiert ist, wissen wir nicht.
193860	197200	3340	Aber warum gab der Tower trotz Nebel die Erlaubnis zur Landung?
197790	199160	1370	Die Flughafensprecherin sagt:
199860	201840	1980	Das können wir wirklich nicht beantworten.
202500	206240	3740	Grundsätzlich ist der Pilot immer selber verantwortlich für den Flug.
206780	208440	1660	Bei allen Flügen.
209100	210680	1580	Was genau passiert ist,
211310	213680	2370	ist jetzt Gegenstand der Untersuchung der Staatsanwaltschaft.
214329.99999999997	216520	2190	Wegen des Flugzeugabsturzes
217079.99999999997	220000	2920	war der Basler Flughafen gestern Abend 4 Std. lang blockiert.
220650	224170.00000000003	3520	49 An- und Abflüge wurden gestrichen, umgeleitet oder verschoben.
224800	226370	1570	1'000 Passagiere sind gestrandet.
227000	228250	1250	Wie schlimm ist das für Sie?
228890	235530	6640	Schlimm. Wir wollten meine Schwie- germutter für Weihnachten abholen.
236220	238970	2750	Und jetzt kommt sie nicht.
239600	242250	2650	Es ist ein Albtraum. Aber niemand ist schuld daran.
242880	246570	3690	Es ist halt ein tragischer Unfall. Machen wir das Beste daraus.
247250	248740	1490	Heute Mittag legte der Flughafen
249360	251980	2620	für das Opfer des Unglücks eine Schweigeminute ein.
253990	256779.99999999997	2790	In Meilen an der Zürcher Goldküste gibt es Krach.
257430	259779.99999999997	2350	Und zwar seit der Gemeindeversammlung am Montag,
260410.00000000003	263020	2610	an der das Volk eine geplante Steuererhöhung abgelehnt hat.
263670	266460	2790	Entscheidend dazu beigetragen hat ein prominenter Einwohner Meilens:
267110	268300	1190	Roberto Martullo,
268960	271900	2940	der Mann der SVP-Nationalrätin Magdalena Martullo-Blocher.
272630	276100	3470	Er half mit seinem unangekündigten Auftritt an der Versammlung mit,
276750	279260	2510	die Steuererhöhung im letzten Moment zu bodigen.
279870	281460	1590	Jetzt sagt die SP Meilen,
282150	284460	2310	die Aktion sei von langer Hand geplant gewesen.
286010	287900	1890	Es wird finanziell eng in Meilen,
288500	290220	1720	einer der reichsten Zürcher Gemeinden.
