start	end	duration	text
520	1680	1160	.
1770	7440	5670	1:1-Untertitelung
11640	15560	3920	"Guten Abend, willkommen zu ""Schweiz aktuell""."
15790	19200	3410	Das sind unsere Themen zum Wochenstart:
21070	23600	2530	Eine sechsköpfige Familie aus Tschetschenien
23760	27280	3520	hat in Kilchberg/ZH Kirchenasyl bekommen.
27420	29680	2260	Trotz Entscheid des Bundesverwaltungsgerichts
29900	34080	4180	wollen Freunde und Politiker ihre Ausschaffung verhindern.
34790	37360	2570	Im Kanton St. Gallen könnte es schon bald
37520	40480	2960	keine Zweien und Einsen in Prüfungen und Zeugnissen mehr geben.
40660	43560	2900	Das wäre aber schlecht für die Motivation der Schüler,
43670	45680	2010	sagen jetzt Kritiker.
46390	50600	4210	Als Hilfe für ihre Landsleute und als Werbeträger für Luzern
50690	53920	3230	arbeiten ab sofort auch Chinesen
54130	56240	2110	auf den Schiffen auf dem Vierwaldstättersee.
56470	58960	2490	Ganz ohne Tücken verläuft ihre Ausbildung aber nicht.
60710	63880	3170	Seit viereinhalb Jahren wohnt eine Familie aus Tschetschenien
63990	65920	1930	in Kilchberg im Kanton Zürich.
66060	68800	2740	Jetzt soll sie die Schweiz verlassen, sie erhält kein Asyl.
68950	72500	3550	Sogar das Bundesverwaltungsgericht hat im Februar so entschieden.
72680	75300	2620	Aber schon zum zweiten Mal ist der Versuch gescheitert,
75510	77500	1990	die sechsköpfige Familie auszuschaffen.
77640	81420	3780	Jetzt bekommt sie auch Unterstützung von Politikern und von der Kirche.
82930	85350	2420	Seit gestern wohnt die tschetschenische Familie
85590	88430	2840	im Pfarrhaus der reformierten Kirchgemeinde Kilchberg.
88630	90990	2360	Schon zweimal wollten die Behörden die Familie
91150	94710.00000000001	3560	an ihrem alten Wohnort in Kilchberg mit Polizeigewalt ausschaffen -
94800	97150	2350	allerdings erfolglos.
97350	101270.00000000001	3920	Das letzte Mal am 19. April am Morgen früh.
101470	104990.00000000001	3520	Damals bracht die Polizei die Wohnungstür auf,
105100	110270.00000000001	5170	die Familie war allerdings nicht zu Hause.
110410	113070	2660	Die Kirchenpflege hofft, dass mit dem Kirchenasyl
113220	115870	2650	die Hemmschwelle für derartige Aktionen der Polizei steigt.
116080	119550	3470	Wenn wir verhindern wollen, dass die Familie erneut um 4 Uhr nachts
119630	122830	3200	von uniformierten Polizeikräften geweckt wird,
122910	126430	3520	die auch Verbindungen dazu auslösen,
126600	130110.00000000001	3510	was in Tschetschenien täglich passiert.
130310	132350	2040	Die tschetschenische Familie macht geltend,
132520	134830	2310	dass sie in ihrer Heimat gefährdet sei.
134950	136829.99999999997	1880	Die Familie selbst
137020	139510	2490	will zur aktuellen Situation keine Stellung nehmen.
139590	141829.99999999997	2240	Sie hat Angst, dass sie im Falle einer Ausschaffung
142090	144910	2820	nach Tschetschenien noch zusätzliche Probleme kriegt.
145130	148470	3340	Zudem befürchtet sie auch, dass ihre Verwandtschaft in Tschetschenien
148630	152310	3680	durch Aussagen in den Medien gefährdet sein könnte.
152430	154670.00000000003	2240	Der Vater wurde angeblich gefoltert.
154850	157270	2420	Die Schweizer Behörden sehen keine Beweise dafür.
157410	159310	1900	Das Bundesverwaltungsgericht
159480	161630	2150	entschied deshalb im Februar in letzter Instanz,
161829.99999999997	163710	1880	dass die Familie definitiv ausreisen muss.
163790	166550	2760	Trotzdem wehrt sich auch Kantonsrat Markus Bischoff dagegen.
166710	169470	2760	Er hat heute schon zum zweiten Mal einen Vorstoss im Parlament gemacht.
169550	172350	2800	Da sind wir in einem Dilemma. Wir haben einen Rechtsstaat.
172450	174790	2340	Die Gerichte sagen, es sei möglich.
174890	177030	2140	Wir sehen aber auch,
177180	179510	2330	dass die Menschenrechtslage dort sehr schwierig ist.
179650	181430	1780	Die Familie ist hier gut integriert.
181670	184550	2880	Da muss man sich fragen, ob es etwas bringt,
184640	187350	2710	wenn man die Leute in so ein gefährliches Gebiet ausschafft.
187440	189910	2470	Der Fraktionspräsident der SVP kann den Vorstoss nicht verstehen.
190080	192190	2110	Schliesslich sei die Ausschaffung rechtsgültig.
192350	195110	2760	Es ist komplette Zwängerei. Es wurde einmal entschieden.
195290	198510	3220	Geschultes Personal, Psychiater und weitere Fachleute
198710	201590	2880	sollen nichts mehr daran ändern können.
201770	204950	3180	Ich schaue es als klaren Versuch an, den Rechtsstaat zu unterwandern.
205030	208070	3040	Das sollte in unserem Rechtsstaat nicht möglich sein.
208200	210990	2790	Für die tschetschenische Familie
211140	214350	3210	"setzt sich auch die Bürgerinitiative ""Hier zu Hause"" ein."
