start	end	duration	text
610	1790	1180	.
1920	6830	4910	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7030	9950	2920	Der Blick hinter die Schlagzeilen kommt wie immer um 10 vor 10,
10080	11790	1710	guten Abend.
12010	15470	3460	Nur Bares ist Wahres, hiess es einst, doch das war einmal.
15660	18230	2570	Bargeld, fester Bestandteil unseres Alltags
18320	22310	3990	und über Jahrhunderte etabliert, gerät unter Druck.
22570	24950	2380	In der EU, wo Maximalbeträge diskutiert werden -
25210	28910	3700	in der Schweiz, wo der Staat grosse Summen genau unter die Lupe nimmt.
29010	34030	5020	Und ja: Es gibt bereits Länder, wo Bargeld heute praktisch passe ist.
34120	36670	2550	Bye, Bye, Cash - das ist heute unser Fokus.
36770	38710	1940	"Ausserdem bei ""10vor10"":"
40430	44950	4520	Warum der Provokateur bei seinen Fans den Nerv der Zeit trifft.
47670	49590	1920	Sind Minderjährige
49760	52350	2590	nun betroffen von der Durchsetzungs-Initiative oder nicht?
55260	59230	3970	Kacey Mottet Klein startet durch.
60980	63470	2490	Zuerst in die USA:
63640	65590	1950	Dort haben die Vorwahlen in New Hampshire
65800	67830	2030	erwartete Resultat gebracht:
68000	69910	1910	Bei den Demokraten gewann Bernie Sanders,
70090	72550	2460	über den wir gestern ausführlich berichtet haben,
72650	75910	3260	bei den Republikanern triumphiert Donald Trump.
76010	78390	2380	Ihn wollen wir heute genauer unter die Lupe nehmen:
78520	80830	2310	Trump ist ein Phänomen:
81100	83840	2740	Als Anti-Politiker mit ausgeprägtem Showman-Gen
83950	85640	1690	hat er in New Hampshire
85810	88000	2190	rund ein Drittel der republikanischen Wähler überzeugt,
88220	91480	3260	und das ohne ein nennenswertes Programm zu haben.
91700	95160	3460	Welche Zutaten das Salz und der Pfeffer sind in Trumps Erfolgsrezept,
95270.00000000001	98520.00000000001	3250	und woher der Appetit seiner Wähler darauf kommt, zeigt Andre Ruch.
98720	101640	2920	Er hat sich auch Trumps Siegesrede genau angehört.
103700	105360	1660	Er wurde belächelt -
105580	109039.99999999999	3460	jetzt ist er es, der über die anderen lacht: Donald Trump.
109160	115080	5920	Oh wow, wow, wow, wow.
115229.99999999999	118640	3410	35 % Wähleranteil holt er mit einem simplen Versprechen,
118860	123040	4180	welches er auch in seiner Siegesrede wiederholt.
123140	124200	1060	So beautiful!
124370	127680	3310	Wir werden Amerika wieder gross machen, aber auf die gute alte Art:
127940	130720	2780	Wir werden China schlagen, Japan, Mexiko,
130860.00000000001	134640	3780	wir werden all diese Länder wirtschaftlich überflügeln,
134810	138600	3790	die uns heute jeden Tag so viel Geld unseres Geldes wegnehmen.
138770	145840	7070	Plötzlich muss mit Donald Trump gerechnet werden.
145960	149480	3520	Zu gut sind seine Chancen,
149570	151440	1870	tatsächlich Präsidentschaftskandidat zu werden.
151610	153840	2230	Trump mobilisiert jene, die vom System genug haben.
154040	156040	2000	Während seine politisch unkorrekten Aussagen
156150	159280	3130	jedem anderen den Kopf kosten würden,
159450	163480	4030	beweisen sie für seine Fans seine Unerschrockenheit und Stärke.
170390	174960	4570	Ich mag seine Haltung gegen das Establishment. Er ist taff.
175140	178560	3420	Er ist ein starker Führer. Er nennt die Probleme beim Namen:
178770	182280	3510	IS, Einwanderung, Wirtschaft, den Handel mit China usw.
182450	187000	4550	Er ist der Erste, der dies alles anspricht.
188060	190440	2380	Der Buchautor und Amerika-Kenner Josef Braml sagt,
190660	193240	2580	Donald Trump wurde unterschätzt.
193410	199120	5710	Er schaffe es, eine grosse Masse von Unzufriedenen hinter sich zu scharen.
199329.99999999997	202200	2870	Viele müssen im Alltag über die Runden kommen
202370	206960	4590	und keine Zeit elitäre Zeitungen zu lesen
207060	211079.99999999997	4020	oder sich eingehend mit Politik zu beschäftigen.
211250	214160	2910	Sie sind rational, in dem sie ignorant bleiben.
214310	216280	1970	Aber wie kommuniziert man mit solchen Menschen?
216480	218640	2160	Und Donald Trump hat die einfache Antwort gegeben:
218829.99999999997	225760	6930	Man muss sie mit Gefühlen abholen mit einen emotionalen Wahlkampf.
225920.00000000003	231360	5440	Bei seinem politischen Programm spart Trump bis heute mit Details.
231530	235000	3470	Ich werde der grösste Jobmacher-Präsident sein,
235100	243440	8340	den Gott je erschaffen hat.
243570	245800	2230	Glauben sie diese frisierten Zahlen
245990	250160	4170	von 4,9 % oder 5 % Arbeitslosigkeit nicht?
250310	253880	3570	Die wahren Zahlen liegen eher bei 28 % oder 29 %,
254010	258480.00000000003	4470	vielleicht sogar bei 35 %. Ich hörte kürzlich sogar von 42 %.
258640	260320	1680	Denken Sie, wir hätten hier so viele Leute,
260510	262960	2450	wenn wir nur 5 % Arbeitslosigkeit hätten?
263120	269640	6520	Vergesst die Sicherheit, vergesst den Islamischen Staat.
269830	276000	6170	Übrigens: Wir werden den IS in den Hintern treten, und zwar richtig.
278740	283600	4860	Ein Schwächling sei Amerika derzeit - damit holt er Wähler ab.
283830	285840.00000000006	2010	Viele Amerikaner haben Abstiegsängste.
285940	287800	1860	Nicht nur im persönlichen Bereich,
287950	290560	2610	sondern, sie denken auch, dass ihr Land nicht mehr so gut dasteht.
290730	293240	2510	Diese Mitteilung zieht bei Amerikanern,
293370	295480	2110	alles andere wäre zu kompliziert.
295659.99999999994	298640	2980	Er kennt sein Wahlvolk sehr genau und weiss,
298780	301160	2380	was die verstehen und was nicht.
301310	304080	2770	Wie Trump als Präsident Politik machen würde,
304210	306040	1830	bleibt im Detail unklar.
306160	308560	2400	Für viele scheint dies unwichtig.
308760	312040	3280	Wir werden Amerika wieder gross machen.
312240	314920	2680	Und zwar so überlegen, dass sie alle glücklich sein werden.
315150	319520	4370	Wir werden Amerika grossartiger machen als jemals zuvor.
323660	325840	2180	Phänomen Donald Trump - wir analysieren weiter,
326010	328360	2350	was da vor sich geht mit unserem Mann in Washington.
328540	330240	1700	Peter Düggeli:
330390	333120	2730	Wo sehen Sie die Gründe für Trumps Triumph in New Hampshire?
333260	336159.99999999994	2900	Wir untertiteln live:
341140	346560	5420	Trumps erfolgt in New Hampshire hat damit zu tun,
346750	347640	890	dass das republikanische Feld noch relativ Kroos ist.
353740	359600	5860	dass das republikanische Feld noch relativ gross ist.
362870	368800	5930	Es wird für Donald Trump relativ schwierig werden.
370830	373200	2370	Ich habe kurzen Faden verloren.
373160	375520	2360	Vorwahlen sind das eine, der eigentliche Wahlkampf
375620	378560	2940	Republikaner gegen Demokraten im Herbst eine ganz andere Geschichte.
378660	380800	2140	Wie sehen dort Trumps Karten aus,
