start	end	duration	text
710	2240	1530	In Le Locle im Kanton Neuenburg
2340	5400	3060	leiden auffällig viele Einwohner an einer Magen-Darm-Infektion.
5560	9480	3920	Der Kantonsarzt schätzt, dass bis zu 1'000 Menschen erkrankt sind.
9590	14840	5250	Das ist jeder zehnte Einwohner. Grund dafür sind Bakterien im Trinkwasser.
17930	20160	2230	In der Apotheke in Le Locle herrscht seit dem Wochenende Hochbetrieb.
20380	24520	4140	In fast jeder Familie ist seit Freitag jemand erkrankt.
24630	28200	3570	Am Wochenende sind sehr viele vorbeigekommen
28380	30680	2300	und haben über Durchfall und Erbrechen geklagt.
30800	32920	2120	Einige hatten auch Fieber.
33010	35280	2270	Betroffen sind Erwachsene und Kinder -
35390	41480	6090	einfach viele Menschen jeden Alters.
41620	44600	2980	Auch in den Spitälern ist mehr los als üblich.
44820	46820	2000	80 Personen mussten in die Notaufnahme,
46920	49060	2140	eine ist noch immer im Spital.
49150	52300	3150	Bis zu 1'000 Menschen sind erkrankt - jede zehnte Person in der Gemeinde.
52470	57900	5430	Heute Nachmittag haben die Gemeinde und der Kantonsarzt informiert.
58100	60780	2680	Die Ursache für die vielen Krankheitsfälle ist das Wasser.
60830	62540	1710	Wasserproben haben gezeigt,
62710	64780	2070	dass sich im Trinkwasser Bakterien befinden.
64920	67660	2740	Im Spital wurden Stuhlanalysen gemacht
67770	70060	2290	und dabei ein Norovirus gefunden.
70289.99999999999	72380	2090	Die Kollegen, die für die Wasserqualität zuständig sind,
72570	75180	2610	haben in den Wasserproben ein Bakterium gefunden, das die Ursache
75390	78260	2870	für die Verschmutzung des Leitungswassers sein könnte.
78420	86180	7760	Das Wasser der Gemeinde wird darum mit Chlor versetzt
86370	89580	3210	und darf bis auf Weiteres nicht getrunken werden.
89740	93020.00000000001	3280	Darum wollen heute alle in Le Locle Wasser einkaufen.
93100	95420	2320	Und bei fast jedem ist zu Hause jemand krank.
95590	101220	5630	Meine beiden Kinder, meine Frau und sogar der Hund sind krank.
101420	104539.99999999999	3120	Auch ich war am Samstag krank. Alle sind k. o.
104590	106620	2030	Mir ging es gestern Nachmittag schlecht.
106789.99999999999	110100	3310	Ich fragte mich, was mit mir geschehen war.
110180	111780	1600	Ich musste dreimal erbrechen.
111900	113700	1800	Wir sind schon ziemlich beunruhigt.
113920	115940	2020	Wir fragen uns, was los ist
116140	118420	2280	und warum man uns nicht schon früher informiert hat.
118530	120340	1810	Dann hätten wir besser aufgepasst.
120460	124700	4240	Das sehen in Le Locle viele so.
124900	127140	2240	Wieso haben die Behörden nicht früher informiert,
127250	129539.99999999999	2290	bevor so viele krank geworden sind?
129669.99999999999	132140	2470	Gemeinderat Miguel Perez sagt,
132320	134620	2300	man habe so schnell wie möglich reagiert.
134760	138220	3460	Ich wusste nichts davon.
138420.00000000003	140579.99999999997	2160	Ich habe es am Samstagmorgen erfahren,
140780	142300	1520	als ich Menschen auf der Strasse traf,
142450	145140	2690	die mir gesagt haben, dass alle krank sind.
145370	147220	1850	Aber die, die am Donnerstag und Freitag schon krank wurden,
147400	149300	1900	"kamen nicht zu mir und sagten: ""Ich bin krank."""
149380	151180	1800	Auch die Apotheken sagten nichts.
151340	154060	2720	Sie hätten merken können, dass etwas passiert.
