start	end	duration	text
1360	3230	1870	.
3380	7190	3810	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7360	10310	2950	Es ist 10 vor 10. Guten Abend, meine Damen und Herren.
10460	13230	2770	Dies ist eine Moschee in St. Gallen.
13370	16350.000000000002	2980	Und hier predigt ein Imam, den die Bundesanwaltschaft anklagt,
16520	20230	3710	weil er nicht nur dem Extremismus das Wort geredet haben soll,
20500	23990	3490	sondern aktiv bei einer kriminellen Vereinigung mitgemacht habe.
24200	27070	2870	Der Mann hat auch andernorts gepredigt.
27170	29390	2220	Wie ist das möglich?
29480	32880	3400	Und wie könnten Extremisten unter Imamen besser erkannt
33050	36320	3270	und aus dem Verkehr gezogen werden? Unser Fokus heute.
36520	38400	1880	Die weiteren Themen:
39390	44000	4610	Experten bezweifeln, dass sich Russ- lands Wirtschaft bald erholen wird.
46020	48080	2060	Sauberes Wasser auf Kosten der Bauern -
48320	51280	2960	der Ständerat will Flüsse und Bäche besser schützen.
53060	57360	4300	Der Schweizer Klassiker feiert rund um die Welt Erfolge.
57590	61040	3450	Jetzt kommt eine Neuauflage in die Kinos.
62690	65319.99999999999	2630	Es war im März letzten Jahres,
65480.00000000001	69280	3800	die Polizei verhaftet in der Region Schaffhausen drei Iraker.
69400	73560	4160	Die Bundesanwaltschaft bezeichnete die drei als IS-Zelle.
73789.99999999999	76080	2290	Sie sollen einen Terroranschlag geplant haben.
76190	79280	3090	Heute wissen wir: Die drei hatten möglicherweise Unterstützung.
79430	82039.99999999999	2610	Die Bundesanwaltschaft klagt vier Männer an.
82160	84200	2040	"Recherchen von ""10vor10"" zeigen:"
84430	86960.00000000001	2530	Der bislang kaum bekannte vierte Mann ist ebenfalls Iraker.
87060	90640	3580	Und: Er ist seit mehreren Jahren in der Schweiz als Imam tätig.
90840	94080	3240	Daniel Glaus und Nina Blaser mit brisanten Details:
95039.99999999999	98200	3160	Spurensuche in einer Gemeinde der Innerschweiz.
98210.00000000001	101440	3230	Hier wohnt der gebürtige Iraker,
101600	104200	2600	der 2007 als Asylsuchender in die Schweiz kam.
104280	106520.00000000001	2240	Zu Hause war er heute nicht auffindbar.
106720	110400	3680	"""10vor10"" liegt die Anklageschrift gegen den Mann vor,"
110580	113240.00000000001	2660	der als Imam in Moscheen predigt und laut Bundesanwaltschaft
113420	116240.00000000001	2820	der mutmasslichen Schweizer IS-Zelle angehört.
116390	119200	2810	Darin steht, dass der Beschuldigte ein Muslim sei ...
125680	128320	2640	Unweit des Wohnortes des Beschuldigten.
128400	131200	2800	In der Moschee in diesem Industriegebäude in Kriens bei Luzern
131210	134320	3110	predigt der 34-Jährige heute noch.
134560	136520	1960	Bei unserem Besuch ist die Moschee leer,
136630	139040	2410	Verantwortliche nicht zu erreichen.
139280	145160	5880	Jean-Paul Rouiller war für die Bundeskriminalpolizei tätig.
145310	148800	3490	Er kennt die Schweizer Islamisten- szene wie kaum ein anderer.
149020	151760	2740	Rouiller sagt, es sei erstaunlich,
151940	155040	3100	dass ein praktizierender Imam in eine Terrorzelle involviert sein soll.
155240	157760	2520	V.a. wenn wir das vergleichen mit anderen Zellen,
157960	160720	2760	die in letzter Zeit in Europa entdeckt wurden.
160910	163720	2810	Es gab in diesen Zellen erstens junge Leute
163840	166640	2800	und zweitens keine Imame.
166720	168600	1880	Dass wir in der Schweiz einen Imam
168780	173040	4260	als Mitglied oder als Mittäter einer Terrorzelle gefunden haben,
173130	176240	3110	ist meiner Meinung nach etwas Neuartiges. Ja.
176310	179480	3170	Die Bundesanwaltschaft wirft dem Imam vor, eine kriminelle Organisation
179720	182240	2520	wissentlich und willentlich unterstützt zu haben.
182350	184000	1650	Uns scheint,
184210	187000	2790	der Prediger sei der Ideologe der mutmasslichen Schweizer IS-Zelle.
187200	188920	1720	Die Anklage stützt die Vermutung.
189110	192520	3410	Demnach soll der Imam in Moscheen ra- dikales Gedankengut gepredigt haben.
192680	194480	1800	Es heisst, dass ...
206240	209760	3520	Man muss auch klar festhalten,
209960	215400	5440	dass die Funktion eines Imam auch eine inoffiziell sein kann -
215600	220480	4880	man hat nicht überall Imame, die klar den Titel eines Imams haben.
220650	224680	4030	Welche Rolle spielt der Imam in der angeblichen IS-Zelle?
224870	227880	3010	Klar ist: Er predigte nicht nur in Zürich und Luzern.
228079.99999999997	230000	1920	Die Spur führt nach St. Gallen.
230160	232800	2640	Hier, in dieser Moschee, finden wir den Angeklagten.
232970	236200	3230	Er sitzt nach dem Mittagsgebet in seinem Büro, spricht mit uns.
236329.99999999997	238440	2110	Interviews gibt er keine.
238579.99999999997	240320	1740	Der Angeklagte wirkte freundlich,
240520	242760	2240	allerdings sehr kontrolliert und zurückhaltend.
242930	247200	4270	Er bestätigte, dass er in mehreren Moscheen der Schweiz tätig war,
247240	250360	3120	jedoch nicht überall als Hauptimam.
250510	253920	3410	Zu den Vorwürfen der Bundes- anwaltschaft sagte er nur ganz knapp,
254080	257720.00000000003	3640	dass die Reden mit angeblich extremistischem Inhalt
257980.00000000003	260920.00000000003	2940	von der Polizei falsch verstanden worden seien.
261050	263240	2190	Der Anwalt des Angeklagten ergänzt,
263380	267000	3620	sein Mandant bestreite die Vorwürfe weitestgehend - und schreibt:
277470	279720	2250	Tatsache ist - so wissen wir:
279870	283000	3130	Der beschuldigte Imam predigt in der Deutschschweiz noch immer.
283080	286520	3440	In Kriens und St. Gallen. Früher auch in Winterthur und Zürich.
286670	291520	4850	Hier in dieser Moschee in Zürich soll er Vertretungen gemacht haben.
291760	294440	2680	Verantwortliche sagen, dies wäre heute nicht mehr möglich.
294640	298760	4120	Die Imame würden streng kontrolliert.
298960	301840	2880	Wir wissen: Solche Kontrollen sind die Ausnahme.
302080	305520	3440	Noch immer sei es möglich, dass Extremisten in Moscheen predigten,
305680	308240	2560	sagt der Berner Imam Mustafa Memeti.
308360	313560	5200	Er fordert ein neues Gremium der mus- limischen Verbände, das Imame prüft.
313730	315800	2070	Die Verbände heute haben keinen Einfluss
315880	320320	4440	auf die Moscheen, Vereine und Imame. Sie haben auch keinen Zutritt.
320450	325000	4550	Und deswegen denke ich, dass wir ein neues Konzept ausarbeiten sollten.
325150	329400	4250	Um Fälle wie jenen des Imam aus der Innerschweiz zu verhindern.
329580	332880	3300	Denn laut Anklage konnte dieser das Gedankengut einer Terrororganisation
333050	337040	3990	über längere Zeit in Deutsch- schweizer Moscheen verbreiten.
339120	341280	2160	Bei uns im Studio begrüsse ich Farhad Afshar,
341440	347520	6080	Präsident einer der beiden nationalen islamischen Dachverbände.
347600	350040	2440	Guten Abend.
350240	353840.00000000006	3600	Herr Afshar, aus den eigenen Reihen kommt die Forderung
354040	358480	4440	nach einem Gremium der Verbände, das die Imame überprüft und kontrolliert.
