start	end	duration	text
1190	2630	1440	.
2800	5870	3070	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8039.999999999999	10800	2760	"Guten Abend, meine Damen und Herren, willkommen zur ""Tagesschau""."
10880	13400	2520	Das macht an diesem Donnerstag Schlagzeilen:
15000	19040	4040	US-Präsident Obama will IS-Stellungen in Syrien bombardieren.
20360	23840	3480	Weitere Sanktionen gegen Russland treten morgen in Kraft.
25920	30560	4640	Das Parlament will aggressive Werbung für Kleinkredite verbieten.
32400	36400	4000	Schauspieler und Moderator Joachim Fuchsberger ist tot.
38120	41480	3360	Nur im Westen und Süden bleibt es freundlich.
43160	45640	2480	Vielleicht ist das einfach nur Ironie des Schicksals,
45840	47800	1960	vielleicht ist das so gewollt.
47920	50680	2760	Jedenfalls hat US-Präsident Obama in der Nacht auf heute,
50940	55250	4310	am Vorabend des 13. Jahrestages der Terrorattacken von 9/11,
55340	58970	3630	seine Strategie gegen die Terrormilizen des IS
59080	61250	2170	im Irak und in Syrien präsentiert.
61410	64290.00000000001	2880	Eine Strategie - und noch viel mehr: eine Kampfansage.
66570	68930	2360	Ich erkläre: Mithilfe der neuen irakischen Regierung
69130	71330	2200	und mithilfe unserer Partner
71490	74610	3120	wird Amerika eine internationale Allianz anführen,
74720	78610	3890	die den Terror zurückdrängt.
78770	82730	3960	Bisher beschiessen die USA nur IS-Stellungen im Irak.
82960.00000000001	86330	3370	Obama will die Luftangriffe nun auf Syrien ausweiten
86440	89330	2890	und die moderaten syrischen Rebellen bewaffnen.
89450	91650	2200	Ich habe klar gesagt:
91880	94650	2770	Wir werden die Terroristen jagen, wo immer sie sind.
94759.99999999999	96610	1850	Wir werden nicht zögern,
96789.99999999999	99289.99999999999	2500	IS nicht nur im Irak, sondern auch in Syrien zu bekämpfen.
99520.00000000001	101970	2450	Es ist ein Grundpfeiler meiner Präsidentschaft:
102080	107690	5610	Wenn du Amerika bedrohst, kannst du dich nirgendwo verstecken.
107800	110410	2610	Der Kampf gegen den IS:
110580	113490.00000000001	2910	Eine Mehrheit der Amerikaner unterstützt Obama
113600	116289.99999999999	2690	bei einem stärkeren militärischen Einsatz gegen die Terroristen.
116470	121610	5140	Aus Berlin aber erhält Obama postwendend Absagen
121720	125970	4250	für eine Beteiligung an Luftschlägen gegen den IS.
126080	130289.99999999999	4210	In grosser Eindeutigkeit: Weder sind wir gefragt worden, das zu tun,
130389.99999999999	134010	3620	noch werden wir es tun.
134120	137250	3130	Für Verwirrung sorgte die Haltung der Briten.
137360	140170.00000000003	2810	In Berlin erklärte Aussenminister Hammond,
140250	142130	1880	man werde nicht mitmachen.
142360	145329.99999999997	2970	Premier Cameron aber liess ausrichten,
145480	147130	1650	es sei noch nichts entschieden.
147320	149970	2650	Unterdessen hat US-Aussenminister Kerry
150079.99999999997	152570	2490	10 arabische Staaten zur Teilnahme an den Luftschlägen überzeugt.
152740	156329.99999999997	3590	Allerdings wird keines der Allianz- mitglieder Bodentruppen senden.
158079.99999999997	160730	2650	Das letzte militärische Nahost- Abenteuer der Amerikaner -
160920.00000000003	163970	3050	also der Krieg im Irak - hat die Nation mehr Blut, Tränen
164130	166610	2480	und Geld gekostet, als sie jemals gedacht hätte.
166780	169370	2590	Jetzt ist die Rede von einer mehrjährigen Kampagne.
169540	172329.99999999997	2790	Arthur Honegger in Louisville, Kentucky:
172430	181970	9540	Wie reagiert die Bevölkerung darauf? Wir untertiteln live:
182150	183970	1820	Ich befinde mich hier mitten in Amerika
185540	187490	1950	in einer recht durchschnittlichen Stadt.
192110	195090	2980	Nie in den letzten 6 Jahren in den USA habe ich in Gesprächen
197320	199770	2450	eine derartige Kriegsbereitschaft gespürt wie heute.
202220	204130	1910	Wobei das nicht der richtige Ausdruck ist.
207350	209610	2260	Die Leute wollen, dass man dem IS entgegentritt.
213540	216130	2590	Es entspricht dem amerikanischen Erbgut, dass man sich
218110	220050	1940	als Kämpfer des Bösen ansieht.
232340	234810	2470	Luftangriffe befürworten die Mehrheit der Amerikaner.
235520	237410	1890	Aber keine Bodentruppen.
240440	243930	3490	Vor 2 Wochen hat Obama eingestanden, noch keine Strategie gegen den IS in
244040	247130	3090	Syrien zu haben. Umgehend sind Medien und innenpolitische Gegner
247320	249410	2090	über ihn hergefallen. Wie sieht das jetzt aus?
253710	256490	2780	Ich habe den Eindruck, die Reihen schliessen sich langsam.
258290.00000000003	260529.99999999997	2240	Die Politik stellt sich hinter den Präsidenten.
264300	266690	2390	Niemand will, dass derzeit die es weiter erstarkt.
269890	271850	1960	Und die USA direkt attackiert.
279900	282930	3030	Aber Experten warnen davor, dass sich dieser Konflikt ausweiten
283040	285010	1970	könnte.
290700	293450	2750	Im Juni haben die USA 300 militärische Berater in den Irak
293590.00000000006	295530	1940	geschickt.
298130	300210	2080	Gestern sagte man noch, dass es 1000 seien.
306110	309050	2940	Gestern erfuhr man, dass 1600 Mann im Irak stationiert sind.
316100	319770	3670	Das zeigt, dass die Gefahr besteht, dass diese Terrorbekämpfung wächst.
322660	325010	2350	Die Briten sind sich schon mal uneins,
325110	327450	2340	ob sie an den Luftschlägen in Syrien teilnehmen.
327560	329490	1930	Deutschland will gar nicht.
329710	331490	1780	Möglicherweise bröckelt da eine Koalition,
331660	333610	1950	bevor man sie überhaupt geschmiedet hat.
333820	335770	1950	In der Region selbst ist die Bildung einer echten Koalition
335940	338210	2270	dann aber so ein richtiges Minenfeld: Denn die grossen regionalen Akteure,
338300	339970	1670	Saudi-Arabien und der Iran, verfolgen ganz unterschiedliche Ziele,
340180	342090.00000000006	1910	wie Roland Popp, Sicherheitsexperte der ETH Zürich,
342240	343810	1570	Marcel Anderwert im Interview erklärt hat.
