start	end	duration	text
2520	5670	3150	.
5890	15140	9250	1:1-Untertitelung. Livepassagen können Fehler enthalten.
15220	16900	1680	Guten Abend,
17070	20020	2950	"schön, dass sind Sie heute Abend bei ""Schweiz aktuell"" dabei sind."
24030	27580	3550	Das Landgericht Uri verurteilt einen Koch zu 16 Jahren Gefängnis.
27740	32100	4360	Er hat vor zwei Jahren in Schattdorf einen Wirt erstochen.
35260	37180	1920	Der ehemalige Direktor Edgar Oehler
37350	40340	2990	sei mitschuldig an der Krise von Arbonia Forster,
40470	42500	2030	sagen die Teilaktionäre.
42730	47100	4370	Die AFG muss ihr Aktienkapital um über 200 Mio. Fr. aufstocken.
50830	53940	3110	Im Wallis bringen alle Parteien ihre Kandidaten ins Spiel
54100	57020	2920	und hoffen auf den zusätzlichen Nationalratssitz,
57120	59620	2500	den der Kanton bekommt.
62890	67020	4130	Im März 2013 gab es in Schattdorf im Restaurant Mühli einen Mord.
67190	70020	2830	Ein ehemaliger Koch, der manchmal dort gearbeitet hat,
70190	74539.99999999999	4350	kam mitten in der Nacht ins Restaurant und erstach den Wirt -
74600	76580	1980	mit 14 Messerstichen.
76780	79340	2560	Jetzt hat das Landgericht Uri den Täter verurteilt:
81660	83600	1940	16 Jahre Gefängnis unbedingt.
83780	88680	4900	Das Urteil, das das Landgericht Uri gegen den heute 55-Jährigen sprach,
88890	91039.99999999999	2150	ist nahe an der Höchststrafe.
91240	93880	2640	Für das Gericht ist es ein grausamer, skrupelloser Mord,
93970	96240.00000000001	2270	der nicht entschuldbar sei.
96430	99240.00000000001	2810	Beim Prozess waren zwei Punkte umstritten:
99440	101759.99999999999	2320	Die Frage nach der Zurechnungsfähigkeit des Täters
101850	106240.00000000001	4390	und ob die Tat geplant war - also vorsätzlich - oder nicht.
106400	108360	1960	In beiden Punkten hat das Gericht heute
108520.00000000001	111479.99999999999	2960	im Sinne der Staatsanwaltschaft entschieden.
111620	113920	2300	Die Dimension des Tötungsdeliktes an sich
114030	117320	3290	hat das Gericht in ihrer ganzen Schwere erfasst.
117479.99999999999	120400	2920	Man hat es auch entsprechend als besonders skrupelloses Vorgehen
120530	122840	2310	von der Tathandlung her gewürdigt
123090	125800	2710	und dementsprechend auf Mord taxiert.
125890	128360.00000000001	2470	Ich habe das Strafmass nicht in dieser Höhe erwartet.
128479.99999999999	130759.99999999999	2280	Ich vertrat eine andere Auffassung
130900	135360	4460	in Bezug auf den Haupttatbestand, der jetzt Mord ist.
135650	139720	4070	Ich werde das Ganze nochmal überprüfen müssen,
140010	144160	4150	wenn die Urteilsbegründung kommt.
144290	146280	1990	Es gibt noch weitere Fragen,
146460	150360	3900	die aus meiner Sicht noch geklärt werden müssen.
150590	153280	2690	Es geht um die Frage des Tatentschlusses und der Motivation -
