start	end	duration	text
1660	4420	2760	.
5140	14180	9040	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14880	17660	2780	"Buna sera. Sie schauen ""Schweiz aktuell"" am Mittwoch."
18460	20660	2200	Auch heute haben wir für Sie die neuesten Geschichten aus der Schweiz.
22050	25900	3850	In Arbon wird wegen eines geplanten Abbruchs
26590	28580	1990	des Hotels Metropol gestritten.
29300	31380	2080	Der Bau aus den 60er-Jahren ist für die einen ein Denkmal,
31980	33700	1720	für andere ein Betonklotz.
34460	40180	5720	Nach seiner Flucht aus Afghanistan fand der minderjährige Asylbewerber
40850	45020	4170	Unterschlupf bei einer sechsköpfigen Grossfamilie im Aargau.
46420	50700	4280	Die Tessiner Gemeinde Morcote
51460	54340	2880	wurde in einem Wettbewerb zum schönsten Schweizer Dorf gewählt.
55080	57580	2500	Eine Auszeichnung, die im malerischen Dorf grosse Freude auslöst.
60310	62620	2310	Als Erstes gehen wir an jenen Ort in der Schweiz,
63330	64780	1450	der sich von seiner schönsten Seite zeigt.
65410	67500	2090	Wir schalten nach Morcote im südlichsten Teil des Landes.
68220	69980	1760	Dort ist meine Kollegin Katharina Locher.
70700	72100	1400	Was ist denn so schön an diesem Tessiner Dorf?
72770	74020	1250	Wir untertiteln live:
86700	92660	5960	Morcote hat alles aus dem Bilderbuchtessin.
94220	99420	5200	Es hat sehen, Berge und eine Promenade.
100180	105539.99999999999	5360	Aber auch enge Gässlein.
106920	110100	3180	Es ist keine Überraschung, dass dieser Ort den Wettbewerb gewonnen
110750	112220	1470	hat.
112890	118220	5330	Alle vier Landesteile haben teilgenommen.
118940	122380	3440	Wir machen einen Spaziergang durch Morcote mit Nicola Brivio.
123080	125380	2300	Das schönste Dorf der Schweiz.
126040	130699.99999999999	4660	Macht sie das stolz?
131390	132900	1510	Sicher.
133510	134820	1310	Die ganze Gemeinde und ich sind stolz.
135620	140780	5160	Wir freuen uns über den gewonnenen Preis.
143500	148180	4680	Man hat sicher noch Verfeinerungen vorgenommen in den letzten Wochen?
148770	150860	2090	Nein.
151540	156940	5400	Es ist das schönste Dorf im ganzen Jahr.
159900	162579.99999999997	2680	Im Frühling machen wir die Arbeiten, um die Sommersaison
163250	164620	1370	vorzubereiten.
165290	166700	1410	Wir sind einfach so.
167290	169900	2610	Wir schauen uns den Ort an.
171890	175180	3290	Danke, Katharina, wir sprechen uns später in der Sendung nochmals.
176140	178260	2120	Abbruch - ja oder nein?
178980	181940	2960	Diese Frage spaltet die Thurgauer Gemeinde Arbon am Bodensee.
182670	185620	2950	Es geht um das Hotel Metropol direkt am Seeufer.
186350	188060	1710	Der Betonbau aus den 60er-Jahren soll abgerissen werden
188780	190860	2080	und zwei Hochhäusern Platz machen.
191550	193020	1470	Dagegen wehrt sich ein Komitee,
193690	195540	1850	das gegen den Abbruch Unterschriften sammelt.
196190	197620	1430	Die kantonale Denkmalpflege
198360	200940	2580	will das Hotel sogar unter Denkmalschutz stellen.
201680	204420.00000000003	2740	Der Arboner Stadtrat unterstützt aber die Abbruchpläne für das Hotel
205120	206740	1620	und eine neue Überbauung in diesem Gebiet.
208540	211380	2840	In Arbon findet man zurzeit die grösste Baustelle der ganzen Region.
212050	213900	1850	Ein Prestigeprojekt für die Stadt.
214620	216540	1920	Auf dem Areal des riesigen, ehemaligen Saurerwerk 2
217320	219420.00000000003	2100	entstehen u.a. Einkaufsmöglichkeiten, ein Hotel und Wohnungen
220100	221540	1440	für ca. 1'000 Einwohner.
222220	223900	1680	Gleich nebenan ist das umstrittene Hotel Metropol.
224570	226700	2130	Der Bau aus den 60er-Jahren soll ebenfalls Neubauten weichen.
227380	228660	1280	Das passt nicht allen.
229380	231500	2120	Der Kantonsrat Andrea Vonlanthen ist einer von ihnen.
232180	234620	2440	Er will das Hotel Metropol unbedingt erhalten.
235240	242630	7390	Uns fasziniert die Schiffsform, die sehr schön in die Seeumgebung passt.
243440	247510	4070	Die Eleganz und Leichtigkeit dieses Baus -
248230	250830	2600	man findet nichts Ähnliches am schweizerischen Bodenseeufer.
251550	254630	3080	Es ist ein Postkartensujet für Arbon,
255300	257790.00000000003	2490	und das wollen wir nicht verlieren.
258500	260310	1810	Es gefällt Ihnen? - Ich finde es elegant und attraktiv.
261029.99999999997	262950	1920	Das findet auch ein Grossteil der Arboner Bevölkerung.
263700	265630	1930	Das Hotel ist im Moment noch offen,
266350	268230	1880	der Pächter möchte sein Hotel auch gerne weiterbetreiben.
268960	270630	1670	Vor der Kamera wollte er aber nichts sagen.
271300	273830	2530	Er schrieb mit dem Hotel die letzten Jahre aber immer schwarze Zahlen
274590.00000000006	276230	1640	und konnte auch investieren, sagt er.
276820	278190	1370	Für den Stadtpräsidenten von Arbon
278990	280430	1440	ist das Hotel allerdings nicht wirtschaftlich,
281150	283190	2040	und eine Studie der Vorbesitzerin Migros haben gezeigt,
283950	286830	2880	dass dies auch nach der Sanierung nicht der Fall wäre.
287460	288870	1410	Für ihn ist klar, hier müsse etwas anderes hin.
289520	292630	3110	Grundsätzlich ist das Ziel,
293330	295270	1940	an diesem Standort etwas Qualitatives zu errichten,
295950	298510	2560	das den Anforderungen des Standortes entspricht.
299190	302550	3360	Die Stadt plant zwei neue Hochhäuser, das sog. Projekt Riva:
303300	304870	1570	Altersresidenzen im oberen Preissegment
305540	307950	2410	und dazu u.a. ein Restaurant und einen grossen Saal.
308670	311390	2720	Die beiden Hochhäuser will Andrea Vonlanthen unbedingt verhindern.
312150	315310	3160	Sie würden das Ortsbild kaputt machen und sie seien unnötig.
315970	318110	2140	Es ist der sog. Fortschrittsglaube.
318870	320590	1720	"""Wir müssen Arbon weiterbringen,"
321340	325350	4010	"wir müssen eine Entwicklung in Gang bringen."""
326020	327590	1570	Es läuft derart viel in Arbon,
328240	329830	1590	das die Entwicklung jetzt schon in Gang bringt,
330590	332510	1920	dass wir sagen, solange wir eine touristische Perle haben,
333260	335270	2010	müssen wir diese entwickeln und nicht durch zwei Wohntürme ersetzen.
336070	337710	1640	Die Stadt hat nun zusammen mit dem Kanton
338400	340070	1670	eine Arbeitsgruppe eingerichtet, die klären soll,
340790	343190	2400	ob das Hotel Metropol wirklich schützenswert ist.
343870	345909.99999999994	2040	"Auch wenn das Resultat ""denkmalgeschützt"" lauten würde,"
346650	348630	1980	hätte die Stadt trotzdem eine Möglichkeit, das Hotel abzureissen.
349260	351030	1770	Denn für Andreas Balg wäre ein Neubau wichtiger
351600	352790	1190	als der Erhalt des alten Hotels.
353490	354990	1500	Das ist das Schöne an unserem System.
355690	358030	2340	Je grösser das öffentliche Interesse an einem zukünftigen Projekt ist,
358790	361150	2360	desto grösser ist die Chance, dass es auch umgesetzt werden kann.
361840	363470	1630	Wenn ein geschütztes Objekt im Weg stehen würde,
364150	365470	1320	kann es trotzdem abgebrochen werden.
366140	367870	1730	Darauf setzen Sie?
368560	370830	2270	Ich finde die Systematik und die Vorgehensweise richtig.
371560	373790	2230	Das ist eine der möglichen Varianten.
374550	376990	2440	Ob das Hotel als schützenwert gilt, soll bis Ende Jahr geklärt sein.
377710	379710	2000	Die kantonale Denkmalpflege möchte zum jetzigen Zeitpunkt
380390	381830	1440	nichts dazu sagen.
382560	384670	2110	So oder so müsste einem geplanten Neubau laut Stadtpräsident
385340	386830	1490	auch die Bevölkerung an der Urne noch zustimmen.
387260	389710	2450	In Genf wurde heute der Prozess gegen den mutmasslichen Mörder
390470	392870	2400	der Sozialtherapeutin Adeline M. fortgesetzt.
393600	395430	1830	Gemäss zwei französischen Psychiatern sei das Töten der Frau
396190	400470	4280	für den Täter mit einem sexuellen Höhepunkt vergleichbar.
401830	404550	2720	Insgesamt bestätigen also alle vier Gutachter,
405310	406990	1680	die den Fall Fabrice A. untersuchten,
407710	409070	1360	ein hohes Rückfallrisiko.
409790	412110	2320	Er habe schwere Persönlichkeitsstörungen.
412830	416350	3520	Es handle sich beim Angeklagten um einen Mann mit gespaltenem Ich.
417050	419550	2500	Ob er heilbar ist, wollten sich die beiden Psychiater,
420300	422910	2610	die heute aussagten, nicht festlegen.
424330	428030	3700	Der Pharmakonzern Novartis streicht in Schlieren 73 Arbeitsplätze.
428780	432150	3370	Der Konzern teilt mit, er wolle eine neue Forschungsstrategie verfolgen.
432900	434750	1850	Neu konzentriert man sich auf die Standorte Basel
435360	436350	990	und Cambridge in Amerika.
437100	438930	1830	Die Mitarbeiter wurden heute über die Pläne informiert.
439650	441490	1840	Jetzt beginnt das Konsultationsverfahren.
442180	446050	3870	Dafür werden im Biologics-Center in Basel 20-25 neue Stellen geschaffen.
448550	451290	2740	Am Lago di Lugano wird ein neuer Preis gefeiert.
452030	454890	2860	"Morcote trägt seit heute den Titel ""Schönstes Dorf der Schweiz""."
455500	458409.99999999994	2910	Katharina Locher ist für uns vor Ort.
459100	462090.00000000006	2990	Wir untertiteln live:
469330	475250	5920	Wir machen einen Spaziergang durch das schönste Dorf der Schweiz.
475900	477330	1430	Sind an der Seepromenade.
478020	483370	5350	Wahrscheinlich der bekannteste Platz im Dorf.
485730	485810	80	Wollen schauen, wie Morcote gewonnen hat.
486110	487830	1720	Perle vom Luganersee,
488260	490350	2090	.
490750	493830	3080	so nennen die Einheimischen das ehemalige Fischerdorf Morcote
494550	497350	2800	am südlichsten Zipfel des Sees.
498030	500950	2920	Knapp 800 Einwohner wohnen hier.
501660	503510	1850	Unten in der Altstadt, bei guterhaltenen Herrenhäusern,
504230	507270	3040	wird überragt von der Kirche St. Maria del Sasso.
508020	509910	1890	Es sind prächtige Bauzeugen aus alten Zeiten.
510630	512510	1880	Damals war Morcote noch ein wichtiger Umschlagplatz
513240	515750	2510	für den Handel mit Italien, das am anderen Seeufer liegt.
516470	517830.00000000006	1360	Für das Dorforiginal Giuseppe Ardizio ist es keine Überraschung,
518570.00000000006	520110	1540	dass ausgerechnet sein Dorf zum schönsten der Schweiz gekürt wurde.
520830.00000000006	523590.00000000006	2760	Ich sah schon viel von dieser Welt, aber wenn ich in Morcote bin,
524300	526070	1770	überkommt mich so ein bestimmtes Gefühl.
526710	529190	2480	Einen solchen Ort gibt es sonst nirgends.
529850	531950	2100	Ein weiteres Bijou in Morcote ist der Parco Scherrer.
532680	535070	2390	1930 kaufte Arthur Scherrer, ein St. Galler Geschäftsmann,
535790	537230	1440	den Park, aus dem sich im Laufe der Jahre
537860	539510	1650	ein üppiger botanischer Garten entwickelte.
540300	543230	2930	Er ist gespickt mit Kunst aus aller Welt und exotischen Bauwerken.
543930	546390	2460	Auch wenn Morcote nur 10 km südlich von Lugano liegt,
547070	551230	4160	herrscht auf der Halbinsel am Fusse des Monte Arbostora eine eigene Welt.
553390	556270	2880	Wir untertiteln live:
565000	568830	3830	Es ist nicht alles Gold, was glänzt.
569500	571550	2050	Diese Strasse gefällt mir gar nicht.
572220	577710	5490	Mir auch nicht.
578350	580990	2640	Wir haben ein neues Parkhaus gebaut und somit das Problem
581670	587070	5400	teilweise gelöst.
592680	594670	1990	Wir sind halbwegs dort.
595290	600630	5340	Wobei weitere Änderungen.
602850	605790	2940	Hilft, im Zentrum des Dorfes einen Kern verschaffen.
606440	611830	5390	Eine Fussgängerzone.
612500	617870	5370	Möchten etwas besonderes schaffen.
620430	622270	1840	Kann man den Verkehr überhaupt beruhigen?
622980	625830	2850	Viele Grenzgänger waren hierdurch.
626450	630350	3900	Politisch wird es schwierig.
631070	635470	4400	Es ist eine der wichtigsten Strasse in Richtung Süden.
636190	641590	5400	Aber das Projekt wird vom ganzen Kanton unterstützt.
642350	646910	4560	Dann wird der zwoten noch schöner.
647580	649030	1450	Erste ist wunderschön.
649730	654790	5060	Wir möchten schauen, wie gefeiert wird.
655190	657070	1880	In der Schweiz leben zurzeit
657810	660430	2620	über 5'000 unbegleitete, minderjährige Asylbewerber.
661180	663710	2530	Dies zeigen die neuesten Zahlen des Bundes.
664440	665270	830	Die meisten dieser Kinder und Jugendlichen
666010	667110	1100	wohnen in speziellen Asylunterkünften.
667770	668910	1140	Ein kleiner Teil lebt in Pflegefamilien.
669620	670950	1330	Im Kanton Aargau z.B. sind es im Moment
671740	674710	2970	von 240 nur gerade 30 Kinder oder Jugendliche,
675470	678510	3040	die bei einer Pflegefamilie Unterschlupf gefunden haben.
679200	682590	3390	Eine solche Familie sind die Kochs aus dem Aargauer Reusstal.
683840	685990	2150	Nein, nicht trinken, drängen.
686750	692310	5560	"Oje, das heisst, wenn ein Kind immer sagt: ""Komm, Mama, komm!"""
693020	696070	3050	Im Wohnzimmer der Familie Koch in Dietwil.
696820	698950	2130	Mauro Koch lernt für die Kantonsschule,
699700	702190	2490	die Mutter Anna Barbara übt mit Mustafa Deutsch.
703000	707590	4590	"""Mama in der Klink."" Was? Ah, Klinik, Hospital."
