start	end	duration	text
880	2610	1730	.
2840	12570	9730	1:1-Untertitelung
12680	14410	1730	Guten Abend.
14590	16930	2340	"Das ist ""Schweiz aktuell"" und dies sind heute unsere Themen:"
17680	21090	3410	Nach dem Lawinenunglück im Prättigau mit 5 Todesopfern
21250	25290	4040	dreht sich alles um die Frage, wie so etwas geschehen konnte.
26760	30490	3730	Die Suche nach einem Standort für ein Atommüll-Endlager
30670	32409.999999999996	1740	sorgt im Aargau für heftige Gegenwehr.
32580	34970	2390	Gleichzeitig lebt man im aargauischen Würenlingen
35060	38290	3230	seit Jahren problemlos mit dem atomaren Zwischenlager.
39860	44370	4510	Zum ersten Mal haben gleich 2 Frauen
44520	47050	2530	den Titel der Heldin des Alltags erhalten.
47150	49650	2500	Die beiden Bernerinnen wurden für ihre ausserordentlichen Leistungen
49750	52530	2780	in der Freiwilligenarbeit belohnt.
53800	56700	2900	Es war ein schwarzes Wochenende in den Bergen.
56800	59260	2460	In 2 Tagen starben 8 Menschen im Schnee.
59500	62420	2920	Alle wurden Opfer von Lawinen oder Schneebrettern.
62600	65820	3220	Die meisten Todesopfer gab es vorgestern im Prättigau.
66030	68580	2550	Bei einer Skitour am Vilan kamen insgesamt 5 Menschen ums Leben.
68680	72620	3940	Es ist eines der schwersten Lawinenunglücke in Graubünden
72720	75300	2580	in den letzten Jahren.
75460.00000000001	77539.99999999999	2080	Heute hat die Bündner Staatsanwaltschaft
77700	80539.99999999999	2840	eine Strafuntersuchung wegen fahrlässiger Tötung
80650	83420	2770	gegen den Tourenleiter eröffnet.
83530	86060	2530	Nun geht es darum, herauszufinden,
86230	90060	3830	wie es zum schweren Unglück kommen konnte.
90200	93100	2900	Ein Tourenfahrer,
93270.00000000001	95380	2110	der wenige Minuten vor dem Lawinenniedergang am Vilan war,
95600	97300	1700	könnte wichtige Erkenntnisse dazu liefern.
97420	99100	1680	Der Beitrag von Gianluca Galgani.
99840	102539.99999999999	2700	Die Abrisskante am Vilan ist rund 2 m hoch.
102750	105500	2750	Das Schneebrett, das am Samstag 8 Tourenfahrer mitriss, war riesig.
105759.99999999999	109259.99999999999	3500	Quasi die ganze Bergflanke hatte sich gelöst.
109479.99999999999	112539.99999999999	3060	Auch Jürg Wiedenmann war am Samstag am Berg.
112759.99999999999	115380	2620	Er wird diesen Tag so schnell nicht vergessen.
115550	118300	2750	Dieses Bild hat der erfahrene Bündner Tourengänger
118390	122220	3830	beim Aufstieg zum Vilan gemacht.
122430	125740	3310	Er war auch der erste Fahrer, der am späteren Lawinenhang fuhr.
125960	129620	3660	Hier sieht man seine Spur auf dem praktisch noch unbefahrenen Osthang.
129789.99999999999	133340	3550	Wenige Minuten später kam es zum Unglück.
133460	136220	2760	Jürg Wiedenmann war aber schon weg.
