start	end	duration	text
10	1450	1440	.
1600	5730	4130	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7220	10730	3510	"Guten Abend, meine Damen und Herren - willkommen zur ""Tagesschau""."
10810	12650	1840	Das macht an diesem Dienstag Schlagzeilen:
14320	18210	3890	Geri Müller will seine Ämter behalten und Vertrauen zurückgewinnen.
19930	22170	2240	Busse stehen in der Schweiz zunehmend im Stau,
22290	23970	1680	weil separate Fahrstreifen fehlen.
25450	28810	3360	Die Ukraine und Russland wollen über einen Waffenstillstand reden.
30480	33490	3010	Vor 2'000 Jahren starb Kaiser Augustus,
33570	35890	2320	der auch die heutige Schweiz prägte.
37310	39370	2060	Im Süden und in den Alpen lokale Regenschauer.
41160	46130	4970	Zerknirschtheit hatte heute Vormittag einen Namen und ein Gesicht:
46220	49370	3150	das von Geri Müller.
49450	51090	1640	Der Grüne Nationalrat und Stadtammann Badens
51220	54050	2830	hat sich öffentlich entschuldigt, für eine Chat-Affäre
54140	56730	2590	mit Nacktfotos aus dem Stadthaus.
56890	59730	2840	Eines schliesst er zum jetzigen Zeitpunkt aus: einen Rücktritt.
59810	63050	3240	Weder als Nationalrat noch als Stadtammann von Baden.
64150.00000000001	65450	1300	Geri Müller wirkt erschöpft.
65640	68250	2610	Gezeichnet von den Ereignissen der letzten Tage.
68480	72450	3970	In einem Restaurant in Zürich tritt er vor die Medien.
72650	74810	2160	Zusammen mit seinem Anwalt nimmt Müller Stellung
74890	78410	3520	"zu den Enthüllungen der ""Schweiz am Sonntag""."
78500	80850	2350	Am Sonntag erwachte ich unter Schock, morgens um 4 Uhr.
80930	85450	4520	Ich las das alles online und hatte nur noch ein Gefühl:
85560	89490	3930	Ich schämte mich.
89570	96210.00000000001	6640	Vor mir, vor meiner Partnerin,
96400	101890	5490	vor der Bevölkerung, vor meiner Stadt, die ich über alles liebe.
102100	107930	5830	Vor der ganzen Welt und auch vor Ihnen.
108100	111490.00000000001	3390	Dass es einen Chat mit Nacktbildern gab, bestreitet Müller nicht.
111680	114610	2930	Darunter seien auch Bilder aus dem Badener Stadthaus.
114780	117250	2470	Seine Erklärung: Die Fotos seien im Austausch
117400	120250	2850	mit einer 33-jährigen Lehrerin entstanden.
120490	123490	3000	Sie habe ein Buch über erotische Fantasien schreiben wollen.
123680	128009.99999999999	4330	In den letzten 5 Monaten habe ihn die Frau
128110.00000000001	130530	2420	dann aber immer stärker bedrängt.
132350	136090	3740	Ich merkte leider erst zu spät, dass ich Gegenstand einer Person wurde,
136250	142010	5760	die offensichtlich Probleme hat, die ich zu Beginn nicht erkannte.
142130	144570	2440	Dafür im Nachhinein klar.
144730	149210	4480	Durch ihre Drohungen fühlte ich mich genötigt.
149380	153930	4550	Darum hat er vor 5 Tagen eine Straf- anzeige wegen Nötigung eingereicht.
154130	158170.00000000003	4040	Er seinerseits habe die Frau nie genötigt, betont Müller.
158280	160770	2490	Seine politischen Ämter würde er gerne weiterführen,
160920.00000000003	163730	2810	falls ihm die Bevölkerung weiterhin vertraue.
166770	169130	2360	Am Nachmittag hat die betroffene Frau gegenüber TeleZüri
169210	171890	2680	"und der Online-Plattform des ""Tages-Anzeigers"""
172000	173810	1810	ebenfalls Stellung genommen.
173970	177170.00000000003	3200	Dabei weist sie den Vorwurf zurück, sie habe Geri Müller genötigt.
177260	180370	3110	Im Gegenteil, sie habe sich selbst stark bedrängt gefühlt.
180450	184210	3760	Sie habe sich jetzt auch einen Anwalt genommen, erklärt die Frau weiter.
184320	187610	3290	Eine Anzeige gegen Müller habe sie aber noch keine eingereicht.
189650	191650	2000	Die Autorität von Geri Müller als Stadtammann
191820	194370	2550	und Repräsentant für Baden sei nicht mehr ausreichend gegeben,
194570	199570	5000	das schreiben die Badener Ortsparteien der CVP, FDP und SVP
199650	201730	2080	in einer gemeinsamen Stellungnahme
201930	204290	2360	und fordern Geri Müller zum Rücktritt auf.
204460	207250	2790	Ganz anders sieht man das bei der Grünen Partei der Schweiz.
207450	209970	2520	Für sie ist die Angelegenheit abgehakt.
210150	212530	2380	Es gebe keinen Grund für einen Rücktritt als Stadtammann
212660	214570	1910	und als Nationalrat.
215700	217410	1710	Wir Grünen sind erleichtert, dass er Klarheit geschafft hat,
217579.99999999997	220370	2790	dass er sich auch - was nötig war - entschuldigt hat.
220480	222690	2210	Und dass gleichzeitig klar ist:
222880	227250	4370	Strafrechtlich ist Geri Müller überhaupt nichts vorzuwerfen.
227370	231329.99999999997	3960	Wir wollen ja keine Politiker, die andere, bessere Menschen sind,
231430	234610	3180	sondern Menschen wie du und ich.
234810	238650	3840	Ich glaube, jeder von uns hat auf seine Art und Weise dunkle Seiten.
238840	242530	3690	Hier kamen sie jetzt an die Öffentlichkeit,
242660	244810	2150	wo sie eigentlich nichts zu suchen haben.
245010	248050	3040	Ich als Fraktionspräsident bin verantwortlich
248190	251170	2980	für den politischen Zusammenhalt unserer Fraktion,
251400	253890	2490	für die politische Ausrichtung - und nicht für das Sexualleben
254050	257050	3000	und die Fantasien der Fraktionsmitglieder.
258709.99999999997	262660	3950	"Geri Müller will jetzt ""schauen, ob noch Vertrauen da ist""."
262900	266980	4080	Hanspeter Trütsch im Bundeshaus, wie schätzen Sie das ein,
267060	281500	14440	wie reagiert man in Bern? Wir untertiteln live:
281659.99999999994	283500	1840	Im offiziellen Bern wird Verhalten reagiert.
285100	287060	1960	Es ist ja strafrechtlich nicht relevant,
288820	290700	1880	da könnte man die Geschichte abschreiben,
291770	293820	2050	aber so einfach ist es eben nicht,
298090.00000000006	299980	1890	es steht Würde und Moral auf dem Spiel,
302030	303940	1910	das wird nun die Knacknuss für Geri Müller.
305400	307260	1860	In Baden und im Kanton Aargau
312880	315060	2180	wird ja über das Schicksal von Geri Müller entschieden,
315170	317180	2010	nicht in Bern.
324980	327140	2160	Ich sehe aber eher schwarz in Sachen Wahlen für Müller.
327950	329900	1950	Es dürfte Neuwahlen geben.
330550	333260	2710	In einem Jahr sind eidgenössische Wahlen - könnte Geri Müller da für
333370	335340.00000000006	1970	die Grünen zur Belastung werden?
336930	338900	1970	Ich glaube, für die eidg. Wahlen
