start	end	duration	text
1380	9460	8080	.
9630	13620	3990	1:1-Untertitelung. Livepassagen können Fehler enthalten.
13830	17380	3550	"Guten Abend. Schön, dass Sie ""Schweiz aktuell"" eingeschaltet haben."
17460	21220	3760	Das macht am 27. April Schlagzeilen:
22590	26500	3910	Die Basler Ermittler haben weitere sechs Fussballfans festgenommen,
26590	29860	3270	die nach dem Match am 10. April randaliert haben.
30020	33380	3360	Die jungen Männer verletzten Polizisten und Unbeteiligte.
35430	37580	2150	120 Pilotinnen und Piloten in Altenrhein lernen,
37750	43020	5270	wie sie leiser fliegen können, damit die Anwohner mehr Ruhe haben.
47460	49700	2240	Der Thurgauer Wald von Basadingen-Schlattingen
49830	51900	2070	sticht die Konkurrenz aus
51990	54540	2550	und gewinnt den Preis des besten Waldes der Schweiz.
54750	58300	3550	Das Rezept des Försters: möglichst wenig Einmischung.
60050	62180	2130	Die Krawalle nach dem Fussballspiel
62300	65660	3360	zwischen dem FC Basel und dem FC Zürich am 10. April
65830	70420	4590	waren die schwersten Ausschreitungen der letzten zehn Jahre in Basel.
70520	71820	1300	Im Nachgang zum Spiel
71960.00000000001	74780	2820	hat die Basler Staatsanwaltschaft zwei Männer festgenommen.
74940	78340	3400	Heute melden die Basler Ermittler weitere Ermittlungserfolge.
78410	80910	2500	Georg Halter weiss mehr darüber.
81800	83630	1830	In den letzten Tagen
83820	87070	3250	haben die Ermittler sechs weitere mutmassliche Schläger festgenommen -
87289.99999999999	90510	3220	alles junge Männer zwischen 19 und 29.
90630	93070	2440	Die Staatsanwaltschaft
93300	96350	3050	beantragt für jeden eine Untersuchungshaft von zwei Monaten.
96460.00000000001	99310	2850	Mediensprecher Peter Gill sagt,
99490.00000000001	102750	3260	bei den Taten handle es sich nicht um Bagatelldelikte.
102850	105350	2500	Es waren schwere Auseinandersetzungen.
105490.00000000001	108830	3340	Es kam auch zu schweren Angriffen auf Polizisten,
108910	111030	2120	die absolut nicht tolerierbar sind.
111110	112550	1440	Es gibt auch Hinweise,
112700	115110	2410	dass Polizisten ganz konkret angegriffen worden sind.
115220	117270.00000000001	2050	Das sind natürlich schwere Delikte.
117300	118950	1650	Aber warum überhaupt
119150	121710	2560	der Gewaltausbruch von FCB-Fans gegen Polizisten?
121880	125230	3350	Die Muttenzerkurve äussert sich in einem Flugblatt dazu.
151490	154550	3060	Beim Gewaltausbruch sind allerdings auch Unbeteiligte verletzt worden -
154730	157230	2500	wie heute bekannt wird u.a. ein Kind.
157340	160950	3610	Ausserhalb des Stadions befand sich eine Frau
161110	163710	2600	mit einem drei- und einem fünfjährigen Kind.
163870	167790	3920	Sie stand auf der Treppe und wurde von einem FCB-Fan angerempelt.
167950	172030	4080	Dadurch fiel eins der Kinder die Treppe hinunter und wurde verletzt.
172110	175470	3360	Von der Gewalt gegen Unbeteiligte distanziert sich die Kurve,
175670.00000000003	178510	2840	auch im Fall eines unbeteiligten Verkehrspolizisten.
187780	190630	2850	Die Staatsanwaltschaft ermittelt inzwischen weiter
190770	192230	1460	und stellt in Aussicht,
192370	196150	3780	dass es in nächster Zeit weitere Festnahmen geben dürfte.
199110	201990	2880	Ob Kopfschmerzen, komischer Husten oder hohes Fieber,
202110	204190	2080	viele Patientinnen und Patienten
204340	207750	3410	gehen damit direkt in die Notfallstation des Spitals.
207840	210310	2470	Das Kantonsspital Luzern z.B. meldet in den letzten Jahren
210550	213470	2920	30 % mehr Notfälle und hat darum grosse Pläne.
213670.00000000003	218630	4960	Das Spital baut für 50 Mio. Fr. eine neue Notfall- und Intensivmedizin.
218770	223190	4420	Raphael Prinz besichtigte heute die grosse Baustelle.
224350	227950	3600	Das Stahlgerüst steht, die Dimensionen sind beeindruckend.
228130	230640	2510	Auf der Gesamtfläche des neuen Gebäudes
230790	233760	2970	hätten 50 4-1/2-Zimmer-Wohnungen Platz.
233880	236040	2160	Es ist ein grosses Projekt,
236180	240040	3860	das das Kantonsspital direkt angren- zend ans Hauptgebäude realisiert.
240200	243040	2840	Der Ausbau sei so dringend, dass man deswegen vorläufig
243260	245880	2620	auf die Sanierung des Kinderspitals verzichtet.
246090	249280	3190	Bereits heute kommen nämlich jährlich 20'000 Notfälle nach Luzern,
249360	251680	2320	Tendenz steigend.
251910	254400	2490	Das Luzerner Kantonsspital ist ein Zentrumsspital,
254520	255980	1460	das grösste in der Schweiz.
256230.00000000003	258899.99999999997	2670	Wir sind auch in der hochspezialisierten Medizin tätig.
259110	261980.00000000003	2870	Notfälle nehmen bei uns in den letzten Jahren stark zu.
262070	263700	1630	Sie werden auch in Zukunft stark zunehmen.
263910	266180	2270	Wir werden von der Rega häufiger angeflogen.
266370	272260	5890	Das bedingt, dass wir auch in diesem Bereich weiterentwickeln.
272370	275500	3130	Bereits in einem Jahr soll es hier so aussehen:
275659.99999999994	278940	3280	Im neuen Trakt werden die Notfallabteilung
279150	281980	2830	und die Intensivstation zusammengelegt.
282080	284340.00000000006	2260	Wenn man heute die Chance hat, einen neuen Trakt zu bauen,
284490	286460	1970	achtet man darauf,
286510	288860	2350	dass die Patienten nicht weit transportiert werden müssen.
289070	292060	2990	Die Behandlung kommt in beiden Bereichen aus einer Hand,
292190	294659.99999999994	2470	im Notfall und in der Intensivmedizin.
294820	297180	2360	Sie werden vom gleichen Team betreut
297340.00000000006	300780	3440	und nicht mehr umhergeschoben, wie es bis jetzt der Fall war.
300880	303180	2300	In den Zimmern der neuen Abteilung
303360	306420	3060	sind die technischen Anschlüsse eine grosse Herausforderung.
306580	309580	3000	In einer Intensivabteilung sind die Ansprüche an Luftqualität,
309750	312580	2830	Sauerstoffgehalt und Stromversorgung gross.
312780	316980	4200	Architekt Pius Jenni baute deswegen extra ein Musterzimmer.
317130	323660	6530	Diesen Raum kann man vor der Beendigung der Planung 1:1 designen.
323830	327820	3990	So kann man überprüfen, ob er dem Alltag standhält.
327970	331460	3490	Wir kopieren ihn dann über 30-mal und achten darauf,
331620	334220	2600	dass nicht 30-mal derselbe Fehler auftritt.
334430	336980	2550	Mit Blick in die Zukunft werden insbesondere auch die Datenleitungen
337220	339940	2720	und elektrischen Netzwerke immer wichtiger.
340100	342420	2320	In Zukunft sollen die Ärzte alle Patientendaten auf Bildschirmen
342460	345460	3000	direkt beim Bett abrufen können.
345640	348980	3340	Hier geht es darum, dass wir in Zukunft alle Patienteninformationen
349190	353340.00000000006	4150	nicht mehr auf Papier haben, sondern elektronisch ablegen.
353590.00000000006	356780	3190	D.h., dass die behandelnde Pflege oder der Arzt
356940	360260	3320	jederzeit die vollständigen und richtigen Daten
360350	363500	3150	zum richtigen Zeitpunkt am richtigen Ort verfügbar hat.
363750	366860	3110	Das sind komplexe Softwarelösungen, die uns helfen.
367070	370500	3430	Die Patientendaten sind am Bett verfügbar,
370710	374980	4270	z.B. die Krankengeschichte, Verlaufseinträge, Röntgenbilder,
375190	377540	2350	Laborbefunde, die wir benötigen,
377750	380740	2990	oder auch Daten der Intensivmedizin, wie Blutdruckmessungen
380830	383180	2350	oder die Herzfrequenz.
383360	385860	2500	Es ist eine riesige Datenmenge,
386000	389140	3140	die man nur noch mit einem sog. Expertensystem bewältigen kann.
389250	392100	2850	Bis Ärzte im neuen Zentrum Patienten behandeln können,
392260	394460	2200	muss auf der Baustelle noch viel passieren.
394620	398780	4160	Im März 2017 soll das neue Zentrum bezugsbereit sein.
398940	402659.99999999994	3720	Die Notfallabteilung muss aber auch in der Umzugsphase
402780	404540	1760	immer funktionieren.
405340.00000000006	408340.00000000006	3000	Gestern gab es für den FC Biel noch einen Silberstreifen am Horizont.
408590.00000000006	411380	2790	Die Richter haben den Konkurs des Klubs hinausgeschoben
411610	413620	2010	und ihm eine Gnadenfrist gewährt.
413800	416940	3140	Heute aber verliert der FC Biel die Lizenz.
418090.00000000006	420020	1930	Die Swiss Football League hat entschieden,
420230	422500	2270	dass der Klub per sofort nicht mehr in der Challenge League spielen darf.
422670	425420	2750	Einer der Gründe: Der Klub habe keine zuverlässigen Informationen
425550	427900	2350	zur finanziellen Situation geliefert.
428110	430540	2430	"Klubpräsident Carlo Häfeli war für ""Schweiz aktuell"""
430710	432980	2270	für eine Stellungnahme nicht zu erreichen.
433090	435660	2570	Ein allfälliger Rekurs hätte keine aufschiebende Wirkung.
437470	440540	3070	Der Ausbruch einer Aufseherin und eines Häftlings
440700	443380	2680	im Februar im Gefängnis Limmattal hat Konsequenzen.
443590	445740	2150	Alle Strafanstalten im Kanton Zürich
445830	448260	2430	müssen künftig einen Nachtdienst einrichten.
448370	450620	2250	Wenn man eine Zellentür öffnen will,
450800	453020	2220	muss jemand von der Polizei dabei sein.
453180	456090.00000000006	2910	Zusätzlich geht ein Alarm an die Kantonspolizei.
456350	460450	4100	Das schreibt heute der Regierungsrat auf eine Anfrage aus dem Parlament.
462500	465810	3310	Heute ist - jawohl, das gibt es - der Tag gegen den Lärm.
466000	469650	3650	An verschiedenen Orten werben kantonale Lärmfachstellen und zeigen,
469770	475010	5240	was man gegen Lärm tun kann.
475110	479090.00000000006	3980	Jede fünfte in der Schweiz lebende Person ist täglich Lärm ausgesetzt,
479260	482330	3070	der als übermässig oder sogar schädlich gilt.
482560	486050	3490	Der Strassenverkehr ist dabei Lärmquelle Nummer 1.
486180	489450	3270	Und wo meine Kollegin Katharina Locher gerade ist,
489540	492250	2710	ist der Strassenlärm besonders laut,
492400	494490	2090	sodass man mitunter sein eigenes Wort
494590	496890	2300	nicht mehr versteht, nicht wahr?
496980	498930	1950	Wir untertiteln live:
508380	510370	1990	Ich hoffe, ihr versteht mich einigermassen.
510570	512530	1960	Ich bin direkt neben der Autobahn.
512740	514650	1910	Ich rechne das sind Dezibel aus.
514880	519330.00000000006	4450	60 ist der Grenzwert.
519559.99999999994	524169.99999999994	4610	Wir sind über 70 bzw. 80 dB.
524400	530200	5800	Über den Grenzwert hinaus.
530350	532320	1970	Ich schliesse das Fenster.
532490	535650	3160	So kann ich normal sprechen mit Laura Bezzola.
535860	537650	1790	Das ist ihr Elternhaus.
537850	541970	4120	Wie lebt es sich neben dem Lärm?
542180	547570	5390	Unerträglich laut, 24 Stunden lang.
547810	550730	2920	Wenn man ein Gespräch führen möchte, kann man nicht als Fenster
551020	552890	1870	offen haben.
553100	556410	3310	Oder auf dem Balkon sitzen.
556650	559530	2880	Ich kann im Sommer die Fenster nicht offen haben in der Nacht
559740	561570	1830	wegen des Lärms.
561750	563570	1820	Es ist unmöglich.
563770	566290	2520	Sie engagieren sich auch politisch.
566490	568850	2360	Was löst dieser Lärm aus?
569040	574170	5130	Eine Unruhe.
574460	580250	5790	Es war einmal ein wunderschönes Quartier, bevor gebaut wurde.
582410	585290	2880	Man müsste Lärmsanierungen machen, damit auch der Feinstaub
585440	587850	2410	verschwindet.
588060	590490	2430	Danke, dass wir vorbeischauen durften.
590450	592330	1880	Wo Flieger starten und landen,
592470	594570	2100	gibt es Diskussionen rund um den Fluglärm.
