start	end	duration	text
1490	7880	6390	.
8080	12440	4360	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14230	16800	2570	"Guten Abend, herzlich willkommen bei ""Schweiz aktuell""."
16950	19040	2090	Das sind die Schlagzeilen vom 30. Oktober.
20260	22280	2020	Die Kantonspolizei Bern
22440	25640	3200	zieht nach der Hausdurchsuchung bei einem Mann Bilanz:
25880	30080	4200	Sie hat 2'500 Waffen und 54 Kisten Munition eingezogen.
31910	34240	2330	Über die RhB-Strecke bei Sils
34400	36920	2520	flog heute ein wackliger Fels in die Luft.
37060	40680	3620	Für die Rhätische Bahn
40860	43000	2140	wird der Aufwand für die Sicherheit immer grösser.
45410	48250	2840	Die Schweizer Retter sind im Trümmerdorf in Genf
48450	50690	2240	praktisch im Dauereinsatz - auch während der Nacht.
50870	55730	4860	Heute kommt aus, ob sie die strengen Anforderungen der UNO erfüllen.
57900	60170	2270	3 Tage lang räumte die Berner Kantonspolizei in Untersee
60330	64530	4200	Waffen aus einem Haus - und es kamen immer mehr und mehr zum Vorschein.
64670	66810	2140	Heute gab die Kapo die genaue Zahl bekannt:
66910	72050	5140	Über 2'500 Waffen und 54 Kisten Munition waren es im Ganzen.
72310	74730	2420	Jetzt muss sie jede Waffe einzeln kontrollieren und schauen,
74950	76770	1820	ob sie den Vorschriften entspricht.
76910	78170	1260	Christof Schneider berichtet.
79880	82450	2570	Heute Mittag verlassen 2 Polizisten in Zivil
82560	84289.99999999999	1730	das Haus des Waffenbesitzers,
84420	86570	2150	der heute wieder zurück in sein Haus durfte.
86740	88570	1830	Die Polizei stellte nochmals Material sicher
88680	91410	2730	und nahm es zur Untersuchung mit.
91640	94250	2610	Seit Montag hat die Polizei in diesem Haus in Untersee bei Interlaken
94420	99410	4990	über 1'300 Gewehre und gut 1'200 Faustfeuerwaffen gefunden.
101360	104090	2730	Jetzt geht es darum, die Waffen genau zu begutachten.
104360	106170	1810	Wir müssen schauen, ob alle Unterlagen da sind,
106270.00000000001	108930	2660	ob die nötigen Angaben vom Besitzer gemacht wurden
109150	113450	4300	und ob alle Auflagen im Zusammenhang mit der Bewirtschaftung
113630	115650	2020	und der Lagerung der Waffen erfüllt wurden.
115789.99999999999	118810	3020	Mit der ganzen Räumungsaktion der Polizei in den letzten Tagen
119039.99999999999	121610	2570	ist der Waffenbesitzer nicht einverstanden.
122980	125010	2030	Ich konnte heute mit dem Waffenbesitzer sprechen.
125200	128090	2890	Er wollte vor der Kamera keine Stellung nehmen, sagte mir aber,
128300.00000000001	131770	3470	dass er immer noch erschüttert über die ganze Polizeiaktion sei.
131930	137650	5720	Er sei müde und finde die ganze Polizeiaktion ungerechtfertigt,
137860	140210	2350	weil man ihm einfach nichts vorwerfen könne.
140400	142810	2410	Bei der Polizei sieht man das anders.
143040	145770	2730	Es habe mehrere Gründe für den Einsatz gegeben.
146710	149490	2780	Durch die zuständigen Behörden stellte man fest,
149630	151490	1860	dass in den letzten Jahren
151660	155829.99999999997	4170	2 Termine zur Waffenkontrolle nicht eingehalten wurden.
156000	160550	4550	Dokumente wurden nicht oder nicht rechtzeitig vorgelegt.
160760	163710	2950	Dadurch ergaben sich Verdachtsmomente.
163890	166470	2580	Gegen den Waffenbesitzer läuft nun ein Verfahren.
166680	168990	2310	Wenn sich herausstellt, dass alle Auflagen erfüllt sind,
169150	172030	2880	kann es gut sein, dass die Waffen wieder an ihren Besitzer zurückgehen.
174000	178350	4350	Punkt 11.35 Uhr knallte es hoch über Sils im Domleschg,
178560	180590	2030	direkt über der Linie der Rhätischen Bahn.
180770	183630	2860	Ein wackelnder Fels musste zur Sicherheit gesprengt werden.
183800	187630	3830	Die Rhätische Bahn fährt durch Berg- gebiet, und das ist nicht harmlos.
187780	190870	3090	Erst letzten Sommer brachte ein Erdrutsch bei Tiefencastel
190980	192830	1850	einen Zug zum Entgleisen.
193000	198470	5470	Bei dem Unglück wurden 11 Personen verletzt, ein Mann starb.
198700	201270	2570	Präventive Sprengungen werden immer wichtiger.
201420.00000000003	204320	2900	Fehler liegen eigentlich nicht drin.
204500	209120	4620	Gianluca Galgagni war heute in Sils dabei, als der Fels gesprengt wurde.
210600	212570	1970	Knall
215270	217980	2710	600 m3 Fels stürzen ins Tal hinab,
218150	221700	3550	das entspricht rund 60 Lastwagenladungen.
221930	224140	2210	Auf den Drohnenbildern ist gut zu sehen,
224200	227540	3340	wo die Felsnase weggesprengt wurde.
227770	231020	3250	Die Felspartie war labil und gefähr- dete das Trassee der Rhätischen Bahn,
231160	234579.99999999997	3420	das hier wenige 100 m unter dem Fels hindurchführt.
234690	237380	2690	Ein Tag vor der Sprengung.
237490	239140	1650	Ralph Rechsteiner,
239310	241340	2030	Verantwortlicher für Schutzbauten bei der Rhätischen Bahn,
241510	245100	3590	führt uns zum Felsteil, der gesprengt werden muss.
246650	249300	2650	Hier ist eine Kluft in der Felsnase.
249450	253340	3890	Der Fels hängt etwas abgesetzt des stabilen Felsens.
253440	257180	3740	Der könnte sich in den nächsten Jahren auch lösen.
257329.99999999997	259860	2530	Darum möchten wir dem Ereignis vorgreifen.
260130	263060	2930	Man will das Material kontrolliert herunterholen.
263230	266820	3590	Weiter oben im Steilhang zwischen Thusis und Sils
266900	268900	2000	sind Spezialisten im Einsatz.
269170	273100	3930	An Seile gesichert steigen sie in die Wand.
273220	276940	3720	Im Gepäck kiloweise Sprengstoff.
277080	280540	3460	Eine heikle und gefährliche Arbeit, nur für schwindelfreie Personen.
281930	287500	5570	Der heikelste Punkt waren die Bohrarbeiten in der Nacht.
287720	292460	4740	Die waren für das Team in diesem Gelände bei schlechter Witterung
292600	295260	2660	eine grosse Herausforderung.
295490	299820	4330	Sicherheit musste an erster Stelle stehen.
300060	304190	4130	Eine Rettung war somit zu jeder Zeit gewährleistet
304290	306410	2120	durch das Team vor Ort.
306540	309810	3270	Solche Arbeiten sind für die Rhätische Bahn keine Seltenheit.
310050	312890	2840	Seit 2013 sind alle Gefahrenpunkte
313070	317530	4460	auf einer Risikohinweiskarte aufgeführt - und es sind einige.
318200	321210	3010	Wir fahren in einer Bergregion.
321350	324690	3340	Die Sicherheit soll weiterhin erhöht werden.
324800	327450	2650	Die Rhätische Bahn
327600	332890	5290	investiert laufend in den Unterhalt der Schutzbauten.
333090.00000000006	337850	4760	Auf der gesamten Streckenlänge von 380 km hat die Rhätische Bahn
337970	341050	3080	insgesamt 50 km Schutzbauten aufgestellt.
341230	343450	2220	Der Schutz vor Naturgefahren ist teuer.
343540	347409.99999999994	3870	Das weiss auch Christian Florin, Vizedirektor der RhB.
347560	350330	2770	Viele Schutzbauten sind alt und müssen ersetzt werden.
350520	355490	4970	Aber auch der Klimawandel macht der RhB zu schaffen.
356040	358810	2770	Der Klimawandel hat sicher einen Beitrag dazu geleistet,
358990	360650	1660	dass solche Gefahren zugenommen haben.
360800	363090	2290	Wir merken, dass es viel schneller vonstatten geht.
363140	365370	2230	Wechsel von kalt zu warm finden häufiger statt.
365550	368490	2940	Das Wetter ist heute schwieriger vorauszusagen.
368580	371610	3030	Das merken wir auch im Unterhalt.
371690	374210	2520	Deshalb trifft die RhB Massnahmen.
375030	376850	1820	Zurück ins Jetzt.
377030	378770	1740	Christian Florin und Ralph Rechsteiner
378940	382540	3600	wenige Momente vor der Sprengung zwischen Sils und Thusis.
382720	385180	2460	Gut, die Strecke ist gesperrt, frei für die Sprengung.
387520	389020	1500	Explosion
390560	392340.00000000006	1780	Die Sprengung ist gelungen,
392560	394060	1500	eine Gefahrenstelle weniger für die RhB.
395970	398620	2650	Die Thurgauer Firma Stadler Rail in Bussnang
398750	401780	3030	darf für die SBB 29 Züge produzieren.
402010	404580	2570	Das hat das Bundesverwaltungsgericht entschieden.
406450	408980	2530	Die Beschwerde gegen die Vergabe des Milliardenauftrags
409170	411860	2690	an Stadler Rail sei unbegründet, urteilt das Gericht.
412090.00000000006	415220	3130	Konkret geht es darum, dass neben den Thurgauern auch eine spanische Firma
415400	418980	3580	für die SBB 29 NEAT-Züge produzieren wollte,
419090.00000000006	422740	3650	aber beim Auswahlverfahren gegenüber Stadler Rail den Kürzeren zog.
422970	424980	2010	Noch ist das Urteil nicht rechtskräftig.
425090	427660	2570	Die Spanier können den Entscheid ans Bundesgericht weiterziehen.
429640	433380	3740	In St. Imier im Berner Jura brannte heute Morgen eine Chemiefabrik.
433530	437300	3770	Laut der Kantonspolizei ging der Alarm kurz nach 6 Uhr los.
437420	439820	2400	Das Feuer brach im 2. Stock aus.
439940	441620	1680	Der Feuerwehr gelang es aber,
441860	444620	2760	dass sich der Brand nicht auf die Wohnhäuser rundherum ausbreitete
444720	446980	2260	und keine Chemikalien austraten.
447140	450260	3120	Verletzte gab es keine. Die Brandursache wird jetzt untersucht.
452560	455380	2820	Das Frauenkloster Baldegg will Asylsuchende aufnehmen.
455480	459180	3700	Ende Jahr mache man im Gästehaus Platz für 15-20 Personen,
459350	461659.99999999994	2310	teilten die Franziskanerinnen heute mit.
461880	464180	2300	Voraussichtlich sollen Leute aus Eritrea und Syrien
464430	466659.99999999994	2230	in Baldegg ein Dach über dem Kopf erhalten.
466840.00000000006	469420	2580	Für die Betreuung ist die Caritas zuständig.
469610	471700	2090	Ende September hat das Kloster Einsiedeln
471830	473740	1910	30 Asylsuchende aufgenommen.
474900	477340.00000000006	2440	Wenn irgendwo auf der Welt ein Erdbeben passiert,
477490	480340	2850	ist schnelle, professionelle Hilfe überlebenswichtig.
480490	484060	3570	Die Rettungskette Schweiz führt diese Woche eine grosse Übung
484250	486660	2410	"in Epeisses bei Genf durch. ""Schweiz aktuell"" ist dabei."
486810	489780	2970	Vor UNO-Experten müssen die Retter zeigen, was sie können.
489930	494580	4650	Im Ernstfall müssen sie 10 Tage lang im Einsatz sein, Tag und Nacht.
495440	499300	3860	Hunde helfen bei der Suche nach Überlebenden.
499430	500660	1230	Mit schweren Geräten
500880	502860	1980	verschaffen sich die Retter Zugang zu den Verschütteten.
503070	505620	2550	Das ist nicht ungefährlich bei all diesen Trümmern.
505720	507940	2220	Heute endete die mehrtägige Übung.
508120	511060	2940	Die Retter sind jetzt in Genf in der Kaserne mit Michael Weinmann,
511200	513419.99999999994	2220	denn dort gibt es etwas zu feiern.
519110	521340.00000000006	2230	Einerseits freuen sich alle,
