start	end	duration	text
5380	6650	1270	.
6840	8570	1730	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8650	10370	1720	Guten Abend und herzlich willkommen.
10610	12810	2200	Die Partei einen, die Delegierten hinter sich scharen,
12970	16329.999999999998	3360	so will Donald Trump den Parteitag der Republikaner nutzen.
16480	20130	3650	Doch stattdessen geht's schon am ersten Tag drunter und drüber.
20340	25250	4910	Tumult bricht aus, als Trump-Gegner versuchen,
25330	27730	2400	dessen Nominierung noch zu verhindern.
27860	30170	2310	Nicht nur drinnen brodelt es.
30380	34010	3630	In Ohio sind Anhänger und Gegner Trumps auf den Beinen.
34150	38210	4060	Sie stehen sinnbildlich fürs gespaltene Amerika.
39530	43490	3960	Die zerrissene Partei und der peinliche Fauxpas von Melania Trump -
43650	48370	4720	dazu unser Fokus. Und hier die weiteren Themen:
48740	53210	4470	Weshalb das Bekennerschreiben des IS glaubhaft ist.
56630	60530	3900	Mit zwei Arbeitnehmern durch die Nacht - unsere Reportage.
64430.00000000001	68690	4260	So tauschte Russlands Geheimdienst Dopingproben aus.
72200	75730	3530	Melania Trump sollte eigentlich ein Glanzlicht setzen
75810	78850	3040	am Parteitag der Republikaner, an dem ihr Mann Donald
79100	83210.00000000001	4110	in wenigen Stunden offiziell zum Prä- sidentschaftskandidaten ernannt wird.
83410	85370	1960	Ihre Rede sollte dazu dienen,
85580	89090	3510	den Milliardär als verantwortungs- vollen Familienmenschen darzustellen,
89260	91210.00000000001	1950	dem Amerika vertrauen kann.
91460.00000000001	94740.00000000001	3280	Doch was gestern als schillernder Auftritt geplant war,
94780	97100	2320	endet im peinlichen Fehltritt.
97240.00000000001	100580	3340	Denn Melania hat offenbar einige Passagen abgeschrieben -
100810	104780	3970	bei niemand Geringerem als First Lady Michelle Obama.
106420	113259.99999999999	6840	Eine wunderbare Mutter, eine unglaubliche Frau - Melania Trump!
113380	115300	1920	Diese Melania Trump
