start	end	duration	text
12140	12930	790	.
24830	26850	2020	MIT TELETEXT-UNTERTITELUNG
30430	31330	900	* Lautes Schnauben *
37220	39050	1830	Der Alpsommer ist zu Ende.
39780	43890	4110	Aber schon bald steigen die schwarzen Eringerkühe in den Kampfring.
44030	46450	2420	Und dann will die 16-jährige Natalija Bregy
46900	50250	3350	unbedingt mit ihrer eigenen Kuh in der Arena stehen.
53260	55290	2030	* Sanfte Gitarrenmusik *
80100	82170	2070	Natalijas Vater Marco Bregy
82220	85970	3750	ist ein erfolgreicher Züchter dieser Walliser Kuhrasse.
88420	90450	2030	* Sanfte Gitarrenmusik *
121520	123410	1890	* Schwyzerörgeli-Musik *
132980	136410	3430	Noch hat Natalija einen Winter lang Zeit, den Kampf vorzubereiten.
137320	140930	3610	Sie will ihre Lieblingskuh Cascada in den Ring schicken.
141020	143090	2070	Ich kann zum ersten Mal
143329.99999999997	148050	4720	mit meiner ersten eigenen Kuh ans Stechfest gehen.
149620	151410	1790	Wenn man mal davon gepackt wurde, lässt es einen nicht mehr los.
155230	160290	5060	"""Sucht"" ist übertrieben, aber es ist eine Leidenschaft."
160300	162570	2270	Voll Adrenalin pur.
165950	166490	540	Kommt!
174020	175930	1910	Ja, was ist hier los?
190800	193850	3050	"* Schlagermusik: ""Wahnsinn"" von Wolfgang Petry *"
198740	203410	4670	Ich habe Cascada am 20.10.2014 bekommen.
203500	206890	3390	Dabei ging es um Folgendes: Mein Vater sagte mir,
207020	210850	3830	wenn ich mit dem Rauchen aufhöre, bekomme ich ein Kälbchen,
211020	211450	430	ich dürfe mir eines aussuchen.
214640	217450	2810	Ich habe sofort mit Rauchen aufgehört,
217579.99999999997	221650	4070	denn es war schon immer mein Traum, eine eigene Kuh zu haben.
222520	224690	2170	Und dann ...
224860	226450	1590	Ja, meine Eltern haben sich getrennt.
229140	232050	2910	Und ... das war schwierig.
233500	236890	3390	Aber ich habe hier Halt gefunden. Und auch mit Xenia.
237140	240290	3150	Xenia ist jetzt schon seit fünf Jahren bei uns.
240420	241450	1030	Also bald sechs.
242500	247010	4510	Sie ist mein treuer Begleiter und sie war in meinen schwersten Stunden
247200	249730	2530	immer bei mir, wenn ich Probleme hatte.
249820	254010	4190	Und die Tiere, also die Kühe und die Pferde, waren auch immer hier,
254100	256170.00000000003	2070	wenn etwas war.
256260	256529.99999999997	270	Das ist Cascada als kleines Kalb. Sie ist vier oder fünf Tage alt.
262500	266380	3880	"Sie ""streitet"" mit einem Hirtenstab."
266460	269740	3280	Genauso als würde sie mit einer anderen Kuh stechen.
269910	271460	1550	Schon als kleines Kalb sieht sie: Das ist ein Gegner.
274780	278980	4200	Etwas, das Widerstand leistet, ist ein Gegner.
288950	292580	3630	Cascada ist gut ein Jahr alt und noch nicht ausgewachsen.
292750	296220	3470	Doch sie bringt bereits mehr als 400 kg auf die Waage.
296320	298300	1980	Hier, Cascada.
312020	316380	4360	Natalija lebt in Turtmann, einem typischen Walliser Dorf im Rhonetal.
317500	320550	3050	Der Zuchtstall der Familie liegt mitten im Dorf.
322660	326750	4090	Die Hauptstrasse verbindet zwar das Unter- mit dem Oberwallis,
326860	330590	3730	doch kaum jemand kommt auf die Idee, hier anzuhalten.
336100	338550	2450	Das erste Stechfest dieser Saison:
338710	342150	3440	Die Kämpferinnen warten ungeduldig auf ihren Einsatz.
344820	346510	1690	Ihre Besitzer sind Teil einer eingeschworenen Gemeinschaft.
348790	352800	4010	Ausserhalb des Rings gute Bekannte, im Ring Konkurrenten.
359990	361480	1490	Die Kühe der Bregys kämpfen in der schwersten Gewichtsklasse.
366540	370160	3620	Buffon, die Nummer 10, wird für sie in den Ring steigen.
372220	374600	2380	Marcos Stallung heisst Dahna Briggu.
374740	376520	1780	Für den Kampf ziehen sich Vater und Tochter
377500	380080	2580	die Mäntel mit den teameigenen Farben über.
380230	382280	2050	Was ist eigentlich das Ziel der Kühe?
382370	384680	2310	Rauszufinden, wer die Stärkere ist.
385740	388760	3020	Wenn ich gegen dich kämpfe und dich umwerfe ...
388910	391160	2250	Dann habe ich verloren. - Ja, genau.
391820	395680	3860	Beim Herbst-Ringkuhkampf dürfen nur trächtige Kühe kämpfen.
395900	399360	3460	Die Tiere dürfen weder brünstig noch stiersüchtig sein
399520	403720	4200	und auch sonst keine anderen Zeichen von Aggressivität aufweisen.
403860	406520	2660	Der Tierarzt muss mit einem Ultraschall bestätigen,
407220	409560	2340	dass alles regelkonform läuft.
411530	414000	2470	Falls du Zeit hast in drei Wochen.
414150	416360	2210	Wunderbar. - Kuhkalb oder Stier?
421360	421520	160	Jetzt geht es gerade ab.
423480	426360	2880	Jetzt läuft es. Der Adrenalinspiegel steigt.
426450	428440	1990	Wie läuft es?
428470	430800	2330	Mit welcher Kuh kommen wir zusammen?
430900	433080	2180	Ich hoffe, dass alles rund läuft.
436260	436560	300	Die 37 ist auch dabei?
441900	444120	2220	Ja, die 11 war es. - Es war die 11.
447700	449640	1940	* Muhen, Kuhglocken *
