start	end	duration	text
2400	8010	5610	"""10vor10"" mit Stephan Klapproth."
8210	11570	3360	Meine Damen und Herren, guten Abend. Unsere Themen heute:
14740	18930	4190	Tabakgegner fordern zusätzlich ein Verbot von Zigarettenautomaten.
21940	27370	5430	Die SBB muss jährlich eine halbe Milliarde mehr
27570	29370	1800	in die marode Infrastruktur investieren.
30200	34530	4330	Dank Milliardenhilfe hat die Europäische Union
34720	36810	2090	die grössten Anhänger in Ostdeutschland.
37720	40730	3010	Der neue Pilatus-Businessjet ist schon ausverkauft,
40900	43450	2550	obwohl er noch nie geflogen ist.
43580	46570	2990	1:1-Untertitelung
50140	53570	3430	Vom Rauchen abhalten will der Bundesrat vermehrt die jungen Leute.
53820	57010	3190	Denn 6 von 10 Rauchenden verfallen dem blauen Dunst
57120	59610	2490	vor dem 18. Lebensjahr.
59880	61770	1890	Darum will der Bundesrat die Tabakwerbung -
61970	65250	3280	bei Radio und Fernsehen bereits verboten - weiter einschränken.
65459.99999999999	69340	3880	Nach seinem Vorschlag wird Raucher- werbung auch auf Plakaten verboten.
69520	72740	3220	Ebenso in Inseraten, im Kino und im Internet.
73000	78380	5380	Für sog. E-Zigaretten sollen die exakt gleichen Einschränkungen gelten
78460.00000000001	82300	3840	wie für klassische Glimmstängel, etwa beim Rauchverbot im Restaurant.
82539.99999999999	86300	3760	Wir richten unser Augenmerk speziell auf eine weitere Massnahme,
86390	88580	2190	die der Bundesrat in die Vernehmlassung schickt:
88750	91820	3070	das Verbot, Tabak an unter 18-Jährige zu verkaufen.
91990	94140	2150	Ein Verkaufsverbot bei Minderjährigen:
94310	97620	3310	Das gehe aber noch nicht weit genug, sagen Präventionsfachleute,
97759.99999999999	100620	2860	und fordern, jetzt müssten auch Zigarettenautomaten verboten werden.
100700	102340	1640	Andre Ruch berichtet.
103920	107259.99999999999	3340	Viel Rauch um die unter 18-Jährigen.
107440	111700	4260	Glimmstängel sollen möglichst lange von den Jungen ferngehalten werden,
111900	116300	4400	so will es Gesundheitsminister Alain Berset.
116490.00000000001	119900	3410	Unterschiedliche Studien zeigen ganz klar,
120140	124260	4120	dass wenn man unter 20 Jahren zu rauchen beginnt,
124370	128380	4010	dann bleibt man für sehr lange Zeit Raucher.
128530	132540	4010	Das hat wirklich sehr schlechte Auswirkungen auf die Gesundheit:
132730	135900	3170	Wir haben jährlich 9'000 Tote in der Schweiz,
136079.99999999997	141100	5020	die Gesundheitskosten belaufen sich auf mehr als 1 Mrd. Fr. pro Jahr.
141300	143780	2480	In Zukunft sollen Jugendliche unter 18
143980	147100	3120	keine Zigaretten mehr kaufen können. Heute ist dies noch anders.
147270	151140	3870	Jeder Kanton hat andere Regeln zum Jugendschutz bei Tabakwaren.
151329.99999999997	154579.99999999997	3250	Während sie in den meisten Kantonen schon ab 16 gekauft werden können,
154680	157380	2700	gilt in anderen eine Limite von 18.
157520	161540	4020	In 4 Kantonen gibt es gar keine Limite, etwa in Appenzell Innerhoden.
161650	168540	6890	Hier halten die Jugendlichen nicht viel vom Vorschlag des Bundesrates.
168780	177340	8560	Ich finde, das geht nicht - aber ich hatte auch 2 ältere Brüder,
177540	181140	3600	die sie mir vorher schon besorgen konnten.
181220	184620	3400	Man trifft auch überall Personen an und könnte diese auch fragen,
184860	187820	2960	ob sie einem nicht ein paar Zigaretten kaufen gehen könnten.
188060	190260	2200	Das bekommt man auch hin - ich habe das früher auch schon getan.
190410	193860	3450	Man kommt auch an Zigaretten, wenn man unter 18 ist -
193960	195860	1900	auch schon unter 16.
196030	198860	2830	Ich habe mit 14 angefangen zu rauchen und bin damals schon
198990	200660	1670	locker an Zigaretten rangekommen.
200850	203900	3050	Denn man kann auch Kollegen fragen, die sie einem kaufen gehen
204140	206579.99999999997	2440	oder an den Zigarettenautomat gehen.
206760	210780	4020	Genau die Automaten betrifft das Verkaufsverbot aber nicht.
210920.00000000003	214660	3740	Der Präventionsexperte Thomas Beutler
214800	216780	1980	möchte am liebsten auch Zigaretten- automaten komplett verbieten.
217020	219380	2360	Zigarettenautomaten verhindern nicht, dass Jugendliche unter 18
219590	221900	2310	Zigaretten beziehen können - auch mit den neueren Systemen nicht.
222140	224740	2600	Zudem ist es ein Werbeträger, der im öffentlichen Raum steht -
224970	226500	1530	ein sehr wichtiger Werbeträger.
226579.99999999997	229100	2520	Und es ermöglicht eigentlich einen 24-Std.-Bezug von Zigaretten,
229290	232940	3650	was bei keinem anderen Konsumgut oder Suchtmittel möglich ist.
233170.00000000003	236380	3210	Nach wie vor seien Zigaretten aber ein legales Genussmittel,
236510	239260	2750	entgegnet der Tabakhändler.
239350	242860	3510	Die Industrie, der Handel und die Behörde sind seit Jahren dran,
243010	245660	2650	sinnvolle Lösungen mit Augenmass umzusetzen,
245740	248100	2360	um dieses heikle Produkt in den Griff zu bekommen.
248210	250340	2130	Es ist aber ein legales Genussmittel.
250490	253180	2690	Solche Extremforderungen führen nur dazu,
253320	255420	2100	dass das Rauchen für Junge noch attraktiver wird.
255570	257700	2130	Auch wenn es keine 100%-ige Lösung gebe,
257899.99999999997	259899.99999999997	2000	um Zigaretten von Jugendlichen fernzuhalten:
260070	263820	3750	Präventionsfachleute begrüssen das Verkaufsverbot für unter 18-Jährige.
264000	268180	4180	Als Gesetzgeber muss man einfach tun, was man irgendwie kann,
268260	270020	1760	um sie zu schützen.
270180	273020	2840	Das greift aber nicht nur an den Verkaufsstellen,
273100	275100	2000	sondern beginnt schon bei der Werbung.
275240	277260	2020	Es ist wichtig, dass Jugendliche und Kinder
277490	279980	2490	vor der Verführung der Tabakindustrie geschützt werden.
280170	283420	3250	Deshalb braucht es jetzt ein solches Gesetz.
283600	287500	3900	Im Vorschlag des Bundesrates sieht SVP-Nationalrat Gregor Rutz
287610	295380	7770	allerdings bloss eine unnötige Beschränkung von Freiheitsrechten.
295460	298340.00000000006	2880	Es gibt immer solche Gesundheitsfanatiker,
298530	299980	1450	die am liebsten alles verbieten würden.
300170	301860	1690	Aber dann sollen sie doch bitte ehrlich sein:
301940	303500	1560	Sie wollen das Rauchen verbieten.
303660	305300	1640	Dann sollen sie diese Forderung aufstellen
305440	307140	1700	und dann können wir schauen,
307330	308940	1610	ob sie dafür eine Mehrheit haben oder nicht.
309090	310620	1530	Ich finde, Rauchen ist etwas Schönes -
310770	312380	1610	ich rauche auch ab und zu etwas, Zigarren,
312530	314100	1570	wenn ich einen Moment geniessen möchte.
314200	316340	2140	Und ich traue mir durchaus zu, sel- ber darüber entscheiden zu können,
316480	319020	2540	dafür brauche ich keinen Beamten, der mich an der Hand nimmt damit.
319100	322100	3000	Die verschärften Rauchergesetze sind noch nicht beschlossen:
322260	324260	2000	Der Entwurf geht jetzt in die Vernehmlassung.
325770	328380	2610	Bevor wir über abgenutzte Schienen und schadhafte Schwellen
328500	330740	2240	im Schweizer Schienennetz berichten,
330910	334820	3910	mag uns, Stichwort Bahnverkehr, aus dem Ausland die Meldung trösten,
334900	337860	2960	dass in Frankreich für 15 Mio. Euro
338030	340700	2670	blitzblanke neue Vorortszüge beschafft wurden,
340880	346500	5620	die leider tout juste ein paar Zentimeter zu breit sind,
346650	350900	4250	für dass sie in 1'300 v.a. älteren Bahnhöfen, einfahren könnten.
351060	354020	2960	Ganze Bahnhöfe verbreitern, damit die Züge reinpassen,
354140	356380	2240	muss man in der Schweiz nirgends.
356530	358140	1610	Aber heute wurde bekannt:
358370	360900	2530	Das Schweizer Schienennetz ist in einem schlechteren Zustand,
361020	363220	2200	als selbst die SBB gemeint hatten.
363500	366460	2960	Die Zahl der Schadstellen ist ums 3-fache angewachsen.
366620	369180	2560	Und viele dieser Schäden müssen sofort behoben werden.
369390	370900	1510	Monica Suter.
372260	375020	2760	Zerstörte Geleise, so weit das Auge reicht.
375110	379580	4470	Auf einer Länge von 300 m sind die Schienen regelrecht zerbröselt.
379660	381740	2080	In der S-Bahn von Zürich nach Pfäffikon
381820	383460	1640	sind vor einem guten Jahr
383540	386180	2640	die Schienen unter der Last des fahrenden Zuges zerborsten.
386290	389340	3050	125 Passagiere sind mit dem Schrecken davongekommen.
389450	391780	2330	Heute haben die Bundesbahnen
391980	394580	2600	den neuen Netzzustands-Bericht veröffentlicht.
394780	398620	3840	Zum Zustand des Schienennetzes sagt Stephan Wehrle von der SBB:
398790	401220	2430	Den Unterhalt hat man nicht vernachlässigt,
401330	404180	2850	aber im Nachhinein, das muss man ganz klar sehen,
404230	406300	2070	hätte man mehr machen müssen.
406440	409500	3060	Mit diesem Diagnosefahrzeug aus Grossbritannien fährt die Bahn
409700	413020	3320	ihr Schienennetz ab und sucht nach schadhaften Stellen -
413170	415580	2410	seit dem Unfall von Schwerzenbach.
415780	418340.00000000006	2560	Weil dieses Fahrzeug präzisere Messwerte liefern kann,
418490	422380	3890	wurden im vergangenen Jahr 3-mal mehr Schäden an Schienen festgestellt,
422460	424980	2520	sagen die Bundesbahnen.
425120	427300	2180	Bahnexperte Sepp Moser
427440	430620	3180	überrascht der schlechte Zustand des Schienennetzes überhaupt nicht.
430700	434140	3440	Ich bin eigentlich nur darüber überrascht, dass man so tut,
434370	437620	3250	als wären die Erkenntnisse dieses Berichtes neu.
437780	440580	2800	Das weiss man alles seit vielen Jahren und nichts ist neu,
440730	442460	1730	ausser ein paar Details.
442630	445580	2950	Fakt ist: Der Ausbau des Netzes galt lange als wichtiger
445840	447980	2140	als der Unterhalt der bestehenden Geleise.
448150	450740	2590	Dazu kommt, dass die Züge immer schwerer werden
450970	452620	1650	und immer schneller unterwegs sind.
452790	454700	1910	Deshalb nutzen sich die Schienen schneller ab.
454780	457780	3000	Die aufgelaufenen Kosten für den Unterhalt werden deshalb steigen,
457900	460420	2520	um 500 Mio. Fr. pro Jahr.
460590.00000000006	465460	4870	Reichen diese 500 Mio. Fr., die die SBB investieren wollen?
465659.99999999994	468820	3160	Es geht nicht um den Betrag, sondern die darum, wie er eingesetzt wird.
468940	471100	2160	Da sehe ich ein Problem:
471260	473500	2240	Man sollte es einsetzen, um die Probleme langfristig zu lösen
473700	475620	1920	und den Netzzustand zu verbessern.
475800	478100	2300	"Tatsächlich wird es aber für ""Pflästerli"" eingesetzt,"
478260	480660	2400	und das wird sich langfristig rächen.
480770	482900	2130	Es gibt ein Beispiel zur Illustration:
483040	485060	2020	die Neubaustrecke St. Gallen - Olten.
485210	487300	2090	Dort wurde in 9 Jahren kein einziges Mal geschliffen,
487410	489780	2370	obwohl man das alle 2 Jahre müsste.
489950	492780	2830	Wenn die SBB klagen, ist das etwa so, wie wenn jemand,
493000	496780	3780	der 9 Jahre lang die Zähne nicht geputzt hat, über Karies klagt.
496880	499500	2620	Das Gegenteil ist der Fall:
499680	501820	2140	Wir haben eine umfassende Analyse gemacht
501980	504780	2800	und ein Massnahmenprogramm eingeleitet.
504860	509100	4240	"Das ist nicht ""Pflästerlipolitik"", sondern weitsichtig Politik,"
509290	512500	3210	mit dem Ziel, in den nächsten Jahren den zusätzlichen Unterhaltsbedarf
512650	515900	3250	"leisten zu können, nicht im Sinne von ""Pflästerli"","
516020	518100	2080	sondern flächendeckend.
518330.00000000006	522260	3930	Damit die SBB die Schäden sanieren kann, sind Sparmassnahmen notwendig.
522419.99999999994	524860	2440	Sicherheit, Pünktlichkeit und Kundenanliegen
525000	528780	3780	sollen jedoch laut SBB davon nicht tangiert werden.
530140	532980	2840	Die Terrormeldungen, die uns aus Nigeria erreichen,
533080	534580	1500	reissen nicht ab.
534690	538780	4090	Innerhalb von 24 Std. sind bei An- schlägen 170 Menschen getötet worden.
539030	542740	3710	Heute überfielen bewaffnete Männer im Norden 3 Dörfer.
542900	547260	4360	Gestern explodierten in der Stadt Jos im Zentrum Nigerias 2 Autobomben
547400	549580	2180	und töteten über 100 Menschen.
550930	552620	1690	Grausam.
552730	554660	1930	Blutig.
554770	557180	2410	Brutal.
557370	561580	4210	Eine Bombe explodiert mitten am Tag auf dem Marktplatz in Jos.
