start	end	duration	text
1720	2920	1200	.
3040	14720	11680	1:1-Untertitelung. Livepassagen können Fehler enthalten.
14900	16880	1980	"Guten Abend, das ist ""Schweiz aktuell"" am Freitag"
17000	18640	1640	und das sind unsere Schwerpunkte:
20190	22400	2210	Beim Zugunglück von Rafz vor einer Woche
22620	25960	3340	hat der Lokführer laut SBB ein Haltesignal überfahren.
26130	29960	3830	Jetzt will man aus dieser Kollision Lehren ziehen.
30100	33240	3140	Die katholische Kirchgemeinde von Bürglen/UR
33400	37240	3840	lässt ihren Pfarrer Wendelin Bucheli auf keinen Fall im Stich.
37420	40240	2820	Gleichzeitig will man aber das Gespräch mit dem Bischof suchen
40370	42480	2110	und eine Lösung finden.
42610	46040	3430	In Sedrun in der Bündner Surselva
46230	49160	2930	soll ein Feriengast und Ex-Manager aus dem Kanton Zug
49310	51360	2050	Gemeindepräsident werden,
51530	54200	2670	weil niemand sonst das Amt übernehmen will.
54870	56760	1890	Menschliches Versagen war laut SBB
56880	61320	4440	der Grund für das Zugunglück vor 1 Woche beim Bahnhof Rafz/ZH.
61470	64239.99999999999	2770	Obwohl das Sicherheitssystem einwandfrei funktioniert habe,
64410	67400	2990	sei es wegen des langen Bremswegs der S-Bahn
67620	70080	2460	zum Zusammenprall mit dem Schnellzug aus Schaffhausen gekommen.
70250	72520	2270	Die SBB will Lehren ziehen aus dem Unfall,
72680	77520	4840	bei dem 6 Personen verletzt wurden, und kündigte jetzt Massnahmen an.
78210.00000000001	81240	3030	Der Unfall geschah um 6.45 Uhr.
81400	84280	2880	Die S-Bahn musste eine Zwangsbremsung machen,
84460.00000000001	86600	2140	weil sie ein Rotlicht überfahren hatte.
86770	89360	2590	Für den SBB-Verantwortlichen für Sicherheit
89450	92440	2990	steht menschliches Versagen im Vordergrund.
92580	95680	3100	Der Zug fuhr bei geschlossenem Signal ab.
95850	99560	3710	Wir wissen noch nicht genau, was genau vorgegangen ist,
99690	101960.00000000001	2270	dass es dazu kam.
102120	105000	2880	Das ist ein Bestandteil einer weiteren Untersuchung.
105100	107400	2300	Eine S-Bahn hielt in Rafz.
107560	110000	2440	Daraufhin fuhr sie auf dem gleichen Gleis,
110130	112200	2070	auf dem sie gekommen war, wieder zurück.
112410	115720	3310	Sie vollzog also ein Wendemanöver. Dabei beschleunigte sie auf 60 km/h.
115880	118120	2240	Trotz einer Zwangsbremsung nach dem Rotlicht
118280	122840	4560	touchierte sie einen Interregio, der mit 110 km/h fuhr.
123100	126720	3620	Nun zieht die SBB erste Konsequenzen bei Wendemanövern.
126940	130520.00000000001	3580	Darum entschieden wir, den Vorschlag von Lokführerkreisen,
130699.99999999999	134040	3340	nur noch mit 40 km/h zu fahren und nicht gleich
134180	137400	3220	mit voller Bahnhofsgeschwindigkeit loszufahren,
137460	140360	2900	so schnell wie möglich umsetzen, nämlich auf nächsten Montag.
140390	141800	1410	Bei der SBB ist man überzeugt,
141970	145260	3290	dass man mit Tempo 40 den Unfall in Rafz hätte verhindern können.
145390	147100	1710	Die Sicherheitsanlagen im Bahnhof
147280	149340	2060	sollen aber einwandfrei funktioniert haben.
149500	151420.00000000003	1920	Allerdings ist das Sicherheitssystem in Rafz
151490	153460	1970	noch nicht auf Züge ausgerichtet, die wenden,
153610	155900	2290	sondern nur auf solche, die durchfahren.
156060	158740	2680	Zusätzliche Sicherungen seien aus finanziellen Gründen nur vorgesehen,
158850	161620	2770	wenn mind. 1 Zug pro Tag wende.
161700	163420.00000000003	1720	Das sei in Rafz nicht der Fall.
163530	164940	1410	Erst in ein paar Jahren
165079.99999999997	168500	3420	führt die SBB ein moderneres System für die Schweiz ein.
168579.99999999997	170420.00000000003	1840	Ab April erhalten alle Lokführer
170579.99999999997	173579.99999999997	3000	zusätzlich akustische und optische Warnungen,
173690	176140	2450	wenn sie ein Haltesignal überfahren.
176320	178700	2380	Beide Züge wurden je von 2 Leuten gesteuert,
178900	181700	2800	jemand in Ausbildung, also ein Lehrling, und ein Ausbildner.
181870	184860	2990	Sowohl die SBB wie auch die Gewerkschaft sind der Meinung,
184940	187260	2320	sie seien trotz der Lernfahrt nicht abgelenkt gewesen.
187380	190460	3080	2 Personen im Führerstand ist sicher eine spezielle Situation.
190580	193060	2480	Ich glaube, dass sich Vor- und Nachteile etwa ausgleichen.
193230	196579.99999999997	3350	Es ist klar, dass es in vielen Bereichen die Sicherheit verstärkt,
196740	199820	3080	weil beide Informationen austauschen,
199900	203300	3400	gerade was Signalinformationen angeht.
203470	207220	3750	Es ist aber auch klar, dass man in einer Ausbildungssituation
207360	209780	2420	Dinge miteinander besprechen muss.
209940	211380	1440	Der schwer verletzte Lokführer,
211550	213700	2150	den die Feuerwehr aus dem Cockpit schweisste,
213900	215740	1840	sei zwar noch auf der Intensivstation,
215850	217740	1890	aber nicht mehr in Lebensgefahr.
217820	219900	2080	Der Lehrling, der den Interregio steuerte,
220060	222620	2560	kann in wenigen Tagen das Spital verlassen.
222820	226180	3360	Alle 4 verletzten Personen konnten wieder nach Hause.
227100	230810	3710	Heute gab der Bundesrat bekannt, dass in der Schweiz bis zum Jahr 2030
230960	236050	5090	der Ausstoss von Treibhausgas um 50 % gesenkt werden soll.
236160	239329.99999999997	3170	1/3 der Reduktion soll im Inland umgesetzt werden.
239540	240970	1430	Am meisten Energie
241120	245410	4290	kann beim Bau und der Renovation von Gebäuden gespart werden.
245590	247930	2340	Ein Paradebeispiel steht in Oberdiessbach/BE,
