start	end	duration	text
1220	3030	1810	.
3180	5910	2730	1:1-Untertitelung. Livepassagen können Fehler enthalten.
7240	9110	1870	Guten Abend, meine Damen und Herren.
9280	11670	2390	"Hier ist die ""Tagesschau"", und das sind die Themen heute Freitag:"
13220	16550	3330	Athen stellt Bedingungen für ein Ja zum Brexit-Deal.
19040	22430	3390	Die EU will die halbautomatischen Sturmgewehre
22540	25070	2530	auch in der Schweiz verbieten.
26720	30990	4270	Viele Kantone streichen Steuerrabatte bei Frühzahlungen.
33180	38510	5330	Ein Kinofilm erinnert an die Colonia Dignidad in Chile.
40260	43790	3530	Vereinzelt kann es auch im Flachland schneien.
46150	49310	3160	Deal or no Deal: Am EU-Gipfel geht's genau um diese Frage.
49440	53230	3790	Kommt ein Deal mit Grossbritannien zustande?
53430	56910	3480	Grossbritannien, das Reformen von der EU verlangt
57120	60910	3790	und das wohl schon bald über einen Austritt aus der EU,
60990	63350	2360	also einen Brexit abstimmt.
63550	66390	2840	Kommt die EU Grossbritannien entgegen,
66470	68870	2400	dürfte dies die Wahrscheinlichkeit eines Brexits senken.
69760	71750	1990	Nach wenigen Stunden Schlaf ist er wieder da:
71860	73550	1690	der britische Premier Cameron. Er weiss:
73740	77310	3570	Der heutige Tag könnte entscheidend sein für Grossbritannien und die EU.
77420	80150	2730	Ich war bis 5 Uhr früh hier.
80330	82630	2300	Wir machten gewisse Fortschritte, aber es gibt noch keinen Deal.
82710.00000000001	87150	4440	Und ich werde nur zustimmen, wenn wir das kriegen, was wir wollen.
87310	90070	2760	Dafür werde ich nun alles tun, was ich kann.
91700	93990.00000000001	2290	Was er will, bereitet Brüssel Sorge.
94220	98380	4160	V.a. die Forderung, Zuwanderer in Grossbritannien
98580	101060	2480	weniger rasch Sozialleistungen beziehen zu lassen,
101270.00000000001	103860	2590	stösst auf Ablehnung.
104070	107180	3110	Die EU-Spitzenpolitiker sind in einer schwierigen Situation.
107390	109259.99999999999	1870	Machen sie gegenüber Cameron Zugeständnisse,
109450	113380	3930	könnten bald andere Mitgliedstaaten Sonderwünsche anbringen.
113490.00000000001	117220	3730	Bleiben sie hart, droht der Brexit.
117340	119460.00000000001	2120	"Die Methode ""Ich sage euch, was ihr mir geben müsst,"
119600	122420	2820	"damit ich hier bleibe"" funktioniert nicht."
122560	124540	1980	Man muss schon aufeinander zugehen.
124700	127660	2960	Ich habe aber auch den Eindruck, dass David Cameron das sieht.
127870	130780	2910	Nach meinem Kenntnisstand bewegt sich auch
130870	134380	3510	die Regierung des Vereinigten Königreichs in einigen Bereichen.
134500	136260	1760	So richtig Bewegung
136420.00000000003	139079.99999999997	2660	ist allerdings noch nicht in die Verhandlung gekommen.
139250	141760	2510	Die griechische Regierung will den Brexit-Deal
141910	145200	3290	offenbar mit der Flüchtlingsfrage verknüpfen und nur zustimmen,
145300	147520	2220	wenn die anderen EU-Mitgliedstaaten
147660	151079.99999999997	3420	ihre Grenzen vorerst nicht schliessen.
151160	152920.00000000003	1760	Am späten Nachmittag
153090	156120	3030	verlassen die Gipfelteilnehmer den Verhandlungsort - ohne Deal.
156260	158800	2540	Um 20 Uhr wollen sie sich wieder treffen.
159060	161920.00000000003	2860	Zur Plenarsitzung, die eigentlich längst hätte stattfinden sollen.
163820	167079.99999999997	3260	Seit mehr als 26 Std. wird in Brüssel jetzt über einen Deal
167220	170360	3140	zwischen Grossbritannien und den anderen EU-Staaten verhandelt.
170500	174720	4220	Zugeschaltet sind unsere Korres- pondenten in London und Brüssel.
174880	179000	4120	Zuerst zu Sebastian Ramspeck. Warum dauert das derart lange?
179110	181160	2050	Wir untertiteln live:
189920	192800	2880	Weil das ganz grosse Finale
192910	195280	2370	erst heute Nachmittag begonnen hat.
195400	199440	4040	Griechenland will nur zustimmen,
199600	204480	4880	wenn die EU Griechenland auch Zugeständnisse macht,
204650	209520	4870	und die Grenzen auf der Balkanroute nördlich von Griechenland
209630	214040	4410	offenlässt, und er mit eben kein Rückstau von Flüchtlingen
214190	220120	5930	in Griechenland entsteht.
224960	229360	4400	Aber die beiden Themen an einem Treffen gemeinsam
229450	232560	3110	auf die Tagesordnung zu setzen, war bestimmt ein Fehler.
232720	236920.00000000003	4200	Gibt's denn wenigstens beim Thema Brexit sowas wie Fortschritte?
237050	243000	5950	Die gibt es schon.
244910	248010	3100	Man hat zum Teil auch schon fertig verhandelt bei einigen Themen.
248110	254010	5900	Aber beim Thema Personenfreizügigkeit,
255610	260610	5000	Sozialleistungen, gibt es immer noch kritische Gegner.
260850.00000000003	265530	4680	Neben Cameron will er eine Sozialleistung Notbremse,
265710	270130	4420	die aber nur für einen bestimmten Zeitraum gelten soll,
270270	275409.99999999994	5140	und zwar 13 Jahre,
275610	277890	2280	aber die EU will nur sieben Jahre zugestehen.
278040	281290	3250	Das nach meinem Kenntnisstand.
281460	284650	3190	Urs Gredig, wie gross sind Camerons Probleme, wenn er Kompromisse
284750	289290	4540	eingehen muss, also nicht alles bekommt, was er verlangt?
289380	293330	3950	Das kann man so sagen.
293460	297409.99999999994	3950	Denn beim Kampf von David Cameron
297630	300730	3100	für Grossbritannien, wie er selber sagt,
300890	306810	5920	sind Kompromisse gar nicht vorgesehen.
308190	311890	3700	Und einst versprach David Cameron
312090	318010	5920	fundamentale Veränderungen innerhalb der EU,
318500	322650	4150	aber davon ist mittlerweile wenig übrig geblieben.
322870	328690	5820	Wenn diese aus Sicht der Briten eh schon verwässerte Reform
331530	337490	5960	durchkommt, würde man auch Cameron dafür verantwortlich machen.
341540	343770	2230	Es könnte dann mehr Brexit- Befürworter geben.
346610	348290	1680	In die Schweiz.
348460	350570	2110	Das Sturmgewehr gehört nicht in den Schrank zu Hause,
350710	352690	1980	es sollte bei der Armee bleiben.
352950	355450	2500	Was bisher eine Forderung von Waffenkritikern in der Schweiz war,
355590.00000000006	357650	2060	wird jetzt auch aus Brüssel gefordert.
357830	360890	3060	Als Folge der Terroranschläge von Paris möchte die EU-Kommission
361110	363130	2020	das Waffenrecht in allen Schengen-Staaten,
363270	365210	1940	also auch in der Schweiz, verschärfen.
366580	368490	1910	In der Schweizer Armee
368660	370570	1910	bleibt das Sturmgewehr selbstverständlich erlaubt.
370790	372810	2020	Nach dem Ende der Dienstpflicht soll man die Waffe aber
373070	374970	1900	in Zukunft nicht mehr mit nach Hause nehmen dürfen,
375130	377210	2080	wenn es nach dem Willen der EU-Kommission geht.
377490	379450	1960	Denn als Folge der Attentate von Paris
379620	382410	2790	sollen automatische Sturmgewehre und halbautomatische Waffen
382530	385570	3040	nicht mehr von Zivilpersonen benutzt werden dürfen.
385710	390250	4540	Bei Schweizer Politikern kommen die Ideen aus Brüssel unterschiedlich an.
394190	397210	3020	Ich begrüsse diesen Vorschlag, der nun auf dem Tisch liegt.
397290	400650	3360	Ich habe immer davor gewarnt, dass die Armeewaffe nach dem Dienst
400810	404770	3960	den ehemaligen Soldaten nach Hause gegeben wird.
404990	407210	2220	Das birgt ein Gefahrenpotenzial, die Schusswaffendichte,
407310	409730	2420	die wir in der Schweiz haben.
409830	412050	2220	Was halten Sie davon? - Gar nichts.
412200	414610	2410	Das zeigt das Misstrauen der Regierung in Brüssel
414750	420130	5380	und von der EU gegenüber ihren eigenen Bürgerinnen und Bürgern.
420350	424010	3660	Was würden Sie politisch dagegen tun?
424160	427890	3730	Wenn es ein Gesetz geben würde, würde ich das Referendum ergreifen.
428070	430290	2220	Das Schweizer Volk soll sich dazu äussern können.
430390	434250	3860	Auch die Schweizer Schützenvereine sind erwartungsgemäss wenig erfreut
434380	437130	2750	über die Pläne der EU-Kommission.
451550	454220	2670	Dies sagt der Schweizer Schiesssportverband Swiss Shooting.
454360	458820	4460	Tatsächlich ist noch nichts definitiv entschieden.
459000	462900	3900	Im Moment laufen in Brüssel Beratungen auf Expertenebene.
463120	465900	2780	Und danach muss die endgültige Vorlage noch vom Ministerrat
466050	468620	2570	und vom Europäischen Parlament verabschiedet werden.
471390	473540	2150	In diesen Tagen erhalten wir in der Schweiz Post,
473670	477620	3950	die uns - sagen wir es mal so - nicht gerade euphorisch stimmt.
477760	480020	2260	Es ist die Steuerrechnung.
480190	482620	2430	Wenn man sich vom ersten Schock erholt hat,
482740	485100	2360	dann kann man entscheiden.
485300	488100	2800	Warten mit Zahlen oder es gleich hinter sich bringen.
488270	490820	2550	Frühzahler werden belohnt. Mit einem Steuerrabatt.
490920	493980	3060	Aber das mit den Rabatten ist nicht mehr wie früher.
494130	496140	2010	Und es herrscht Kantönligeist.
496340	498860	2520	Andreas Brandt und Stefanie Pauli berichten.
501190	503460	2270	Steuern - wohl niemand zahlt sie gerne.
503670	506500	2830	Immerhin gab's bisher eine Belohnung für Frühzahler.
