start	end	duration	text
1230	3110	1880	.
3200	6350	3150	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8109.999999999999	10470	2360	Es ist 10 vor 10, guten Abend, meine Damen und Herren.
10620	13070	2450	Gedopte Athleten, korrupte Funktionäre -
13230	15830	2600	der Leichtathletik-Weltverband habe komplett versagt,
16000	19230	3230	hält ein Anti-Doping-Bericht heute fest. Das überrascht Insider nicht:
19390	23750	4360	Patrick Magyar, langjähriger Direktor von Weltklasse Zürich,
23890	25950	2060	ist so ein Insider.
26150	28430	2280	Er kennt die Stars der Szene und die Verbandsstrukturen,
28610	32430	3820	und er kennt und unterstützt das Ehepaar Stepanow persönlich -
32520.000000000004	34790	2270	das russische Athletenpaar hat die ganze Affäre
34990	37670	2680	mit seinen Aussagen ins Rollen gebracht.
37830	40510	2680	Patrick Magyar ist heute unser Fokusgast im Studio.
40620	42150	1530	Die weiteren Themen:
44100	47310	3210	Warum sich der IS-Terror auf der ganzen Welt ausbreitet.
49410	54870	5460	Was bei Dänemark für Empörung sorgt, ist in der Schweiz ganz normal.
57320	62030	4710	Erst als Boxtrainer erntet Sylvester Stallone Schauspielpreise.
65600	68240	2640	Nun also auch Indonesien:
68460.00000000001	71280	2820	Das bevölkerungsreichste muslimische Land
71430	74039.99999999999	2610	ist erstmals Ziel eines IS-Anschlags geworden.
74190	76880	2690	Heute Morgen detonierten im Zentrum der Hauptstadt Jakarta
77000	79039.99999999999	2040	mindestens sechs Sprengsätze,
79230	81160	1930	Terroristen schossen auf flüchtende Passanten.
81320	83800	2480	Im Visier hatten sie Polizisten und Ausländer.
83970	87039.99999999999	3070	Fünf Attentäter, ein Kanadier und ein Polizist sind tot.
87230	89600	2370	Nur zwei Tage, nachdem ein IS-Selbstmordattentäter
89760	92600	2840	in Istanbul zehn Deutsche getötet hat.
92800	95320	2520	Der IS-Terror verbreitet sich in alle Himmelsrichtungen.
95450	97600	2150	Tobias Bossard und Irina Simmen.
99670	102520.00000000001	2850	Die Terrormiliz Islamischer Staat
102700	106120	3420	dehnt sich mit ihren schrecklichen Attentaten immer mehr aus.
106200	108560	2360	Heute in Jakarta: Fünf Terroristen
108729.99999999999	111920	3190	überfallen ein Starbuckscafe und eine kleine Polizeistation.
112080	115000	2920	Es herrscht stundenlang Chaos in den Strassen.
115200	118360	3160	Die Attentäter liefern sich Schiessereien mit der Polizei.
118440	122400	3960	Neben den sieben Toten gibt es über 15 Verletzte.
122570	124680	2110	Und das in der Hauptstadt Indonesiens,
124830	127040	2210	mitten in einem belebten Geschäftsviertel.
127210	130880	3670	Der indonesische Präsident ruft später zur Ruhe auf:
130960.00000000001	135040	4080	Wir verurteilen diese Angriffe auf den Frieden unserer Gesellschaft.
135250	137680	2430	Dieser Terrorakt darf uns keine Angst machen.
137850	142320	4470	Wir sollten ruhig bleiben - die Regierung hat alles unter Kontrolle.
142550	145360	2810	Die Indonesier sind geschockt.
145600	148120	2520	Der letzte terroristische Anschlag war 2009.
148240	151440	3200	Darum glaubten viele, die Extremisten seien verschwunden.
151560	154760	3200	Der IS belehrt sie nun eines anderen.
154920.00000000003	157240	2320	Der Sicherheitsexperte Markus Kaim
157310	159440	2130	erklärt sich den Anschlag in Jakarta und anderen Orten
159520	164280	4760	ausserhalb der IS-Stammgebiete mit einer neuen Strategie.
164380	166840	2460	Ich glaube, es handelt sich hier um eine Strategie des Ausweichens.
167020	169440	2420	Denn der IS steht im Irak und in Syrien unter militärischem Druck,
169550	171640	2090	also weicht er andernorts aus,
171790	174760	2970	z.B. nach Libyen oder in andere Regionen hinein.
174910	176480	1570	In diesem Kontext
176630	180600	3970	fügen sich z.B. Anschläge in Tunesien in diese Gesamtstrategie.
180790	184920	4130	Tunesien, letzten Juni: Am Strand eines Hotels sterben 38 Menschen.
185020	188600	3580	Der IS bekennt sich zum Massaker.
188710	192280	3570	Im ägyptischen Sinai bringt der IS im Oktober mutmasslich
192480	197280	4800	ein russisches Flugzeug zum Absturz. Es gibt 224 Tote.
197450	199440	1990	Im November dann die Terrornacht in Paris.
199550	203680	4130	IS-Anhänger töten in einer koordi- nerten Aktion über 150 Menschen.
203880	208840	4960	In Kalifornien werden im Dezember 14 Personen erschossen.
208950	213600	4650	Einer der beiden Attentäter schwört zuvor dem IS seine Treue.
213820	218600	4780	Und vor zwei Tagen in Istanbul: Ein Selbstmordattentäter sprengt sich
218770	221680	2910	und zehn deutsche Touristen in die Luft.
221760	224400	2640	Seit Anfang 2015
224510	228480	3970	gab es gegen 40 solche Attentate ausserhalb der IS-Stammgebiete,
228579.99999999997	230600	2020	oft von Einzeltätern.
230710	232560	1850	Dabei stellt sich die Frage,
232760	235800	3040	ob wirklich immer der IS dahinter steckt.
235880	237720	1840	Häufig haben wir es zu tun -
237910	240280	2370	gerade z.B. bei den Anschlägen von Paris -
240480	242440	1960	mit selbstradikalisierten Einzeltätern,
242630	245040	2410	die dann die Nähe zum IS suchen, Ausbildungslager durchlaufen,
245160	247880	2720	Finanzierung und logistische Unterstützung erfahren.
247990	251080	3090	Aber dann ist häufig der Tatzeitpunkt, der Tatort
251160	254120	2960	und der Umfang der Tat frei gewählt.
254270	257079.99999999997	2810	Man ginge also fehl, wenn man davon ausginge,
257269.99999999997	259079.99999999997	1810	dass es sich nur um Marionetten handelt,
259160.00000000003	260839.99999999997	1680	die Befehle ausführen.
260990	263440	2450	Der IS, so hat es ein amerikanischer Think Tank definiert,
263580	265920	2340	verfolge eine klare Terrorstrategie:
266120	268120	2000	Mit der eignen Armee
268310	270800	2490	werden die Konflikte in Syrien und Irak angeheizt.
270940	273280	2340	Die Beziehungen zu regionalen Dschihadisten-Gruppen
273390	275400	2010	werden gestärkt,
275480	278640	3160	damit diese Attacken im Nahen Osten und Nordafrika verüben.
278800	282040	3240	Und IS-Sympathisanten werden zu Anschlägen im Westen angestiftet.
282280	286690	4410	Aber trotz der Zunahme von Attentaten im Westen, relativiert Markus Kaim.
286800	289210	2410	Aufgrund einer grösseren Berichterstattung
289350	291409.99999999994	2060	haben wir den Eindruck, dass die IS-Anschläge immer näher kommen.
291590.00000000006	295010	3420	Aber die weitaus grössere Zahl von Opfern von IS-Anschlägen
295230	297770	2540	ist in der islamischen Welt zu beklagen.
297880	299730	1850	Ein Vielfaches davon.
299920	302930	3010	Das sind die wirklich Leidtragenden von IS-Anschlägen.
303040	304850	1810	Ein schlechter Trost.
305010	309090	4080	Denn Fakt ist: Der IS-Terror nimmt trotzdem weltweit zu.
312070	315050	2980	Nach dem Selbstmordanschlag in Istanbul reagiert die Türkei nun
315280	318770	3490	mit Bombenangriffen auf Gebiete, die vom IS besetzt sind:
320800	323250	2450	In Istanbul ist der altägyptische Obelisk
323480	325730	2250	am Orte des Attentats zum behelfsmässigen Gedenkort
325900	328570	2670	für die Opfer vom vergangenen Dienstag geworden.
328840	331810	2970	Dutzende von Menschen haben hier heute Blumen niedergelegt.
332060	334730	2670	Noch immer sind einige der Verletzten im Spital.
334850	336930	2080	Als Vergeltung für den mutmasslich
337159.99999999994	339050	1890	von einem IS-Terroristen verübten Anschlag
339150	342170	3020	bombardiert die türkische Armee seit zwei Tagen Ziele in Syrien und Irak.
342270	346770	4500	Der türkische Ministerpräsident zog heute eine erste Bilanz -
347000	349690	2690	aus türkischer Sicht:
349920	353690	3770	Ungefähr 200 Militante des Islamischen Staates IS
353960	356730	2770	konnten in den letzten 48 Std. neutralisiert werden.
356960	360690	3730	Einige von ihnen waren Anführer des IS.
363200	365330	2130	Die Scherben bei der FIFA sind noch nicht zusammengekehrt,
365600	368890	3290	da wird einem weiteren Weltsportverband
369040	371050	2010	komplettes Versagen attestiert.
371200	373170	1970	Die Welt-Anti-Doping-Agentur WADA veröffentlicht heute
373360	375930	2570	ihren zweiten Bericht
376040	378450	2410	nach dem Dopingskandal bei den russischen Athleten -
378630	382450	3820	und fokussiert auf die Verantwortung des Leichtathletik-Weltverbands IAAF.
386080	389690	3610	Die Vorwürfe gegen russische Sportler sind schwerwiegend:
389800	392970	3170	systematisches Doping.
393200	396370	3170	Und der Leichtathletik-Weltverband IAAF soll bereits seit 2009
396590.00000000006	400130	3540	davon gewusst, aber die nicht gehandelt haben.
400260	402530	2270	Dies besagt ein 89-seitiger Untersuchungsbericht,
402690	404850	2160	der heute heute in München vorgestellt wurde,
405010	408210	3200	von der Welt-Anti-Doping-Agentur WADA.
