start	end	duration	text
1170	2770	1600	.
2970	5490	2520	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6930	8930	2000	"Die ""Tagesschau"", meine Damen und Herren, guten Abend!"
9150	11650	2500	Und das macht heute Freitag Schlagzeilen:
13480	18450	4970	Der Bund schafft 86 neue Stellen im Kampf gegen den Terror.
20810	26130	5320	Gesundheitsminister Berset befürchtet jetzt höhere Gesundheitskosten.
28150	32130.000000000004	3980	Die Kantone können die sog. IKEA-Häuschen für Flüchtlinge
32259.999999999996	33770	1510	nicht einsetzen.
36470	40570	4100	Lara Gut gewinnt in Val d'Isere ihre erste Weltcup-Kombination.
43260	45290	2030	Entlang des Juras zäher Nebel.
47420	50130	2710	Mehr Personal im Kampf gegen den Terror:
50300	53250	2950	Der Bundesrat will deshalb 86 neue Stellen schaffen.
53380	56410	3030	Die meisten Stellen erhält das Grenzwachtkorps,
56570	60210	3640	aber auch andere Sicherheitsdienste des Bundes werden verstärkt.
60330	63330	3000	Der Bundesrat begründet diesen Schritt
63480	65890	2410	mit den Entwicklungen der letzten Monate.
66010	68570	2560	Die Terrorbekämpfung werde zunehmend aufwendiger. Hanspeter Forster:
71050	73170	2120	Auf den Internetseiten islamistischer Terrorgruppen
73240	75650	2410	tauchen zwar hie und da auch Hinweise auf die Schweiz auf,
75890	78690	2800	dennoch geht Bundesrat Ueli Maurer nicht davon aus,
78890	82570	3680	dass die Schweiz ein erstrangiges Ziel der Terroristen ist.
82770	84970	2200	Allerdings, so der Verteidigungsminister:
85180	86930	1750	Die Bedrohungslage ist unverändert hoch.
87010	89130	2120	Die grösste Unsicherheit
89320	92850	3530	besteht in möglichen Einzeltätern, in Migrationsströmen,
93050	98729.99999999999	5680	in Dschihadisten, auch in Schläfern, die gar nie ausser Landes waren.
98910	101610	2700	Die Motivation, etwas nachzumachen, ist hoch,
101729.99999999999	103530	1800	die Terrorgefahr bleibt hoch
103729.99999999999	105970	2240	und wird in den nächsten Monaten wohl noch höher werden.
106060	107850	1790	Buchstäblich an allen Fronten
107930	111009.99999999999	3080	verstärkt die Schweiz darum ihre Mittel zur Terrorabwehr:
111120	112770.00000000001	1650	beim Schutz der Grenzen,
112970	114850	1880	beim Nachrichtendienst und bei der Fahndung.
115020.00000000001	117690	2670	86 neue Stellen sollen dafür geschaffen werden -
117800	122730	4930	23 beim Nachrichtendienst, 24 bei der Bundeskriminalpolizei
122860	125770	2910	und 28 beim Grenzwachtkorps.
125870	128169.99999999999	2300	Weitere elf zusätzliche Stellen
128300.00000000001	131530	3230	gibt es beim Staatssekretariat für Migration SEM
131610	133770	2160	und im Aussendepartement EDA.
133880	135690	1810	Diese zusätzliche Sicherheit
135770	138250	2480	lässt sich der Bund nächstes Jahr 6,3 Mio. Fr. kosten
138360	140810	2450	Wir brauchen Personal, um alle Hinweise besser zu prüfen,
140890	143610	2720	beim Grenzübertritt die Kontrollen zu vertiefen,
143790	146730	2940	auch dort Papiere nicht nur rasch anzuschauen,
146900	149730	2830	sondern in Systemen abzufragen, wenn man misstrauisch ist.
149900	151850	1950	Und ich glaube, wir können es uns nicht leisten,
151930	153770	1840	einfach die Augen zu verschliessen.
154010	157010	3000	Da braucht es Leute, die etwas verstehen und dem nachgehen.
157180	159810	2630	Die Armee kommt nach wie vor nicht zum Einsatz in der Terrorbekämpfung,
159930	162650	2720	allerdings sei v.a. die Militärpolizei vorbereitet,
162780	165610	2830	um jederzeit eingreifen zu können,
165690	167970	2280	falls das Grenzwachtkorps Unterstützung benötigt,
168070	169610	1540	heisst es beim Bund.
171340	175250	3910	Eigentlich war der Ärztestopp beinahe beschlossene Sache:
175400	177530	2130	Die Kantone hätten weiterhin steuern können,
177730	180690	2960	wie viele neue Ärzte zugelassen werden.
180830	184290	3460	Doch heute kam mit der neuen rechts- bürgerlichen Mehrheit im Nationalrat
184370	185690	1320	alles anders.
185770	188810	3040	SVP und FDP haben das Geschäft versenkt -
189000	191730	2730	der Ärztestopp wird nicht im Gesetz verankert.
191910	195410	3500	Damit können unbeschränkt neue Arztpraxen eröffnet werden.
