start	end	duration	text
11360	20150	8790	.
20320	24790	4470	1:1-Untertitelung. Livepassagen können Fehler enthalten.
24970	27190	2220	"Guten Abend und willkommen zu ""Schweiz aktuell"","
27260	28670	1410	heute mit diesen Themen:
29970	32870	2900	Ein Mann starb an den Radsporttagen Gippingen.
32950	35790	2840	Nun untersucht die Staatsanwaltschaft des Kantons Aargau,
35930	39030	3100	ob ein anderer Fahrer am tödlichen Unfall Schuld hat.
42070	44750	2680	Zuoberst in über 130 m Höhe,
44950	46910	1960	so hoch hat in der Schweiz noch nie ein Bauarbeiter
47130	48760	1630	an einem Bürogebäude gearbeitet.
48850	51360	2510	Wir waren exklusiv bei den Bauarbeiten in Basel dabei.
53940	56770	2830	Die illegal ausgesetzten Geckos im Papiliorama in Kerzers
56990	59490	2500	ernähren sich ausgerechnet von Schmetterlingen.
59710	62290	2580	Nun haben sie sich auch noch vermehrt.
64470	67090	2620	Ein Mann aus Meilen/ZH kam am letzten Samstag
67290	70570	3280	an den Radsporttagen von Gippingen/AG ums Leben.
70789.99999999999	73130	2340	In Böttstein stürzte er mit 3 weiteren Fahrern
73380	75570	2190	und prallte anschliessend gegen einen Baum.
75680	77450	1770	Er verstarb später im Spital.
77590	79250	1660	Die Polizei hat dann noch am Samstagabend
79340	81570	2230	einen anderen Velofahrer - auch aus der Region Zürich
81650	83370	1720	verhaftet, wie heute bekannt wurde.
83539.99999999999	85410	1870	Er soll anscheinend den Unfall verursacht haben.
87750	89370	1620	Der Unfallort in Böttstein/AG.
89510	91810	2300	Der 36-jährige Velofahrer stürzte so schwer,
91970	93970	2000	dass er später an den Verletzungen starb.
94160	95890	1730	Die Staatsanwaltschaft untersucht jetzt,
96050	100130	4080	ob der Mann einfach so gestürzt ist oder ob jemand schuld daran ist.
100330	105370	5040	Am Samstagabend im Laufe der eröffneten Untersuchungen
105539.99999999999	108450	2910	haben die Staatsanwaltschaft und die Kantonspolizei Aargau
108630	112570	3940	Hinweise von Zeugen erhalten, die u.a. auch Rennteilnehmer waren,
112750	116170	3420	dass es zu einem allfälligen Körperkontakt oder einer Berührung
116330	119410	3080	zwischen der in der Zwischenzeit beschuldigten Person
119530	122650	3120	und einem Rennteilnehmer kam.
122830	124930	2100	Der Verstorbene fuhr beim Rennen hier runter.
125160	128130	2970	Hier sind die Fahrer schnell einmal mit 70 km/h unterwegs.
128210.00000000001	131330	3120	Dann passierte es: Der Mann, der verhaftet wurde,
131410	134770	3360	überholte während des Rennens eine Gruppe anderer Velofahrer.
134980	138650	3670	Dabei touchierte er die 4 Velofahrer, die danach stürzten.
138740	141730	2990	Die beschuldigte Person streitet ab,
141920.00000000003	144250	2330	für den Tod des Opfers verantwortlich zu sein.
144420.00000000003	146690	2270	Man konnte sie bereits einmal einvernehmen.
146840	150170.00000000003	3330	Jetzt geht man mit dem Haftantrag vors Zwangsmassnahmengericht.
150380	152130	1750	D.h., der Mann bestreitet zwar nicht,
152340	154570	2230	die anderen Velofahrer berührt zu haben, sagt aber,
154660	157010	2350	er habe mit dem Tod nichts zu tun.
157220	159890	2670	Wenn man auf diesen Bildern sieht, wie die Profis am Donnerstag
160010	162570	2560	eng und nahe beieinander fuhren, erstaunt es nicht, dass es am Samstag
162660	165810	3150	auch einmal Körperkontakt bei den Amateuren gab.
165990	169930	3940	Fakt ist, dass wir Hinweise haben, dass es zu diesem Körperkontakt kam,
170030	172490	2460	und es ist ein Offizialdelikt und es ist unsere Aufgabe,
172590	175410	2820	dem nachzugehen und herauszufinden,
175630	178570	2940	in welchem Umfang der Körperkontakt stattfand
178829.99999999997	181850	3020	und ob ein allfälliges Drittverschulden vorhanden ist,
181970	183490	1520	und wenn ja, in welchem Umfang.
183590	185970	2380	Die Verantwortlichen der Radsporttage Gippingen
186140	188090	1950	wollen zu den neuesten Entwicklungen in diesem Fall nichts sagen.
188190	189650	1460	Es sei ja eine laufende Untersuchung.
189740	191410	1670	Das OK verweist auf die Mitteilung vom Sonntag,
191550	193370	1820	in der es den Angehörigen sein Beileid ausspricht.
193500	195250	1750	Bis die Staatsanwaltschaft weiss,
195430	197810	2380	ob jemand schuld am tödlichen Unfall ist,
198020	201170.00000000003	3150	will sie den verhafteten Velofahrer in Untersuchungshaft nehmen.
203070	205890	2820	Im November 2011 wurde ein 10-jähriger Junge
206150	209730	3580	in Worb im Kanton Bern auf einem Fussgängerstreifen angefahren
209860	212250	2390	und starb kurz darauf im Spital.
212470	215610	3140	Der Fahrer floh, konnte aber von der Polizei gestellt werden -
215710	217930	2220	mit 1,9 Promille Alkohol im Blut.
218150	220650	2500	Der Fall hat nicht nur in der Region betroffen gemacht,
220870	222329.99999999997	1460	sondern auch zu Diskussionen
222590	224890	2300	rund um die Sicherheit der Fussgängerstreifen geführt.
225050	227410	2360	Heute hat vor dem Regionalgericht Bern-Mittelland
227670.00000000003	229810	2140	der Prozess gegen den Fahrer begonnen.
231710	234570	2860	Der 73-jährige Angeklagte mit seinem Anwalt auf dem Weg zum Gericht.
234710	239610	4900	Der Mann trägt eine Perücke. Drin geht es um fahrlässige Tötung.
239780	243930	4150	Zu den Fragen des Gerichtspräsidenten gibt er häufig dieselbe Antwort:
244090	247930	3840	"""Ich weiss es nicht mehr, ich kann mich nicht erinnern."""
248050	251050	3000	Hier in Worb geschah der Unfall.
251250	253810	2560	Der 10-Jährige wollte mit einem Trottinett
254070	256370	2300	den Fussgängerstreifen überqueren, wurde angefahren,
256500	258450	1950	flog mehrere Meter weit
258670.00000000003	261490	2820	und starb kurz darauf im Spital an schweren Kopfverletzungen.
261680	265570	3890	Dieser und 2 weitere schwere Unfälle auf Fussgängerstreifen führten dazu,
265750	268170	2420	dass im Kanton Bern alle Fussgängerstreifen
268300	270610	2310	auf ihre Sicherheit überprüft wurden.
270760	274250	3490	Der Angeklagte wurde erst 2 Std. nach der mutmasslichen Tat
