start	end	duration	text
18230	20230	2000	MIT TELETEXT-UNTERTITELUNG
20460	23830	3370	Ihr habt die Liste, es ist alles drauf.
23990	24590	600	Nachher brauchen wir die Polizei.
26470	28830	2360	Vorne beim Gitter ist das Briefing.
28910	32310.000000000004	3400	Dort müsst ihr dann auch das Aufstellen organisieren.
32450.000000000004	34790	2340	Wir sind nicht der schwarze Block.
34960	37300	2340	Du musst dich noch richtig ausrüsten.
37510	39700	2190	Das T-Shirt fehlt noch. Ja, das hole ich noch.
40500	43660	3160	Die Schneiser-Kampfmontur. Ehrensache, das mache ich.
43870	48020	4150	Wir haben an diesen Ständen ganz viele frisch gewaschene T-Shirts
48230	50180	1950	und Pfeifen und Fähnchen.
51070	53020	1950	September 2013:
53210	54740	1530	Thomas Morf, Präsident des Vereins Flugschneise Süd Nein, ruft zur Demo.
57980	62020	4040	Seit mehr als 10 Jahren engagiert er sich gegen Fluglärm.
62230	63820	1590	Was treibt ihn an?
63980	66380	2400	Warum gibt er seine Mission schliesslich auf
66500	68340	1840	und kehrt der Schweiz den Rücken?
68460.00000000001	69700	1240	Davon handelt dieser Film.
83110	84740	1630	Flugzeuglärm
89910	94539.99999999999	4630	Frühmorgens um 6 Uhr in Pfaffhausen, einem Weiler der Gemeinde Fällanden.
94660	97020.00000000001	2360	Vor 10 Jahren hat alles angefangen,
97130	99660	2530	als plötzlich jeden Morgen Jets im Landeanflug
100530	103300	2770	über die Dächer des kleinen Dorfs donnerten.
105150	108220	3070	Wie erleben Sie die morgendlichen Landeanflüge?
108720	111380	2660	Sie sind mein Wecker. Sie hören es ja.
111610	114660	3050	Spätestens beim 2. Jet bin ich unterwegs, um die Zeitung zu holen.
115340	117300	1960	Dann beginnt der Tag.
117950	121460	3510	10 Jahre Protest konnten das Ungemach nicht beseitigen:
121680	125380	3700	Noch immer landen die Flugzeuge jeden Morgen von Süden.
128030	129660	1630	Thomas Morf leitete eine EDV-Gruppe einer Bank,
131300	134940	3640	bevor er den 50-%-Job als Präsident des VFSN übernahm.
135620	139180	3560	Heute ist sein Büro zu Hause seine Widerstandszentrale.
139480	143500	4020	Von hier aus führt der 60-Jährige den Kampf gegen die Turbinen.
143740	144700	960	Ich bin auch schon 5-mal in die Ferien geflogen.
147030	150140	3110	Aber es geht ja nicht ums Fliegen an und für sich,
150320	152940	2620	wir sind keine Flughafen- oder Fluggegner.
153190	156940	3750	Man soll fliegen, und wir brauchen einen Flughafen in Zürich.
157160	159220	2060	Aber alles mit Mass und Vernunft.
160400	164380	3980	Zuerst benötigt Morf an diesem Morgen eine Rechtsauskunft:
164800	168220	3420	Es geht um die E-Mail wegen des Bezirksgerichts Uster.
169880	173500	3620	Ich bin eigentlich ein bisschen sauer über diese Antwort.
174500	174700	200	Und meine ...
176780	179700	2920	Ja, ja, genau.
180500	182460	1960	Ich bin ein bisschen sauer.
182620	185740	3120	Meine Frage an dich als Rechtsanwalt wäre:
185930	188900	2970	Hätten wir eine Chance, diese Klage zu gewinnen?
189430	189700	270	Mann am Telefon:  Es besteht ein gewisses Prozessrisiko.
193380	199380	6000	Ja. Ich habe irgendwie das Gefühl ...
199540	203060	3520	Himmel noch mal, unsere ganze Politik und der Bundesrat
203190	204740	1550	kuschen vor Süddeutschland.
206990	211340	4350	Und es ist mir eigentlich irgendwie zuwider, selber auch zu kuschen.
211870	216220	4350	In seinem Newsletter hatte Morf einen deutschen Landrat provoziert,
216350	219740	3390	indem er ihn in einer Karikatur als deutschen Taliban dargestellt hatte.
221230	225500	4270	Dieser reichte am Bezirksgericht Uster eine Verleumdungsklage ein.
225579.99999999997	227500	1920	Nun stellt sich die Frage:
227700	230620	2920	Sich gütlich einigen oder ein Urteil verlangen?
230780	234780	4000	In den Medien wurde er auch so bezeichnet. Nein, komm, lassen wirs!
235340	238780	3440	Thomas Morfs Kampffeld hat sich inzwischen ausgeweitet.
238940	242460	3520	Ihm geht es auch um den Rechtsstaat und die Demokratie.
245710	249300	3590	Dass wir als Bevölkerung gar nichts dazu zu sagen haben.
249460	249740	280	Für ein Tomatenhäuschen muss ich eine Baueingabe machen.
253230	256620	3390	Aber da kann man zehntausende Leute einfach belärmen,
256769.99999999997	258820	2050	ohne, dass irgendetwas passiert.
258940	261300	2360	Das sind auch ganz wichtige Aspekte.
263340	264780	1440	Es sind sehr viele Blätter drin.
265670	268340	2670	Mir scheint, letztes Jahr waren es weniger.
268690	272620	3930	Nimm den Eimer nach vorne, ich will nämlich nicht nass werden.
272790	277340.00000000006	4550	Thomas Morf und seine Frau Esther leben im Elternhaus von Esther Morf.
277420	279380	1960	Tagsüber ein idyllischer Ort.
279520	279740	220	Der Flughafen hatte im Jahr 2003
281630	284300	2670	die morgendlichen Südlandungen im Notrecht
284420	288340.00000000006	3920	als Ausweg aus dem Fluglärmstreit mit Deutschland eingeführt.
289180	291420	2240	Niemals hätte das Ehepaar gedacht,
291590.00000000006	294740	3150	dass ihr Widerstand über 10 Jahre dauern würde.
295180	298460	3280	Damals war die Sachlage für mich sonnenklar:
298580	301500	2920	Südlandungen verstossen gegen diverse Gesetze.
301660	304100	2440	Und damals glaubte ich auch noch daran,
304320	308060	3740	dass sich auch die Obrigkeit an diese Gesetze halten wird.
308150	309780	1630	Ich dachte, in 12 - 18 Monaten sei die Sache gegessen.
311710	313740	2030	Mir war sogar unverständlich,
313820	316620	2800	dass man bei dieser eindeutigen Gesetzeslage
316870	320300	3430	überhaupt noch daran denkt, Südlandungen durchzuführen.
321900	324740	2840	Aus der Notlösung wurde zwar ein Dauerzustand,
324940	326980	2040	aber für Morfs kein Dauerthema.
329180	332540	3360	Wir wollten es bewusst nicht zum Familienthema machen.
332659.99999999994	334980	2320	Auch nicht zum Familienunternehmen.
335190	337940	2750	Er ist engagiert, wie wenn er arbeiten würde,
338100	339780	1680	und ich bin für den Rest zuständig und für andere Gesprächsthemen.
342950	346220	3270	Obwohl der Kampf bisher nicht ans Ziel geführt hat,
346470	349020	2550	kam Aufgeben für Thomas Morf nie infrage.
349180	351620	2440	Das macht ihn für die einen zum Helden,
351790	354300	2510	für die anderen zum sturen Fanatiker.
354380	354780	400	Für jene, die mit mir einverstanden sind, mache ich es gut.
358300	361540	3240	Und für jene, die nicht mit mir einverstanden sind,
361790	364500	2710	bin ich halt einfach ein Spinner oder sowas.
365690	367620	1930	Aber damit kann ich leben.
368260	369780	1520	Ich betrachte es als Kompliment,
370510	373540	3030	das heisst doch, dass ich meine Arbeit gut mache.
373720	377620	3900	Wer sich betupft fühlen will, soll sich ruhig betupft fühlen.
381020	384100	3080	Wir sind mit Thomas Morf am Ort des Geschehens,
384220	384780	560	im Norden des Flughafens Zürich-Kloten.
388470	390260	1790	Das ist der Ort,
390360	393860	3500	von wo aus der Flughafen seit 60 Jahren betrieben wird,
394110	396540	2430	über den die Hauptflugbewegungen führen.
397780	399860	2080	Wenn man da rüber schaut, sieht man grüne Wiesen.
401420	403700	2280	Im Sommer würde man noch Kühe sehen.
403870	407500	3630	Im Gegensatz zu Schwamendingen stehen hier keine Gebäude,
407620	409580	1960	hat es keine Leute.
409720	411740	2020	Es wurde immer hier angeflogen.
411900	414780	2880	Und jetzt hat man das Gefühl, man müsse den Flughafen kehren,
415940	418260	2320	und das dann von Süden her machen,
418420	421740	3320	über das am dichtesten besiedelte Gebiet der Schweiz.
422470	426260	3790	Seit die Auseinandersetzung mit Deutschland um den Fluglärm
426430	429100	2670	eskaliert ist, zieht der Flughafen Zürich
429210	429820	610	als Alternative zusätzlich sog. Südstarts geradeaus in Betracht.
433460	435900	2440	Das wollen die Südschneiser verhindern.
436590	441140	4550	Liebe Schneiserinnen und Schneiser, schön, dass ihr alle gekommen seid.
441260	444540	3280	Besonders freut mich, dass ein paar neue Gesicher
444630	444900	270	und auch wieder Leute von Schwamendingen da sind.
448040	449980	1940	Vom Flughafen bewilligt,
450150	453340.00000000006	3190	trifft sich an jedem ersten Sonntagmorgen im Monat
453560	457620	4060	der harte Kern des Vereins Flugschneise Süd Nein zur Mahnwache.
457730	459820	2090	Im Sommer z.B., wenn es heiss ist, steigt er auch schlechter.
462330	464340.00000000006	2010	Bösen Zungen behaupten ja,
464460	467700	3240	der A340 gewinne nur an Höhe wegen der Erdkrümmung.
468070	470460	2390	Die Kritik gilt weniger den Reisenden,
470580	472820	2240	als vielmehr der Flughafenpolitik:
473580	474940	1360	Was der Flughafen heute ist und wohin er will,
476740	479659.99999999994	2920	ist unserer Ansicht nach völlig unvernünftig.
479750	482820	3070	Er möchte nämlich ein möglichst grosser Hub sein.
