start	end	duration	text
1610	3300	1690	.
4019.9999999999995	6700	2680	1:1-Untertitelung, Livepassagen können Fehler enthalten.
7510	9770	2260	Es ist 10 vor 10. Guten Abend, meine Damen und Herren.
10470	14730	4260	Im September stimmt die Schweiz über ein neues Nachrichtendienstgesetz ab.
15380	17650	2270	Sagt das Stimmvolk Ja, wäre dies eine Trendwende.
18240	20450	2210	Das sind die sog. Fichen -
21180	24930	3750	700'000-900'000 Akten über Menschen und Organisationen in der Schweiz,
25560	27690	2130	zusammengetragen vom Staatsschutz.
28360	32330	3970	Ende der 1980er-Jahre kam das ganze Ausmass der Fichen ans Licht.
33020	36050	3030	Das Stimmvolk wehrte sich gegen den sog. Schnüffelstaat.
36830	39850	3020	Seither sind dem Geheimdienst enge Grenzen gesetzt.
40490	42010	1520	Er will, dass das so bleibt -
42840	45370	2530	Nationalrat Martin Naef, heute Fokusgast im Studio.
46070	49220	3150	Die weiteren Themen:
50680	55420	4740	Firmen wie Geberit profitieren vom weltweiten Bauboom.
59280	63700	4420	In Polen graben Hobby-Archäologen nach tonnenweise Nazigold.
64959.99999999999	68300	3340	In unserer USA-Serie zeigen wir,
69039.99999999999	72260	3220	wie Kalifornien der Zukunft den Takt vorgibt.
74630	77460.00000000001	2830	Terroristen, Waffenschmuggler, Spione -
78200	80780	2580	sie sind Zielobjekte des Schweizer Geheimdienstes.
81490	83180	1690	Für deren Überwachung im Inland
83900	85500	1600	soll der Staatsschutz mehr Kompetenzen erhalten.
86230	88140	1910	Das sieht das neue Nachrichtendienstgesetz vor,
88800	91670	2870	über das wir am 25. September abstimmen.
92370	94870	2500	Heute hat das Pro-Komitee seine Argumente vorgestellt.
95620	98430	2810	Die Vorlage geniesst breite Unterstützung. Daniel Glaus.
100259.99999999999	102870	2610	Wenn sich Gestalten der Schattenwelt in der Schweiz tummeln,
103600	107229.99999999999	3630	dann stossen sie meist auf wenig Gegenwehr durch den Staatsschutz.
107940	109870	1930	Deshalb soll der Nachrichtendienst des Bundes NDB
110640	115190	4550	jetzt mehr Mittel zu ihrer Überwachung erhalten.
115880	116750	870	Corina Eichenberger ist Mitglied
117520.00000000001	120870	3350	der sechsköpfigen Geschäftsprüfungs- delegation GPDel,
121590	124110	2520	die Einblick in die geheimen Tätigkeiten des NDB hat -
124800	125670	870	das Gesetz sei nötig.
126440	128350	1910	Alleine im Zeitraum der letzten zwei Jahre
129050.00000000001	131750	2700	hat sich die Bedrohungslage in Europa stark verändert.
132450	134670	2220	Terroranschläge sind heute Realität
135480	138630	3150	und könnten leider auch in der Schweiz möglich sein.
139350	144430	5080	D.h., im Moment hinkt der Nachrichtendienst hinterher?
145120	150310	5190	Das ist so. Unser Nachrichtendienst ist sozusagen blind und taub.
150880	152670.00000000003	1790	Ihm sind die Hände stark gebunden.
153340	155030	1690	Er hat wenige Möglichkeiten,
155800	161110	5310	zum Schutz unserer Sicherheit tätig zu sein.
161760	164590	2830	Bisher darf der Nachrichtendienst verdächtige Personen im Inland
165340	167910	2570	nur im öffentlichen Raum beobachten.
168610	171790	3180	Neu sollen die Agenten weitergehende Befugnisse erhalten:
172410	177310	4900	Sie sollen in Wohnungen oder Hotelzimmer eindringen dürfen,
178070	182990	4920	und diese verdeckt mit Wanzen und Kameras überwachen.
183660	190670	7010	Auch dürfte der NDB Autos knacken und mit Peilsendern ausstatten.
191370	193710	2340	Und er könnte die private Kommunikation ausspähen,
194430	201310	6880	darunter: die Post, SMS und Telefonate, den Computer.
202060	205150	3090	Er könnte zudem Computersysteme lahmlegen,
205890	207550	1660	wenn von dort ein Hackerangriff ausgeht,
208230	211790	3560	z.B. auf das Schweizer Stromnetz.
212510	216510	4000	Der NDB darf neu auch internationale Kabelverbindungen anzapfen,
217200	220950	3750	um den Internet- und Telefonverkehr abzuhören.
221690	228150	6460	Ausserdem wären auch Drohnen, Helikopter oder Satelliten erlaubt.
228840	231670.00000000003	2830	Eine Fiche aus den 1970er-Jahren.
232340	234150	1810	Zielperson war Claude Janiak, heute Ständerat
234880	237910	3030	und ebenfalls Mitglied der Geschäftsprüfungsdelegation.
238620	241070	2450	Selbst er will dem NDB mehr Kompetenzen geben.
241740	243510	1770	Bei der Mittelbeschaffung ist er eingeschränkt.
244230	246670	2440	Der Nachrichtendienst kann z.B. keine Wanzen setzen
247430	251580	4150	in einer Moschee, von der man weiss, dass dort Hassprediger auftreten.
252240	254380	2140	Wieso sollte er das können?
255080	257820	2740	Damit er rausfinden kann, was dort effektiv gesagt wird.
258519.99999999997	260899.99999999997	2380	Verstösst dies gegen unsere Rechtsordnung,
