start	end	duration	text
1130	2890	1760	.
2880	5410	2530	1:1-Untertitelung. Livepassagen können Fehler enthalten.
8480	10050	1570	"Die ""Tagesschau"", meine Damen und Herren, guten Abend."
10030	13450	3420	Und das sind die Themen von heute Sonntag:
15540	20370	4830	Petra Gössi äussert sich erstmals zu ihrer Kandidatur als FDP-Chefin
20340	23370	3030	und wohin sie die Partei führen möchte.
26180	29050	2870	Die Schweiz übernimmt die diplomatischen Vertretungen
29050	31250	2200	des Iran und Saudi-Arabiens.
33490	36650	3160	Der Machtkampf um die Nachfolge von Verfassungsrichter Scalia
36640	38930	2290	mischt den US-Wahlkampf auf.
41440	44730	3290	"Das britische Magazin ""Vogue"" feiert Geburtstag."
46340	51970	5630	Bewölkt und gelegentlich etwas Regen, oberhalb von 400-600 m Schnee.
55660	60410	4750	Philipp Müller tritt zurück, Christian Wasserfallen will nicht -
60380	62170	1790	alles deutet darauf hin,
62160	65209.99999999999	3050	dass demnächst Petra Gössi FDP-Präsidentin wird.
65200	68770	3570	Bislang ist sie die einzige Kandidatin für das Amt.
68730	71650	2920	Sie ist bereits seit 2011 Nationalrätin,
71640	74970	3330	und doch weiss die Öffentlichkeit relativ wenig über sie.
74940	78130	3190	Jetzt spricht Gössi zum ersten Mal über ihre Kandidatur,
78120	81330	3210	"exklusiv in der ""Tagesschau"", mit Monika Schönenberger."
82880	85850	2970	Petra Gössi, FDP-Politikerin, 40 Jahre alt.
85840	87690	1850	Sparen beim Sozialstaat,
87680	91240	3560	investieren in die Landesverteidigung und die öffentlichen Sicherheit -
91210.00000000001	96000	4790	ihre politische Position sehen viele am rechten Rand der Partei.
100759.99999999999	103120	2360	Die Positionierung, die wir jetzt haben,
103110	106600	3490	hat uns ein klares, scharfes Profil geschaffen.
106570	109520.00000000001	2950	Daran werde ich festhalten. Deshalb ist es nicht eine Frage:
109509.99999999999	111440	1930	"""Marschieren wir weiter nach rechts?"""
111430	117640	6210	Das hat sich auch bei Philipp Müller in den letzten vier Jahren gezeigt.
117610	119520.00000000001	1910	Bevor er Präsident wurde,
119490.00000000001	122800	3310	hat er klar und deutlich am rechten Flügel politisiert,
122790	124720	1930	und er wurde jetzt eingemittet.
124710	126840	2130	Ich bin überzeugt, bei einer allfälligen Wahl
126830	129199.99999999999	2370	würde bei mir genau dasselbe passieren.
129190	133560	4370	In der Europapolitik ab grenzt sich Gössi von der SVP ab.
133530	136079.99999999997	2550	Deckungsgleich mit der FDP-Parteilinie
136070	140360	4290	ist sie für die Bilateralen und gegen einen EU-Beitritt.
140340	142800	2460	Zu Sachthemen wie der Flüchtlingspolitik sagt sie:
145300	147240	1940	Wo wirklich Not herrscht,
147220	149640	2420	wer wirklich an Leib und Leben bedroht ist ...
149600	152360	2760	Dass man diesen Personen auch entsprechend Schutz gewähren kann.
152329.99999999997	154640	2310	Wenn es aber nur darum geht, dass ein Wirtschaftsflüchtling
154620	157600	2980	in der Schweiz eine bessere Zukunft hätte als anderswo ...
157590	160400	2810	Das ist auch für den Frieden in der Schweiz.
160390	164000	3610	Da muss man den Riegel schieben. Hier gehört die Grenze geschützt.
163990	165920.00000000003	1930	Und wie?
165920.00000000003	168640	2720	Was sicher nicht geht, ist, dass man einfach einen Zaun hochzieht.
168610	170520	1910	Faktisch würde das heissen:
170520	173520	3000	Jeder, der unberechtigt darüber kommt, müsste ...
173500	177400	3900	Mit den ärgsten Konsequenzen, das geht sicher nicht,
177400	181080	3680	aber die Grenzkontrollen gehören dann auch verschärft.
181050	185480	4430	Mithilfe der Armee, z.B.? - Wenn's notwendig ist, dann ja.
185460	188880	3420	Petra Gössi politisiert zurückhaltend.
188860	191480	2620	Persönliches gibt sie kaum preis.
191450	194320	2870	Aber Parteipräsidenten stehen im Rampenlicht
194300	197320	3020	und Philipp Müller hinterlässt eine gesunde FDP.
199280	202480	3200	Das ist natürlich eine sehr grosse Herausforderung,
202440	205560	3120	weil die FDP auch bei den nächsten Wahlen gesund sein soll.
205520	207680	2160	Sie soll weiter wachsen.
207680	210120	2440	Aber Herausforderungen sind da, um gemeistert zu werden,
210110	212560	2450	um sie anzunehmen und auch Verantwortung zu tragen.
212530	215920.00000000003	3390	Aber es ist natürlich auch eine schöne Ausgangslage.
215890	220240	4350	Man muss nicht zuerst kämpfen, dass man nicht mehr tot geschrieben wird.
220220	225000	4780	Wir sind im Aufwind, und den gilt es weiterzutragen.
224980	227600	2620	Die Fussstapfen sind gross, das ist so.
227570	232079.99999999997	4510	Kandidaturen für das FDP-Parteipräsidium
232060	234800	2740	können noch bis Ende Februar eingegeben werden.
234790	238290	3500	Gössi würde sich über Konkurrenz freuen, wie sie sagt.
239910	242970	3060	Gössi ist bis jetzt die einzige Bewerberin für das Amt,
242970	246130	3160	wenn die FDP nicht noch einen Überraschungskandidaten
246110	248730	2620	aus dem Hut zaubert.
248710	253690	4980	Fritz Reimann: Präsident Müller hat die Partei ja enorm geprägt.
253680	256490	2810	Petra Gössi ist bislang noch nicht gross aufgefallen.
256450	259490	3040	Ist sie die Richtige, um in Müllers Fussstapfen zu treten?
259470.00000000003	261290.00000000003	1820	Wir untertiteln live:
270770	276659.99999999994	5890	Ob Sie die richtige ist, werden die Wahlen 2019 zeigen.
277280	279260	1980	Daher werden die FDP sie messen.
279510	284060	4550	Philipp Müller war ein Glücksfall für die FDP.
284220	288659.99999999994	4440	Er war das Gesicht der Partei und hatte Erfolg.
288940	292659.99999999994	3720	Das gleiche zu tun wird schwierig für ihn sein.
292830	298740	5910	Im Vergleich zu ihm ist zurückhaltend.
299830	305780	5950	Ich frage mich, ob sie in der Lage sein wird,
310240	316180	5940	sich und die FDP genug in den Vordergrund rücken zu können.
316510	322460	5950	Es könnte ihre Stärke sein, dass sie sich wohl von der Polemik
325900	327460	1560	und der Provokation abheben wird.
328190	330140	1950	Und eine ausführliche Version des Gesprächs mit Petra Gössi
330240	332580	2340	haben wir für Sie ins Internet gestellt unter srf.ch.
333590.00000000006	336740	3150	Vor einem Monat haben Saudi-Arabien und der Iran
336860	338740	1880	ihre diplomatischen Beziehungen abgebrochen.
338890	342100	3210	Jetzt soll die Schweiz vermitteln, gute Dienste leisten.
342190	345580	3390	Im Iran wird sie also die saudischen Interessen vertreten und umgekehrt.
345640	347740	2100	So hat es Bundesrat Didier Burkhalter
347850	351340.00000000006	3490	bei seinem Besuch in der saudischen Hauptstadt Riad vereinbart.
352250	355420	3170	Es ist der erste Besuch eines Schweizer Aussenministers in Riad.
355590.00000000006	357820	2230	Und ein erfolgreicher dazu.
357940	360020	2080	Der saudische Aussenminister Adel al-Dschubeir
360130	364580	4450	nimmt die guten Dienste der Schweiz an
365490	369060	3570	Das Königreich Saudi-Arabien dankt der Schweiz für das Angebot.
369150	370580	1430	Wir akzeptieren es,
370690	376900	6210	v.a. um die Pilgerreise für Iraner nach Mekka zu erleichtern.
377110	381140	4030	Anfang Januar hatte Saudi-Arabien die Beziehungen zum Iran abgebrochen,
381270	385660	4390	nachdem Demonstranten ihre Botschaft im Iran gestürmt hatten.
385760	387580	1820	Ursache für die Eskalation
387700	390420	2720	war die Hinrichtung des schiitischen Geistlichen Nimr al-Nimr
390500	392860	2360	durch Saudi-Arabien.
392990	396659.99999999994	3670	Im Iran vertritt die Schweiz bereits die Interessen der USA.
396750	399540	2790	Für Saudi-Arabien ist es die erste Vertretung.
399670	403659.99999999994	3990	Zwischen den Ländern vermitteln will die Schweiz aber derzeit nicht.
403820	407900	4080	Wenn Saudi-Arabien und Iran beide eine Vermittlung wünschen,
407990	411580	3590	wären wir bereit, mehr zu tun.
411659.99999999994	415220	3560	Doch momentan stellen wir nur
415230	419100	3870	die minimalen diplomatischen Beziehungen sicher.
421980	424060	2080	Didier Burkhalter und Dschubeir
424050	426420	2370	wollen in den nächsten Wochen vereinbaren,
426390	429340	2950	wie die Rolle der Schweiz genau aussehen soll.
431100	434420	3320	In den USA entfacht der Tod eines obersten Richters,
434380	437900	3520	eines sog. Verfassungsrichters, einen neuen Machtkampf.
437890	442140	4250	Wer soll Republikaner Antonin Scalia dereinst beerben?
442110	445660	3550	Laut der amerikanischen Verfassung nominiert der Präsident,
445620	448460	2840	in diesem Fall also noch Barack Obama, einen Kandidaten,
448440	451260	2820	der dann vom Senat abgesegnet wird.
451220	453780	2560	Die Republikaner setzen nun alles daran,
453750	456940	3190	dieses Prozedere bis nach der Präsidentschaftswahl aufzuschieben.
458740	463300	4560	Fällt das Oberste Gericht einen Entscheid, rennen die Journalisten,
464030	466540	2510	denn diese Entscheide - wie hier die Erlaubnis für Homo-Ehen -
466520	470260	3740	können das Leben der ganzen Nation entscheiden.
471110	474820	3710	Deshalb ist es so wichtig, wer in diesem Gremium sitzt.
474790	478380	3590	Bislang waren es vier Liberale und fünf Konservative.
478360	480660	2300	Der herausragende Kopf der Konservativen
480650	485660	5010	war Richter Antonin Scalia, unten in der Mitte.
485630	488660	3030	Die Republikaner beginnen ihre Präsidentschaftsdebatte
488630	491620	2990	mit einer Schweigeminute - und stellen Forderungen.
493360	497180	3820	Für den Senat heisst es jetzt: Verzögern, verzögern, verzögern!
500870	504140	3270	Ich glaube, der Präsident sollte keinen Kandidaten benennen.
504110	506460	2350	Erst der nächste Präsident soll entscheiden,
506420	509140	2720	wer oberster Richter wird.
509130	511340	2210	Der Präsident denkt aber nicht daran,
511300	514700.00000000006	3400	auf seine verfassungsmässigen Rechte zu verzichten.
514659.99999999994	517659.99999999994	3000	Mir bleibt noch viel Zeit, einen Kandidaten zu wählen,
517620	520740	3120	und dem Senat bleibt Zeit, für eine faire Anhörung
520710.00000000006	523100	2390	und eine termingerechte Wahl zu sorgen.
523059.99999999994	528100	5040	Es ist empörend, dass Republikaner bereits versprochen haben,
