start	end	duration	text
1100	2850	1750	.
3570	6130	2560	1:1-Untertitelung. Livepassagen können Fehler enthalten.
6730	8450	1720	Guten Abend, meine Damen und Herren.
9140	11450	2310	"Hier ist die ""Tagesschau"", und das sind die Themen heute Mittwoch:"
12410	17890	5480	Der Pilot der abgestürzten F/A-18 ist ums Leben gekommen.
19100	24450	5350	Der Senat stimmt für die Absetzung von Dilma Rousseff.
25800	32170	6370	Ein Versöhnungstreffen soll dem Land endlich Frieden bringen.
33060	38650	5590	Milde Winter lassen die Populationen massiv ansteigen.
39520	43130	3610	Im Norden kann es zeitweise regnen.
44730	48290	3560	Zwei Tage lang herrschte Ungewissheit - seit heute ist klar:
49000	51210	2210	Der Pilot des verunglückten Kampfjets F/A-18
51940	54410	2470	hat den Absturz nicht überlebt.
55100	56870	1770	Man habe die sterblichen Überreste des Piloten
57640	61510	3870	am Unglücksort im Sustengebiet am Hinter Tierberg gesichtet,
62240	64709.99999999999	2470	meldet das Eidgenössische Verteidigungsdepartement,
65430.00000000001	67790	2360	das heute Bilder des Absturzortes freigab.
69450	72789.99999999999	3340	Schwarze Felsen am Kamm des Hinter Tierbergs:
73620	76990	3370	die Stelle, wo der F/A-18-Jet am Grat zerschellt ist.
77700	78910	1210	Heute Morgen haben Rettungskräfte
79720	81789.99999999999	2070	hier die sterblichen Überreste des Piloten gefunden -
82520	85230	2710	nach zwei Tagen Suche unter schwierigen Wetterbedingungen.
86010	89430	3420	Beim Verunglückten handelt es sich um einen 27-jährigen Berufsmilitär.
90180	95350	5170	Nähere Angaben macht das Verteidigungsdepartement nicht.
96060	99270.00000000001	3210	Der Aufprall war derart heftig, dass nur kleinste Trümmer übrig blieben,
99940	103430	3490	verteilt auf beide Seiten des Grats.
104140	105670	1530	Bundesrat und Armeeführung
106460.00000000001	109470	3010	drücken der Familie des Piloten ihr Beileid aus.
110180	112310	2130	Meine Gedanken sind zuallererst
113080	118080	5000	bei der Familie, den Angehörigen, den Pilotenkollegen.
118710.00000000001	122560	3850	Es ist ein Drama, das eine Familie schwer trifft.
123240	126040	2800	Ich möchte mein herzliches Beileid aussprechen.
126660	129919.99999999999	3260	Wir, das Militär und die Regierung, denken an sie.
130740.00000000001	136800	6060	Es ist ein Drama, das uns alle sehr trifft.
137460	140079.99999999997	2620	Der Militärflugplatz Meiringen.
140710	144480	3770	Von hier aus ist der Pilot am Montag zu einem Trainingsflug gestartet.
145140	147520	2380	Kurz nach 16 Uhr brach der Kontakt ab.
148120	150600	2480	Ob er den Schleudersitz betätigt hat, ist nicht bekannt.
151370	152560	1190	In den nächsten Tagen sollen die Trümmer
153329.99999999997	155240	1910	und - wenn möglich - die Blackbox geborgen werden.
155920.00000000003	157760	1840	Eine schwierige Aufgabe.
