start	end	duration	text
3730	6110	2380	.
6760	14360	7600	1:1-Untertitelung
14950	16480	1530	Herzlich willkommen und guten Abend,
17190	19840	2650	"das ist ""Schweiz aktuell"" und das sind unsere Themen:"
20710	23800	3090	Im Prozess um den Millionenbetrug bei der Firma ASE
24420	28210	3790	sagte heute ein ehemaliger Kadermann der Basler Kantonalbank aus.
28870	32610	3740	Laut Staatsanwalt ist er mitschuldig.
33320	36210	2890	In Zürich sollen Patienten einfacher
36840	39170	2330	medizinische Cannabis-Produkte beziehen können.
39800	44010	4210	Das Stadtparlament will einen Ausweis für Betroffene einführen.
44820	48570	3750	Mit dem sog. Space-Transformer wissen Besucher nicht mehr,
49150	51370	2220	was oben und unten ist.
52110	54490	2380	Das ist das Highlight der neuen Raumfahrtausstellung
55220	57450	2230	im Verkehrshaus Luzern.
58120	62530	4410	Für Anlage, Sicherheit, Ertrag steht das Kürzel der Firma ASE.
63180	67090	3910	Den Kunden hat die Firma aber v.a. das Gegenteil gebracht: Verluste.
67720	72289.99999999999	4570	Deshalb steht ASE heute für einen der schweizweit grössten Betrugsfälle.
72930	75730	2800	Es geht um 170 Mio. Fr.,
76390	79010	2620	die mit einem Schneeballsystem veruntreut worden sein sollen.
79750	82450	2700	Seit Anfang Woche wird der Fall vor einem Aargauer Gericht behandelt.
83150	84850	1700	Angeklagt sind zwei Verantwortliche der ASE,
85500	88810	3310	aber auch ein ehemaliger Kader- angestellter der Basler Kantonalbank.
89510	92090	2580	Ihm wird Gehilfenschaft vorgeworfen.
93020.00000000001	96650	3630	Heute, am vierten Prozesstag in Eiken muss neben dem Hauptbeschuldigten,
97229.99999999999	98970	1740	der in diesem Kastenwagen ans Gericht gefahren wird,
99600	101170	1570	auch ein weiterer ASE-Beschuldigter aussagen,
101729.99999999999	104490.00000000001	2760	sowie ein ehemaliger Kader- angestellter der Basler Kantonalbank.
105190	106410	1220	Dieser hat von der Finanzmarktaufsicht
107039.99999999999	108930	1890	schon ein fünfjähriges Berufsverbot erhalten.
109550	112970	3420	Vor der Kamera will nur der Anwalt des Bankers Stellung nehmen.
113610	116130	2520	Wir plädieren auf einen Freispruch. - Wieso?
116729.99999999999	118770.00000000001	2040	Wir sehen keine Schuld bei der Bank
119450	123690	4240	und insbesondere auch nicht bei meinem Mandanten.
124320	126250	1930	Der Staatsanwalt sieht nach der heutigen Befragung
126970	128289.99999999999	1320	vorerst den ehemaligen Privatbanker
128940	131050.00000000001	2110	in der Mitschuld dieses Millionenbetrugs.
131620	134170	2550	Bei ihm laufen meiner Meinung nach alle Fäden zusammen.
134790	137210	2420	Er hatte Kontakt mit dem Hauptbeschuldigten,
137870	143050	5180	hat seine Untergebenen, die in der Abwicklung tätig waren, instruiert.
143620	150329.99999999997	6710	Er hat dann aber auch die ASE gegen- über seinen Vorgesetzten verteidigt.
151070	158210	7140	Deshalb sage ich: Er ist die Schaltzentrale, über die alles lief.
158829.99999999997	162250	3420	Der heutige Prozesstag lockt einige der 2'000 Geschädigten an.
162870	165610	2740	Gut 1'400 haben einen Anteil von ihrem verlorenen Geld
166250	168170.00000000003	1920	von der Basler Kantonalbank zurückerhalten.
168910	172450	3540	600 Geschädigte, die in einen sog. Quanto-Fonds eingezahlt haben,
173030	174740	1710	haben noch keinen Rappen gesehen.
175310	178020	2710	So wie dieser anonymer Kadermitarbeiter aus der Wirtschaft.
178670.00000000003	179780	1110	Er hat 50'000 Fr. verloren
180440	184140	3700	und sieht die Basler Kantonalbank in der Schuld.
184760	187780	3020	Ich erwarte natürlich auch, dass die Basler Kantonalbank
188420	190420	2000	nicht nur für die direkt Kontogeschädigten,
191070	191620	550	sondern v.a. auch für diejenigen, die mit den Fonds,
192340	195580	3240	den Währungskonten zu tun hatten und investiert hatten ...
196220	198500	2280	... dass es dort natürlich auch zu einer Einigung kommen könnte,
199110	201420.00000000003	2310	weil der Fehler klar bei der BKB liegt.
202040	204340	2300	Die Basler Kantonalbank kommt durch solche Aussagen
204980	208300	3320	und am heutigen Prozesstag immer mehr ins Visier der Öffentlichkeit.
208860	211060	2200	Sie wehrt sich gegen jegliche Vorwürfe
211680	213300	1620	und schreibt in einer Stellungnahme:
225840	228990	3150	Die Affäre rund um die ASE und die Basler Kantonalbank
229600	231550	1950	ist noch lange nicht ausgestanden.
232180	233550	1370	Der Prozess dauert noch bis Montag -
234200	235920.00000000003	1720	das Urteil wird erst Mitte Dezember verkündet.
236590	240040	3450	Bis dann gilt für alle Beschuldigte die Unschuldsvermutung.
240800	243680	2880	Wie viel Verantwortung trägt die Basler Kantonalbank
244300	247280	2980	in der ganzen Affäre um die ASE - das ist also eine der Fragen,
247860	250760	2900	die mit dem heutigen Prozesstag hätte geklärt werden müssen.
251380	255040	3660	Die Einschätzung dazu von unserer Prozessbeobachterin Natascha Schwyn.
255650	259360	3710	Weil bei den ASE-Beschuldigten nichts mehr zu holen ist,
259920.00000000003	263360	3440	haben die 600 Privatkläger schon vor der Verhandlung via ihre Anwälte
264020	266000	1980	eine Strafanzeige gegen die BKB eingereicht.
266630	268320	1690	So hoffen sie,
268970	271480	2510	zumindest einen Teil des verlorenen Geldes zurückzuerhalten.
272040	273680	1640	Das dürfte aber noch mehrere Jahre dauern.
274310	275400	1090	Zuerst müsste in diesem Fall
276080	278320	2240	nämlich noch ein rechtskräftiges Urteil vorliegen.
279000	281080	2080	Erst dann zeigt sich, wie es im Fall BKB weitergeht,
281760	283360	1600	und ob die Privatkläger mit ihrer Anzeige
283920	286680	2760	überhaupt eine Chance auf eine Geldentschädigung haben.
287409.99999999994	290560	3150	Das sagt unsere Aargau- Korrespondentin Natascha Schwyn.
